node1,node2,relations
poivre,vert,[]
poivre,ingrédient,"[{""id"": 24850732, ""node1"": 139597, ""node2"": 123418, ""type"": 0, ""w"": 27.0}, {""id"": 24842132, ""node1"": 139597, ""node2"": 123418, ""type"": 6, ""w"": 49.0}]"
poivre,sel,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]"
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
crème,poivre,[]
set,poêle,[]
balance,cuisine,[]
balance,étape,[]
peu,huile,[]
noix,beurre,"[{""id"": 96697959, ""node1"": 30910, ""node2"": 140377, ""type"": 0, ""w"": 22.0}]"
réserver,viande,[]
viande,poêle,[]
ajouter,grain,[]
grain,poivre,"[{""id"": 775213400, ""node1"": 57895, ""node2"": 139597, ""type"": 174, ""w"": 25.0}]"
grain,vert,"[{""id"": 3172233, ""node1"": 57895, ""node2"": 26976, ""type"": 106, ""w"": 2.0}]"
grain,écraser,[]
ajouter,restant,[]
restant,grain,[]
ajouter,crème,[]
réserver,laisser,"[{""id"": 798732570, ""node1"": 7006, ""node2"": 135779, ""type"": 0, ""w"": 23.0}, {""id"": 85340081, ""node1"": 7006, ""node2"": 135779, ""type"": 7, ""w"": 29.0}]"
cuire,plus,[]
laisser,crème,[]
crème,bouillir,"[{""id"": 380404019, ""node1"": 44001, ""node2"": 42401, ""type"": 30, ""w"": 35.0}]"
verser,poivrer,[]
réserver,verser,[]
