node1,node2,relations
sucre,glace,"[{""id"": 134502, ""node1"": 139481, ""node2"": 141964, ""type"": 0, ""w"": 111.0}, {""id"": 144135, ""node1"": 139481, ""node2"": 141964, ""type"": 8, ""w"": -80.0}, {""id"": 186736, ""node1"": 139481, ""node2"": 141964, ""type"": 17, ""w"": -126.0}, {""id"": 639101499, ""node1"": 139481, ""node2"": 141964, ""type"": 141, ""w"": 25.0}, {""id"": 1763994, ""node1"": 139481, ""node2"": 141964, ""type"": 666, ""w"": 1.0}]"
sucre,sucre,"[{""id"": 335264, ""node1"": 139481, ""node2"": 139481, ""type"": 19, ""w"": 142.0}, {""id"": 93901596, ""node1"": 139481, ""node2"": 139481, ""type"": 50, ""w"": -27.0}, {""id"": 376041081, ""node1"": 139481, ""node2"": 139481, ""type"": 51, ""w"": 28.0}]"
sucre,oeuf,"[{""id"": 376049526, ""node1"": 139481, ""node2"": 116175, ""type"": 51, ""w"": 41.0}]"
sucre,poudre,"[{""id"": 101820, ""node1"": 139481, ""node2"": 139470, ""type"": 0, ""w"": 604.0}, {""id"": 251577, ""node1"": 139481, ""node2"": 139470, ""type"": 6, ""w"": 61.0}, {""id"": 144132, ""node1"": 139481, ""node2"": 139470, ""type"": 8, ""w"": -75.0}, {""id"": 9971698, ""node1"": 139481, ""node2"": 139470, ""type"": 9, ""w"": 10.0}, {""id"": 9979137, ""node1"": 139481, ""node2"": 139470, ""type"": 10, ""w"": 30.0}, {""id"": 1763997, ""node1"": 139481, ""node2"": 139470, ""type"": 666, ""w"": 3.0}]"
poudre,colorer,[]
colorer,alimentaire,[]
colorer,gélatine,[]
colorer,crème,[]
crème,liquide,"[{""id"": 96714687, ""node1"": 44001, ""node2"": 140315, ""type"": 0, ""w"": 35.0}, {""id"": 96714688, ""node1"": 44001, ""node2"": 140315, ""type"": 6, ""w"": 33.0}, {""id"": 31815506, ""node1"": 44001, ""node2"": 140315, ""type"": 17, ""w"": 52.0}, {""id"": 306776466, ""node1"": 44001, ""node2"": 140315, ""type"": 666, ""w"": 3.0}]"
fixe,jus,[]
jus,citron,"[{""id"": 1718366, ""node1"": 53310, ""node2"": 15386, ""type"": 0, ""w"": 91.0}, {""id"": 9625998, ""node1"": 53310, ""node2"": 15386, ""type"": 8, ""w"": 22.0}, {""id"": 376199014, ""node1"": 53310, ""node2"": 15386, ""type"": 16, ""w"": -42.0}, {""id"": 765133846, ""node1"": 53310, ""node2"": 15386, ""type"": 80, ""w"": 26.0}, {""id"": 651234559, ""node1"": 53310, ""node2"": 15386, ""type"": 666, ""w"": 3.0}]"
jus,four,[]
four,fouet,"[{""id"": 879245167, ""node1"": 9190, ""node2"": 73888, ""type"": 0, ""w"": 20.0}]"
fouet,cuisine,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]"
cuisine,saladier,"[{""id"": 47300451, ""node1"": 16033, ""node2"": 45455, ""type"": 0, ""w"": 30.0}, {""id"": 47300450, ""node1"": 16033, ""node2"": 45455, ""type"": 27, ""w"": 21.0}]"
fouet,top,[]
papier,meilleur,[]
top,papier,[]
congélateur,robot,[]
congélateur,bol,[]
bol,casserole,[]
congélateur,moule,[]
moule,gâteau,"[{""id"": 201625, ""node1"": 143723, ""node2"": 2149, ""type"": 0, ""w"": 233.0}]"
congélateur,cercle,[]
cercle,pâtisserie,[]
pâtisserie,couvercle,[]
couvercle,balance,[]
balance,cuisine,[]
balance,réfrigérateur,[]
réfrigérateur,étape,[]
réfrigérateur,préparation,[]
préparation,génoise,[]
réfrigérateur,chaleur,"[{""id"": 565461528, ""node1"": 128721, ""node2"": 110910, ""type"": 0, ""w"": 36.0}]"
réfrigérateur,tournant,[]
jaune,blanc,"[{""id"": 357085, ""node1"": 86711, ""node2"": 15196, ""type"": 0, ""w"": 190.0}, {""id"": 539955988, ""node1"": 86711, ""node2"": 15196, ""type"": 5, ""w"": -25.0}, {""id"": 174286, ""node1"": 86711, ""node2"": 15196, ""type"": 7, ""w"": 120.0}]"
blanc,œuf,"[{""id"": 796769193, ""node1"": 15196, ""node2"": 174124, ""type"": 0, ""w"": 28.0}]"
gramme,sucre,"[{""id"": 720818120, ""node1"": 140383, ""node2"": 139481, ""type"": 174, ""w"": 25.0}]"
sucre,énergiquement,[]
préparation,double,[]
préparation,volume,[]
blanc,neige,"[{""id"": 116991, ""node1"": 15196, ""node2"": 3699, ""type"": 0, ""w"": 509.77}, {""id"": 117866, ""node1"": 15196, ""node2"": 3699, ""type"": 23, ""w"": 320.0}, {""id"": 1622496, ""node1"": 15196, ""node2"": 3699, ""type"": 666, ""w"": 12.0}]"
incorporer,sucre,[]
commencer,blanc,[]
mélanger,préparation,"[{""id"": 610299416, ""node1"": 37151, ""node2"": 33634, ""type"": 0, ""w"": 41.0}]"
préparation,précédent,[]
préparation,blanc,"[{""id"": 11721227, ""node1"": 33634, ""node2"": 15196, ""type"": 106, ""w"": 1.0}]"
ajouter,délicatement,[]
ajouter,farine,"[{""id"": 373014569, ""node1"": 25099, ""node2"": 127629, ""type"": 14, ""w"": 31.0}]"
ajouter,attention,[]
préparer,disque,[]
socle,gâteau,[]
disque,petit,"[{""id"": 73549506, ""node1"": 31033, ""node2"": 55222, ""type"": 17, ""w"": 46.0}]"
aide,cercle,[]
préparer,décoller,[]
décoller,génoise,[]
terminer,cuisson,[]
retirer,papier,[]
préparation,appareil,"[{""id"": 21131121, ""node1"": 33634, ""node2"": 106265, ""type"": 0, ""w"": 35.0}, {""id"": 96918538, ""node1"": 33634, ""node2"": 106265, ""type"": 5, ""w"": 27.0}, {""id"": 246299818, ""node1"": 33634, ""node2"": 106265, ""type"": 8, ""w"": 41.0}, {""id"": 376106723, ""node1"": 33634, ""node2"": 106265, ""type"": 109, ""w"": 35.0}]"
voir,bol,[]
bol,robot,[]
devoir,crème,[]
crème,fluide,"[{""id"": 14800321, ""node1"": 44001, ""node2"": 57625, ""type"": 17, ""w"": 29.0}]"
tremper,feuille,[]
feuille,gélatine,[]
bol,eau,"[{""id"": 561293661, ""node1"": 145405, ""node2"": 65012, ""type"": 0, ""w"": 42.0}]"
eau,froid,"[{""id"": 432163, ""node1"": 65012, ""node2"": 49803, ""type"": 17, ""w"": 74.0}]"
sucre,fonction,[]
fonction,goût,[]
trait,jus,[]
jus,fonction,[]
réfrigérateur,rafraîchir,"[{""id"": 2259896, ""node1"": 128721, ""node2"": 39738, ""type"": 0, ""w"": 60.0}, {""id"": 10634953, ""node1"": 128721, ""node2"": 39738, ""type"": 24, ""w"": 148.0}, {""id"": 399515152, ""node1"": 128721, ""node2"": 39738, ""type"": 25, ""w"": 30.0}, {""id"": 255063, ""node1"": 128721, ""node2"": 39738, ""type"": 30, ""w"": 167.0}]"
bol,réfrigérateur,[]
énergiquement,crème,[]
robot,main,"[{""id"": 60010915, ""node1"": 12875, ""node2"": 81934, ""type"": 9, ""w"": 32.0}]"
placer,bol,[]
bol,autre,[]
crème,bol,"[{""id"": 31873554, ""node1"": 44001, ""node2"": 145405, ""type"": 15, ""w"": 28.0}]"
bol,remplir,"[{""id"": 421529, ""node1"": 145405, ""node2"": 95980, ""type"": 25, ""w"": 140.0}, {""id"": 546331222, ""node1"": 145405, ""node2"": 95980, ""type"": 26, ""w"": 31.0}, {""id"": 24643849, ""node1"": 145405, ""node2"": 95980, ""type"": 30, ""w"": 51.0}]"
incorporer,peu,[]
peu,sucre,[]
commencer,chantilly,[]
verser,sachet,[]
devoir,chantilly,[]
chantilly,obtenir,[]
incorporer,conserver,[]
touche,décoratif,[]
touche,fin,[]
goutte,colorant,[]
colorant,alimentaire,[]
colorant,couleur,"[{""id"": 1287732, ""node1"": 119998, ""node2"": 40056, ""type"": 0, ""w"": 32.0}, {""id"": 572963, ""node1"": 119998, ""node2"": 40056, ""type"": 5, ""w"": 90.0}]"
couleur,fruit,[]
fruit,choisir,"[{""id"": 1045729402, ""node1"": 87286, ""node2"": 112698, ""type"": 24, ""w"": 42.0}, {""id"": 10744502, ""node1"": 87286, ""node2"": 112698, ""type"": 25, ""w"": 51.0}]"
obtenir,couleur,[]
ajouter,peu,[]
utiliser,moule,[]
moule,silicone,"[{""id"": 99104506, ""node1"": 143723, ""node2"": 132543, ""type"": 50, ""w"": 28.0}, {""id"": 770339472, ""node1"": 143723, ""node2"": 132543, ""type"": 666, ""w"": 3.0}]"
silicone,démontable,[]
base,céramique,[]
faire,cercle,[]
pâtisserie,haut,[]
hésiter,faire,[]
faire,affaire,[]
disque,grand,"[{""id"": 375184639, ""node1"": 31033, ""node2"": 23178, ""type"": 17, ""w"": 51.0}]"
mettre,disque,[]
disque,génoise,[]
moitié,appareil,[]
déposer,disque,[]
restant,préparation,[]
mettre,décorer,[]
décorer,dessus,[]
gâteau,frais,[]
