node1,node2,relations
pâté,campagne,[]
pâté,bocal,[]
pâté,ingrédient,[]
pâté,feuille,[]
feuille,laurier,"[{""id"": 15624759, ""node1"": 37993, ""node2"": 114548, ""type"": 0, ""w"": 29.0}, {""id"": 14620301, ""node1"": 37993, ""node2"": 114548, ""type"": 10, ""w"": 36.0}]"
feuille,poivre,"[{""id"": 403056318, ""node1"": 37993, ""node2"": 139597, ""type"": 777, ""w"": 10.0}]"
poivre,sel,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]"
sel,cognac,[]
feuille,sauter,[]
foie,oeuf,[]
oeuf,échalote,[]
pâté,top,[]
plaque,meilleur,[]
top,plaque,[]
plaque,four,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,mixeur,[]
mixeur,saladier,[]
saladier,cuillère,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 32.0}]"
cuillère,bois,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,four,[]
four,couvercle,[]
couvercle,étape,[]
top,couper,[]
couper,viande,"[{""id"": 241180, ""node1"": 128828, ""node2"": 140100, ""type"": 0, ""w"": 74.0}, {""id"": 15084106, ""node1"": 128828, ""node2"": 140100, ""type"": 14, ""w"": 100.0}]"
viande,sauté,[]
pâté,morceau,[]
morceau,gros,[]
fois,couper,[]
passer,viande,[]
grille,gros,[]
poivrer,viande,"[{""id"": 464031703, ""node1"": 70211, ""node2"": 140100, ""type"": 0, ""w"": 30.0}, {""id"": 464031702, ""node1"": 70211, ""node2"": 140100, ""type"": 14, ""w"": 100.0}, {""id"": 759486272, ""node1"": 70211, ""node2"": 140100, ""type"": 666, ""w"": 2.0}]"
viande,haché,[]
mixer,échalote,[]
ajouter,oeuf,"[{""id"": 373014565, ""node1"": 25099, ""node2"": 116175, ""type"": 14, ""w"": 31.0}]"
oeuf,deuxième,[]
œuf,troisième,[]
idem,œuf,[]
ajouter,mélange,[]
ajouter,cognac,[]
mélanger,tout,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]"
tout,avoir,[]
répartition,ingrédient,[]
frais,couvrir,"[{""id"": 797515299, ""node1"": 53495, ""node2"": 119824, ""type"": 0, ""w"": 26.0}]"
frais,film,[]
laisser,temps,[]
temps,préparer,[]
préparer,bocal,[]
remplir,bocal,"[{""id"": 31867785, ""node1"": 95980, ""node2"": 109384, ""type"": 14, ""w"": 30.0}, {""id"": 1046684348, ""node1"": 95980, ""node2"": 109384, ""type"": 31, ""w"": 20.0}]"
taille,bon,[]
taille,recette,[]
prendre,soin,[]
façon,chasser,[]
fond,bocal,[]
disposer,feuille,[]
dessus,mélange,[]
joint,bocal,[]
dessus,bocal,[]
eau,degré,"[{""id"": 1030686456, ""node1"": 65012, ""node2"": 121359, ""type"": 0, ""w"": 21.0}]"
cuisson,veiller,[]
dépasser,température,[]
température,eau,[]
recouvrir,bocal,[]
eau,rajouter,"[{""id"": 15063359, ""node1"": 65012, ""node2"": 87561, ""type"": 26, ""w"": 30.0}]"
eau,chauffer,"[{""id"": 913483848, ""node1"": 65012, ""node2"": 90994, ""type"": 0, ""w"": 20.0}, {""id"": 426780851, ""node1"": 65012, ""node2"": 90994, ""type"": 26, ""w"": 100.0}]"
éteindre,feu,"[{""id"": 2069969, ""node1"": 107734, ""node2"": 143703, ""type"": 0, ""w"": 129.0}, {""id"": 1375587, ""node1"": 107734, ""node2"": 143703, ""type"": 14, ""w"": 100.0}, {""id"": 376200967, ""node1"": 107734, ""node2"": 143703, ""type"": 16, ""w"": 26.0}, {""id"": 9121021, ""node1"": 107734, ""node2"": 143703, ""type"": 35, ""w"": 105.0}, {""id"": 1057899598, ""node1"": 107734, ""node2"": 143703, ""type"": 666, ""w"": 2.0}]"
refroidir,bocal,[]
fois,froid,[]
poser,bocal,[]
stérilisation,regarder,[]
colle,couvercle,[]
couvercle,bocal,"[{""id"": 106888402, ""node1"": 89523, ""node2"": 109384, ""type"": 0, ""w"": 76.0}, {""id"": 478898950, ""node1"": 89523, ""node2"": 109384, ""type"": 10, ""w"": 36.0}, {""id"": 5745867, ""node1"": 89523, ""node2"": 109384, ""type"": 777, ""w"": 10.0}]"
