node1,node2,relations
titre,quiche,[]
quiche,lorrain,[]
quiche,lait,"[{""id"": 86465958, ""node1"": 13151, ""node2"": 86296, ""type"": 0, ""w"": 81.0}, {""id"": 283916850, ""node1"": 13151, ""node2"": 86296, ""type"": 9, ""w"": 55.0}]"
lait,croire,[]
poivre,sel,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]"
sel,farine,[]
lait,gruyère,"[{""id"": 796773625, ""node1"": 86296, ""node2"": 54095, ""type"": 0, ""w"": 21.0}, {""id"": 9982242, ""node1"": 86296, ""node2"": 54095, ""type"": 10, ""w"": 4.0}, {""id"": 598510395, ""node1"": 86296, ""node2"": 54095, ""type"": 27, ""w"": 34.0}]"
lait,four,[]
four,bol,[]
bol,fouet,[]
fouet,cuisine,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]"
cuillère,bois,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,balance,[]
balance,cuisine,[]
balance,étape,[]
lait,étaler,[]
four,180,[]
four,degré,"[{""id"": 107015150, ""node1"": 9190, ""node2"": 121359, ""type"": 0, ""w"": 38.0}]"
four,c,[]
quiche,thermostat,[]
bol,battre,"[{""id"": 380401143, ""node1"": 145405, ""node2"": 119162, ""type"": 30, ""w"": 27.0}]"
battre,œuf,[]
ajouter,gruyère,[]
mélanger,tout,"[{""id"": 166642, ""node1"": 37151, ""node2"": 136232, ""type"": 14, ""w"": 110.0}]"
répartir,mélange,[]
cuire,min,[]
cuire,quiche,"[{""id"": 423945906, ""node1"": 5115, ""node2"": 13151, ""type"": 0, ""w"": 29.0}, {""id"": 544784043, ""node1"": 5115, ""node2"": 13151, ""type"": 13, ""w"": 100.0}, {""id"": 423945905, ""node1"": 5115, ""node2"": 13151, ""type"": 14, ""w"": 100.0}]"
doré,couleur,"[{""id"": 9366601, ""node1"": 47964, ""node2"": 40056, ""type"": 0, ""w"": 52.0}, {""id"": 80435782, ""node1"": 47964, ""node2"": 40056, ""type"": 6, ""w"": 51.0}, {""id"": 9252967, ""node1"": 47964, ""node2"": 40056, ""type"": 35, ""w"": 45.0}]"
