node1,node2,relations
tarte,ingrédient,"[{""id"": 588372722, ""node1"": 575, ""node2"": 123418, ""type"": 0, ""w"": 2.0}]"
tarte,sucre,"[{""id"": 10004683, ""node1"": 575, ""node2"": 139481, ""type"": 0, ""w"": 82.0}, {""id"": 2481728, ""node1"": 575, ""node2"": 139481, ""type"": 9, ""w"": 35.0}, {""id"": 413303, ""node1"": 575, ""node2"": 139481, ""type"": 28, ""w"": 89.0}, {""id"": 728290475, ""node1"": 575, ""node2"": 139481, ""type"": 50, ""w"": 31.0}, {""id"": 1011315760, ""node1"": 575, ""node2"": 139481, ""type"": 666, ""w"": 72.0}]"
sucre,semoule,"[{""id"": 277256, ""node1"": 139481, ""node2"": 64778, ""type"": 17, ""w"": -94.0}, {""id"": 639101518, ""node1"": 139481, ""node2"": 64778, ""type"": 141, ""w"": 25.0}]"
sucre,briser,[]
prune,cannelle,[]
moule,tarte,"[{""id"": 201624, ""node1"": 143723, ""node2"": 575, ""type"": 0, ""w"": 130.0}]"
tarte,four,"[{""id"": 588369597, ""node1"": 575, ""node2"": 9190, ""type"": 0, ""w"": 110.0}, {""id"": 113393, ""node1"": 575, ""node2"": 9190, ""type"": 15, ""w"": 238.0}, {""id"": 1015273156, ""node1"": 575, ""node2"": 9190, ""type"": 666, ""w"": 11.0}, {""id"": 4040856, ""node1"": 575, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,couteau,[]
four,balance,[]
balance,cuisine,[]
balance,étape,[]
pâte,briser,"[{""id"": 915390559, ""node1"": 34069, ""node2"": 21989, ""type"": 0, ""w"": 20.0}]"
préférence,métal,[]
faciliter,cuisson,[]
cuisson,fond,[]
piquer,fond,[]
aide,fourchette,[]
saupoudrer,fond,[]
fond,tarte,[]
fond,gramme,[]
gramme,sucre,"[{""id"": 720818120, ""node1"": 140383, ""node2"": 139481, ""type"": 174, ""w"": 25.0}]"
saupoudrer,semoule,"[{""id"": 374374371, ""node1"": 133415, ""node2"": 64778, ""type"": 14, ""w"": 46.0}]"
semoule,absorber,[]
excédent,jus,[]
bord,moule,[]
pulpe,haut,[]
couler,jus,[]
saupoudrer,gramme,[]
four,chaud,"[{""id"": 363192, ""node1"": 9190, ""node2"": 19150, ""type"": 0, ""w"": 123.0}, {""id"": 376860, ""node1"": 9190, ""node2"": 19150, ""type"": 17, ""w"": 130.0}, {""id"": 11348785, ""node1"": 9190, ""node2"": 19150, ""type"": 28, ""w"": 38.0}, {""id"": 2221131, ""node1"": 9190, ""node2"": 19150, ""type"": 666, ""w"": 1.0}]"
four,c,[]
mettre,thermostat,[]
devoir,brûler,[]
reste,sucre,[]
reste,poudre,"[{""id"": 560959193, ""node1"": 21110, ""node2"": 139470, ""type"": 0, ""w"": 31.0}]"
saupoudrer,servir,[]
fond,semoule,[]
semoule,blé,"[{""id"": 644065, ""node1"": 64778, ""node2"": 32071, ""type"": 0, ""w"": 65.0}, {""id"": 54639513, ""node1"": 64778, ""node2"": 32071, ""type"": 5, ""w"": 57.0}, {""id"": 1073221244, ""node1"": 64778, ""node2"": 32071, ""type"": 666, ""w"": 2.0}]"
saupoudrer,disposer,"[{""id"": 1002318, ""node1"": 133415, ""node2"": 116780, ""type"": 0, ""w"": 29.0}]"
