node1,node2,relations
sucre,oeuf,"[{""id"": 376049526, ""node1"": 139481, ""node2"": 116175, ""type"": 51, ""w"": 41.0}]"
sucre,mascarpone,[]
mascarpone,sucre,[]
sucre,vanillé,"[{""id"": 9901819, ""node1"": 139481, ""node2"": 19738, ""type"": 0, ""w"": 13.0}, {""id"": 360676, ""node1"": 139481, ""node2"": 19738, ""type"": 8, ""w"": -101.0}]"
sucre,cacao,"[{""id"": 561132476, ""node1"": 139481, ""node2"": 68363, ""type"": 0, ""w"": 48.0}]"
sucre,mixeur,[]
mixeur,saladier,[]
saladier,couvercle,[]
couvercle,balance,[]
balance,cuisine,[]
mixeur,réfrigérateur,[]
réfrigérateur,plat,"[{""id"": 399515136, ""node1"": 128721, ""node2"": 36327, ""type"": 0, ""w"": 100.0}, {""id"": 13501043, ""node1"": 128721, ""node2"": 36327, ""type"": 28, ""w"": 60.0}]"
réfrigérateur,étape,[]
réfrigérateur,bord,[]
réfrigérateur,biscuit,[]
aide,mixeur,[]
mixeur,biscuit,[]
biscuit,restant,[]
trou,biscuit,[]
partie,petit,[]
partie,poudre,[]
Réserver,reste,[]
battre,jaune,[]
sucre,ce,[]
blanchir,mélange,[]
monter,ajouter,[]
ajouter,mascarpone,[]
saladier,autre,[]
monter,blanc,[]
sucre,neige,[]
Ajoutez,blanc,[]
recouvrir,couche,"[{""id"": 957783742, ""node1"": 26206, ""node2"": 19152, ""type"": 666, ""w"": 3.0}]"
couche,premier,[]
couche,préparation,[]
moitié,préparation,[]
reste,poudre,"[{""id"": 560959193, ""node1"": 21110, ""node2"": 139470, ""type"": 0, ""w"": 31.0}]"
reste,terminer,[]
reste,préparation,[]
réserver,réfrigérateur,[]
réfrigérateur,heure,[]
