node1,node2,relations
spécialité,culinaire,"[{""id"": 477435, ""node1"": 49537, ""node2"": 347, ""type"": 0, ""w"": 32.0}]"
spécialité,composer,[]
tranche,pain,"[{""id"": 240074, ""node1"": 143123, ""node2"": 61283, ""type"": 0, ""w"": 221.0}, {""id"": 97833247, ""node1"": 143123, ""node2"": 61283, ""type"": 3, ""w"": 10.0}, {""id"": 9992595, ""node1"": 143123, ""node2"": 61283, ""type"": 10, ""w"": 4.0}, {""id"": 97327248, ""node1"": 143123, ""node2"": 61283, ""type"": 35, ""w"": 30.0}, {""id"": 775213283, ""node1"": 143123, ""node2"": 61283, ""type"": 174, ""w"": 25.0}]"
pain,grillé,"[{""id"": 1782545, ""node1"": 61283, ""node2"": 141899, ""type"": 17, ""w"": 80.0}]"
spécialité,frotter,[]
arroser,huile,[]
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
olive,sortir,[]
façon,fêter,[]
arrivée,huile,[]
huile,nouveau,[]
arrivée,moulin,[]
moulin,Provence,[]
typique,lui,[]
façon,typique,[]
façon,niçois,[]
frotter,provençal,[]
frotter,tranche,[]
gousse,ail,"[{""id"": 1841967, ""node1"": 3889, ""node2"": 26979, ""type"": 0, ""w"": 58.0}, {""id"": 665112731, ""node1"": 3889, ""node2"": 26979, ""type"": 174, ""w"": 40.0}, {""id"": 714921743, ""node1"": 3889, ""node2"": 26979, ""type"": 666, ""w"": 3.0}]"
filet,huile,[]
pomme,amour,"[{""id"": 241483, ""node1"": 37201, ""node2"": 37298, ""type"": 0, ""w"": 60.0}, {""id"": 9318588, ""node1"": 37201, ""node2"": 37298, ""type"": 32, ""w"": 41.0}]"
couper,qui,[]
verre,vin,"[{""id"": 108748, ""node1"": 144497, ""node2"": 35798, ""type"": 0, ""w"": 134.0}, {""id"": 123509, ""node1"": 144497, ""node2"": 35798, ""type"": 8, ""w"": -50.0}, {""id"": 10527320, ""node1"": 144497, ""node2"": 35798, ""type"": 9, ""w"": 9.0}, {""id"": 393479, ""node1"": 144497, ""node2"": 35798, ""type"": 28, ""w"": 183.0}, {""id"": 720818008, ""node1"": 144497, ""node2"": 35798, ""type"": 174, ""w"": 25.0}, {""id"": 1921306, ""node1"": 144497, ""node2"": 35798, ""type"": 666, ""w"": 3.0}]"
couper,faim,[]
exister,forme,"[{""id"": 643689151, ""node1"": 85728, ""node2"": 142000, ""type"": 14, ""w"": 30.0}]"
forme,sociabilité,[]
sociabilité,vivre,[]
vivre,fabrication,[]
fabrication,huile,[]
olive,couronner,[]
fête,huile,[]
finir,produit,[]
richesse,unique,[]
posséder,huile,[]
posséder,cru,[]
davantage,consommation,[]
consommation,commun,[]
consommation,pain,[]
consommation,frotter,[]
cérémonie,repas,[]
repas,fin,[]
fin,récolte,[]
cérémonie,véritable,[]
cérémonie,goûter,[]
qualité,arbre,[]
qualité,associer,[]
paternité,magique,[]
déjeuner,petit,"[{""id"": 12233362, ""node1"": 78845, ""node2"": 55222, ""type"": 0, ""w"": 34.0}, {""id"": 706705, ""node1"": 78845, ""node2"": 55222, ""type"": 5, ""w"": 27.0}]"
celui,déjeuner,[]
déguster,qui,[]
celui,déguster,[]
pain,tremper,"[{""id"": 796709520, ""node1"": 61283, ""node2"": 119858, ""type"": 0, ""w"": 26.0}, {""id"": 13712024, ""node1"": 61283, ""node2"": 119858, ""type"": 25, ""w"": 61.0}, {""id"": 15067890, ""node1"": 61283, ""node2"": 119858, ""type"": 26, ""w"": 100.0}]"
café,historique,[]
café,Paris,"[{""id"": 797513018, ""node1"": 66324, ""node2"": 113317, ""type"": 0, ""w"": 24.0}, {""id"": 3927715, ""node1"": 66324, ""node2"": 113317, ""type"": 777, ""w"": 2.0}]"
mise,bouche,[]
