node1,node2,relations
titre,crêpe,[]
crêpe,article,[]
voir,crêpe,[]
crêpe,homonymie,[]
titre,pâte,[]
mets,crêpe,"[{""id"": 900239174, ""node1"": 114839, ""node2"": 17186, ""type"": 0, ""w"": 30.0}, {""id"": 246626879, ""node1"": 114839, ""node2"": 17186, ""type"": 8, ""w"": 35.0}]"
mets,composer,[]
couche,fin,[]
fin,pâte,"[{""id"": 97866004, ""node1"": 144718, ""node2"": 34069, ""type"": 23, ""w"": 30.0}]"
mets,faire,[]
base,farine,[]
œuf,liquide,[]
liquide,lait,"[{""id"": 118902, ""node1"": 140315, ""node2"": 86296, ""type"": 0, ""w"": 112.0}, {""id"": 9626234, ""node1"": 140315, ""node2"": 86296, ""type"": 8, ""w"": 37.0}, {""id"": 117860, ""node1"": 140315, ""node2"": 86296, ""type"": 23, ""w"": 70.0}, {""id"": 376037355, ""node1"": 140315, ""node2"": 86296, ""type"": 51, ""w"": 34.0}, {""id"": 653265725, ""node1"": 140315, ""node2"": 86296, ""type"": 666, ""w"": 4.0}]"
liquide,mélanger,[]
mets,levain,[]
forme,lui,[]
forme,rond,"[{""id"": 130227, ""node1"": 142000, ""node2"": 82147, ""type"": 0, ""w"": 131.0}, {""id"": 104215, ""node1"": 142000, ""node2"": 82147, ""type"": 8, ""w"": 113.0}]"
manger,crêpe,"[{""id"": 371561928, ""node1"": 130164, ""node2"": 17186, ""type"": 0, ""w"": 31.0}, {""id"": 98317249, ""node1"": 130164, ""node2"": 17186, ""type"": 14, ""w"": 100.0}]"
plat,principal,[]
servir,lui,[]
épaisseur,variable,[]
mardi,gras,"[{""id"": 141291, ""node1"": 16956, ""node2"": 56362, ""type"": 0, ""w"": 435.0}, {""id"": 211654, ""node1"": 16956, ""node2"": 56362, ""type"": 17, ""w"": 270.0}]"
devenir,spécialité,"[{""id"": 978923000, ""node1"": 9626, ""node2"": 49537, ""type"": 14, ""w"": 31.0}]"
spécialité,crêpe,"[{""id"": 900239270, ""node1"": 49537, ""node2"": 17186, ""type"": 0, ""w"": 30.0}]"
crêpe,breton,"[{""id"": 291369811, ""node1"": 17186, ""node2"": 40461, ""type"": 0, ""w"": 3.0}, {""id"": 599365752, ""node1"": 17186, ""node2"": 40461, ""type"": 17, ""w"": 29.0}, {""id"": 291369810, ""node1"": 17186, ""node2"": 40461, ""type"": 666, ""w"": 2.0}, {""id"": 24927324, ""node1"": 17186, ""node2"": 40461, ""type"": 777, ""w"": 8.0}]"
spécialité,galette,[]
galette,sarrasin,"[{""id"": 2583997, ""node1"": 28590, ""node2"": 29459, ""type"": 0, ""w"": 52.0}]"
prendre,sens,[]
genre,pâtisserie,[]
caractériser,crêpe,[]
faire,que,[]
faire,pâte,"[{""id"": 97862385, ""node1"": 87528, ""node2"": 34069, ""type"": 14, ""w"": 32.0}]"
pâte,étaler,"[{""id"": 892212141, ""node1"": 34069, ""node2"": 98214, ""type"": 0, ""w"": 21.0}, {""id"": 15071167, ""node1"": 34069, ""node2"": 98214, ""type"": 26, ""w"": 100.0}]"
distinguer,crêpe,[]
crêpe,couleur,[]
couleur,clair,"[{""id"": 21115738, ""node1"": 40056, ""node2"": 4215, ""type"": 0, ""w"": 47.0}, {""id"": 13199548, ""node1"": 40056, ""node2"": 4215, ""type"": 17, ""w"": 30.0}, {""id"": 3174412, ""node1"": 40056, ""node2"": 4215, ""type"": 106, ""w"": 34.0}]"
crêpe,préparer,"[{""id"": 348323998, ""node1"": 17186, ""node2"": 36246, ""type"": 38, ""w"": 29.0}]"
crêpe,de,[]
celui,réaliser,[]
farine,sarrasin,"[{""id"": 423997388, ""node1"": 127629, ""node2"": 29459, ""type"": 0, ""w"": 2.0}, {""id"": 243434862, ""node1"": 127629, ""node2"": 29459, ""type"": 8, ""w"": 28.0}]"
