node1,node2,relations
pâtisserie,religieuse,"[{""id"": 9903537, ""node1"": 25966, ""node2"": 8515, ""type"": 0, ""w"": 43.0}, {""id"": 563924, ""node1"": 25966, ""node2"": 8515, ""type"": 5, ""w"": 81.0}, {""id"": 623772, ""node1"": 25966, ""node2"": 8515, ""type"": 8, ""w"": 108.0}, {""id"": 107306752, ""node1"": 25966, ""node2"": 8515, ""type"": 27, ""w"": 32.0}, {""id"": 98271366, ""node1"": 25966, ""node2"": 8515, ""type"": 28, ""w"": 30.0}]"
pâtisserie,base,[]
base,pâte,[]
pâtisserie,chou,"[{""id"": 976058, ""node1"": 25966, ""node2"": 67203, ""type"": 0, ""w"": 48.0}, {""id"": 9684069, ""node1"": 25966, ""node2"": 67203, ""type"": 8, ""w"": 58.0}, {""id"": 103295605, ""node1"": 25966, ""node2"": 67203, ""type"": 27, ""w"": 27.0}]"
crème,pâtissier,"[{""id"": 561269853, ""node1"": 44001, ""node2"": 31618, ""type"": 0, ""w"": 41.0}]"
sembler,recette,[]
éclair,recette,[]
chou,poser,[]
chou,dont,[]
chou,chou,"[{""id"": 288647, ""node1"": 67203, ""node2"": 67203, ""type"": 19, ""w"": 56.0}]"
chou,supérieur,[]
chou,censé,[]
recouvrir,chou,[]
parfum,même,[]
fondre,parfum,[]
parfum,crème,[]
crème,beurre,"[{""id"": 405906, ""node1"": 44001, ""node2"": 140377, ""type"": 0, ""w"": 73.0}, {""id"": 9980280, ""node1"": 44001, ""node2"": 140377, ""type"": 10, ""w"": 4.0}, {""id"": 1836384, ""node1"": 44001, ""node2"": 140377, ""type"": 21, ""w"": 60.0}, {""id"": 306776452, ""node1"": 44001, ""node2"": 140377, ""type"": 666, ""w"": 2.0}]"
beurre,café,[]
permettre,vanille,[]
tenir,tête,[]
