node1,node2,relations
sauce,sauce,"[{""id"": 331997, ""node1"": 141110, ""node2"": 141110, ""type"": 19, ""w"": 146.0}]"
sauce,trempe,[]
feu,occasion,[]
confondre,sauce,[]
préparer,sauce,"[{""id"": 395781320, ""node1"": 36246, ""node2"": 141110, ""type"": 0, ""w"": 35.0}, {""id"": 373014451, ""node1"": 36246, ""node2"": 141110, ""type"": 14, ""w"": 100.0}]"
amande,grillé,"[{""id"": 93777832, ""node1"": 28557, ""node2"": 141899, ""type"": 17, ""w"": 24.0}]"
tomate,rouge,"[{""id"": 366197, ""node1"": 22138, ""node2"": 86356, ""type"": 0, ""w"": 174.0}, {""id"": 53686516, ""node1"": 22138, ""node2"": 86356, ""type"": 5, ""w"": 59.0}, {""id"": 910018973, ""node1"": 22138, ""node2"": 86356, ""type"": 6, ""w"": 10.0}, {""id"": 1780839, ""node1"": 22138, ""node2"": 86356, ""type"": 17, ""w"": 157.0}, {""id"": 3161509, ""node1"": 22138, ""node2"": 86356, ""type"": 106, ""w"": 52.0}, {""id"": 1522576, ""node1"": 22138, ""node2"": 86356, ""type"": 666, ""w"": 30.0}]"
tomate,piment,"[{""id"": 421761031, ""node1"": 22138, ""node2"": 128791, ""type"": 0, ""w"": 2.0}]"
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
olive,vinaigre,[]
olive,sel,[]
olive,persil,[]
produit,autre,[]
produit,tel,[]
pain,grillé,"[{""id"": 1782545, ""node1"": 61283, ""node2"": 141899, ""type"": 17, ""w"": 80.0}]"
pain,ail,[]
ail,croire,[]
noisette,grillé,[]
projet,autre,[]
