node1,node2,relations
soupe,soupe,"[{""id"": 334023, ""node1"": 117152, ""node2"": 117152, ""type"": 19, ""w"": 160.0}]"
soupe,oignon,"[{""id"": 224151, ""node1"": 117152, ""node2"": 123307, ""type"": 0, ""w"": 73.0}, {""id"": 216637780, ""node1"": 117152, ""node2"": 123307, ""type"": 50, ""w"": 31.0}]"
soupe,écouter,[]
soupe,base,[]
base,oignon,[]
soupe,traditionnel,[]
soupe,cuisine,"[{""id"": 3064191, ""node1"": 117152, ""node2"": 16033, ""type"": 0, ""w"": 314.0}, {""id"": 505579, ""node1"": 117152, ""node2"": 16033, ""type"": 3, ""w"": 290.0}, {""id"": 54686697, ""node1"": 117152, ""node2"": 16033, ""type"": 5, ""w"": 118.0}, {""id"": 219182, ""node1"": 117152, ""node2"": 16033, ""type"": 15, ""w"": 129.0}, {""id"": 376199851, ""node1"": 117152, ""node2"": 16033, ""type"": 16, ""w"": -32.0}, {""id"": 765133890, ""node1"": 117152, ""node2"": 16033, ""type"": 80, ""w"": 26.0}]"
cuisine,français,"[{""id"": 940911531, ""node1"": 16033, ""node2"": 144991, ""type"": 17, ""w"": 62.0}]"
région,producteur,[]
région,oignon,[]
fromage,râpé,"[{""id"": 12302415, ""node1"": 141687, ""node2"": 52123, ""type"": 0, ""w"": 35.0}, {""id"": 570495, ""node1"": 141687, ""node2"": 52123, ""type"": 5, ""w"": 34.0}, {""id"": 25028576, ""node1"": 141687, ""node2"": 52123, ""type"": 8, ""w"": 26.0}, {""id"": 383306, ""node1"": 141687, ""node2"": 52123, ""type"": 17, ""w"": 129.0}]"
populaire,soupe,"[{""id"": 76423055, ""node1"": 19960, ""node2"": 117152, ""type"": 23, ""w"": 27.0}]"
histoire,considérer,[]
raison,abondance,[]
abondance,oignon,[]
venir,version,[]
version,moderne,"[{""id"": 374236489, ""node1"": 134208, ""node2"": 136307, ""type"": 17, ""w"": 51.0}]"
version,soupe,[]
venir,faire,[]
pain,sec,"[{""id"": 558756448, ""node1"": 61283, ""node2"": 63619, ""type"": 0, ""w"": 35.0}, {""id"": 147653, ""node1"": 61283, ""node2"": 63619, ""type"": 17, ""w"": 80.0}]"
pain,bouillon,"[{""id"": 914309660, ""node1"": 61283, ""node2"": 146582, ""type"": 0, ""w"": 20.0}]"
bouillon,bœuf,[]
cuisinier,tout,[]
faire,cuisinier,[]
faire,apprendre,"[{""id"": 12310215, ""node1"": 87528, ""node2"": 28838, ""type"": 0, ""w"": 32.0}, {""id"": 558267, ""node1"": 87528, ""node2"": 28838, ""type"": 5, ""w"": 35.0}]"
apprendre,cuisine,[]
faire,apprentissage,[]
descendre,que,[]
auberge,descendre,[]
visiter,soir,[]
servir,soupe,"[{""id"": 369969186, ""node1"": 7888, ""node2"": 117152, ""type"": 0, ""w"": 27.0}, {""id"": 369969185, ""node1"": 7888, ""node2"": 117152, ""type"": 14, ""w"": 100.0}, {""id"": 1046684358, ""node1"": 7888, ""node2"": 117152, ""type"": 31, ""w"": 20.0}]"
continuer,route,[]
préparer,semblable,[]
descendre,enveloppé,[]
enveloppé,robe,[]
robe,chambre,"[{""id"": 558702854, ""node1"": 110160, ""node2"": 90075, ""type"": 0, ""w"": 27.0}]"
odeur,oignon,[]
odeur,arracher,[]
larme,gros,[]
prendre,note,[]
art,faire,"[{""id"": 54626596, ""node1"": 3695, ""node2"": 87528, ""type"": 0, ""w"": 26.0}, {""id"": 54623829, ""node1"": 3695, ""node2"": 87528, ""type"": 5, ""w"": -91.0}]"
soupe,excellent,[]
faire,soupe,[]
nom,soupe,[]
publier,recette,"[{""id"": 569425003, ""node1"": 89502, ""node2"": 120188, ""type"": 14, ""w"": 35.0}]"
ménage,tout,[]
livre,ménage,[]
livre,conserver,[]
substance,tout,[]
conserver,substance,[]
