head,lemma,dep,pos,sim,relation
titre,levure,nmod,NOUN,0.558043360710144,[]
levure,boulanger,nmod,NOUN,0.5430918335914612,"[{""id"": 1769594, ""node1"": 53450, ""node2"": 145285, ""type"": 0, ""w"": 90.0}, {""id"": 376186762, ""node1"": 53450, ""node2"": 145285, ""type"": 25, ""w"": 26.0}]"
boulanger,sel,appos,NOUN,0.6785151362419128,"[{""id"": 203696, ""node1"": 145285, ""node2"": 13260, ""type"": 16, ""w"": 70.0}]"
sel,beurre,nmod,NOUN,0.7119027376174927,"[{""id"": 29328492, ""node1"": 13260, ""node2"": 140377, ""type"": 0, ""w"": 30.0}, {""id"": 9986817, ""node1"": 13260, ""node2"": 140377, ""type"": 10, ""w"": 35.0}]"
levure,farine,amod,NOUN,0.6151298880577087,"[{""id"": 1788186, ""node1"": 53450, ""node2"": 127629, ""type"": 0, ""w"": 60.0}, {""id"": 1046576042, ""node1"": 53450, ""node2"": 127629, ""type"": 8, ""w"": 20.0}]"
levure,sucre,nmod,NOUN,0.6511401534080505,[]
sucre,lait,nmod,NOUN,0.6437966823577881,[]
lait,semoule,nmod,NOUN,0.6432172060012817,[]
lait,fin,amod,ADJ,0.5836765766143799,[]
oeuf,bacon,nmod,NOUN,0.5940601229667664,"[{""id"": 915336573, ""node1"": 116175, ""node2"": 25901, ""type"": 0, ""w"": 41.0}, {""id"": 131036907, ""node1"": 116175, ""node2"": 25901, ""type"": 75, ""w"": 34.0}]"
titre,four,nmod,NOUN,0.6455731391906738,[]
titre,crêpe,nmod,NOUN,0.570457935333252,[]
crêpe,plat,obj,ADJ,0.6720579862594604,"[{""id"": 926855920, ""node1"": 17186, ""node2"": 36327, ""type"": 0, ""w"": 20.0}, {""id"": 98284689, ""node1"": 17186, ""node2"": 36327, ""type"": 6, ""w"": 362.0}]"
titre,table,nmod,NOUN,0.485977828502655,[]
titre,induction,amod,NOUN,0.424459308385849,[]
eau,minute,nmod,NOUN,0.5597324967384338,[]
ajouter,reste,obj,NOUN,0.454963743686676,[]
reste,ingrédient,nmod,NOUN,0.5645049810409546,[]
obtenir,boule,obj,NOUN,0.4798097908496856,[]
boule,pâte,nmod,NOUN,0.6151799559593201,"[{""id"": 720819459, ""node1"": 141883, ""node2"": 34069, ""type"": 174, ""w"": 25.0}, {""id"": 4827130, ""node1"": 141883, ""node2"": 34069, ""type"": 777, ""w"": 10.0}]"
