head,lemma,dep,pos,sim,relation
titre,ingrédient,nmod,NOUN,0.4716755747795105,[]
ingrédient,pain,appos,NOUN,0.7018783092498779,"[{""id"": 15303725, ""node1"": 123418, ""node2"": 61283, ""type"": 0, ""w"": 26.0}, {""id"": 15173649, ""node1"": 123418, ""node2"": 61283, ""type"": 27, ""w"": -30.0}]"
casserole,four,nmod,NOUN,0.7147663235664368,[]
four,micro-onde,nmod,NOUN,0.6579254269599915,"[{""id"": 363193, ""node1"": 9190, ""node2"": 47773, ""type"": 0, ""w"": 80.0}, {""id"": 243399915, ""node1"": 9190, ""node2"": 47773, ""type"": 8, ""w"": 28.0}]"
plaque,meilleur,amod,ADJ,0.5153307318687439,[]
top,plaque,nmod,NOUN,0.4243907332420349,[]
plaque,four,nmod,NOUN,0.6611073017120361,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
top,cuire,acl,VERB,0.5963633060455322,[]
cuire,saucisse,obj,NOUN,0.7689115405082703,"[{""id"": 920047219, ""node1"": 5115, ""node2"": 77807, ""type"": 0, ""w"": 20.0}, {""id"": 98317110, ""node1"": 5115, ""node2"": 77807, ""type"": 14, ""w"": 30.0}]"
saucisse,four,nmod,NOUN,0.7220132946968079,[]
four,micro-ondes,amod,ADV,0.6501899361610413,"[{""id"": 364530, ""node1"": 9190, ""node2"": 92541, ""type"": 0, ""w"": 61.0}, {""id"": 1029292990, ""node1"": 9190, ""node2"": 92541, ""type"": 67, ""w"": 27.0}, {""id"": 1032954530, ""node1"": 9190, ""node2"": 92541, ""type"": 78, ""w"": 31.0}]"
mettre,pain,obj,NOUN,0.6613816618919373,"[{""id"": 477652668, ""node1"": 132366, ""node2"": 61283, ""type"": 0, ""w"": 42.0}, {""id"": 477652667, ""node1"": 132366, ""node2"": 61283, ""type"": 14, ""w"": 100.0}]"
déposer,saucisse,obj,NOUN,0.578495979309082,[]
saucisse,pain,nmod,NOUN,0.6804122924804688,"[{""id"": 560964721, ""node1"": 77807, ""node2"": 61283, ""type"": 0, ""w"": 57.0}]"
ajouter,moutarde,obj,NOUN,0.585381031036377,[]
