head,lemma,dep,pos,sim,relation
titre,pince,appos,NOUN,0.451820820569992,[]
pince,radis,nmod,NOUN,0.5287327766418457,[]
pince,Jacques,flat:name,PROPN,0.401284396648407,[]
amuser,bouche,obj,NOUN,0.4525942802429199,[]
bouche,Noël,nmod,PROPN,0.4581757187843323,"[{""id"": 18022108, ""node1"": 16110, ""node2"": 143255, ""type"": 10, ""w"": 34.0}]"
ingrédient,miel,appos,ADJ,0.6318907737731934,"[{""id"": 245158268, ""node1"": 123418, ""node2"": 136055, ""type"": 8, ""w"": 27.0}]"
miel,vinaigre,nmod,NOUN,0.6219134330749512,"[{""id"": 654230744, ""node1"": 136055, ""node2"": 145443, ""type"": 0, ""w"": 29.0}, {""id"": 5021048, ""node1"": 136055, ""node2"": 145443, ""type"": 777, ""w"": 10.0}]"
vinaigre,blanc,amod,ADJ,0.5947067141532898,"[{""id"": 2151639, ""node1"": 145443, ""node2"": 15196, ""type"": 0, ""w"": 125.0}, {""id"": 8546217, ""node1"": 145443, ""node2"": 15196, ""type"": 106, ""w"": 1.0}]"
miel,concentrer,acl,VERB,0.5771260261535645,[]
feuille,huile,amod,NOUN,0.5918936729431152,[]
huile,sésame,nmod,NOUN,0.6178574562072754,"[{""id"": 12295235, ""node1"": 141971, ""node2"": 18404, ""type"": 0, ""w"": 43.0}, {""id"": 580644, ""node1"": 141971, ""node2"": 18404, ""type"": 5, ""w"": 32.0}, {""id"": 88080850, ""node1"": 141971, ""node2"": 18404, ""type"": 35, ""w"": 32.0}, {""id"": 380316783, ""node1"": 141971, ""node2"": 18404, ""type"": 54, ""w"": 34.0}]"
sésame,radis,nmod,NOUN,0.5532621145248413,[]
sésame,long,amod,ADJ,0.5348172187805176,[]
miel,coriandre,nmod,NOUN,0.6366256475448608,[]
coriandre,graine,nmod,NOUN,0.5816008448600769,"[{""id"": 609050361, ""node1"": 61977, ""node2"": 14469, ""type"": 0, ""w"": 41.0}]"
graine,fruit,nmod,NOUN,0.5155152678489685,"[{""id"": 12260338, ""node1"": 14469, ""node2"": 87286, ""type"": 0, ""w"": 31.0}, {""id"": 676091, ""node1"": 14469, ""node2"": 87286, ""type"": 5, ""w"": 121.0}, {""id"": 9984407, ""node1"": 14469, ""node2"": 87286, ""type"": 10, ""w"": 40.0}, {""id"": 998427450, ""node1"": 14469, ""node2"": 87286, ""type"": 122, ""w"": 26.0}, {""id"": 748561244, ""node1"": 14469, ""node2"": 87286, ""type"": 666, ""w"": 2.0}, {""id"": 6419132, ""node1"": 14469, ""node2"": 87286, ""type"": 777, ""w"": 10.0}]"
fruit,passion,nmod,NOUN,0.4803899526596069,"[{""id"": 640137315, ""node1"": 87286, ""node2"": 39448, ""type"": 0, ""w"": 26.0}, {""id"": 14799317, ""node1"": 87286, ""node2"": 39448, ""type"": 23, ""w"": 21.0}]"
passion,carotte,amod,NOUN,0.5896150469779968,[]
grille,plat,nmod,ADJ,0.6309797763824463,[]
grille,étape,nmod,NOUN,0.4303568601608276,[]
tailler,Saint-Jacques,nmod,PROPN,0.4459853172302246,[]
poser,grille,obj,NOUN,0.4743796288967132,[]
verser,gelée,obj,NOUN,0.5728523135185242,[]
verser,recouvrir,advcl,VERB,0.4716977775096893,[]
débarrasser,reste,obj,NOUN,0.448172926902771,[]
reste,gelée,nmod,NOUN,0.5646317601203918,[]
gelée,frais,nmod,NOUN,0.5261552333831787,"[{""id"": 558778639, ""node1"": 47620, ""node2"": 53495, ""type"": 0, ""w"": 36.0}]"
recette,futur,amod,ADJ,0.5384499430656433,[]
reste,recette,nmod,NOUN,0.6246734857559204,[]
tailler,radis,nmod,NOUN,0.4989050626754761,[]
coté,plat,amod,ADJ,0.5617240071296692,[]
obtenir,rectangle,obj,NOUN,0.4116239249706268,[]
tailler,carotte,obj,NOUN,0.5392707586288452,[]
concentré,tomate,nmod,NOUN,0.6039107441902161,[]
eau,froid,amod,ADJ,0.5808660984039307,"[{""id"": 432163, ""node1"": 65012, ""node2"": 49803, ""type"": 17, ""w"": 74.0}]"
eau,préparation,nmod,NOUN,0.5679055452346802,"[{""id"": 1030694971, ""node1"": 65012, ""node2"": 33634, ""type"": 0, ""w"": 20.0}]"
faire,refroidir,acl,VERB,0.5327272415161133,[]
