head,lemma,dep,pos,sim,relation
facile,Sauce,nsubj,X,0.4860051572322845,[]
facile,ingrédient,obj,NOUN,0.5377076864242554,[]
ingrédient,crème,amod,NOUN,0.6610228419303894,"[{""id"": 24923429, ""node1"": 123418, ""node2"": 44001, ""type"": 0, ""w"": 15.0}, {""id"": 24850724, ""node1"": 123418, ""node2"": 44001, ""type"": 8, ""w"": 36.0}]"
crème,gingembre,nmod,NOUN,0.6573389172554016,[]
ingrédient,coriandre,nmod,NOUN,0.6872987747192383,[]
coriandre,poivre,nmod,NOUN,0.6449258923530579,"[{""id"": 16178724, ""node1"": 61977, ""node2"": 139597, ""type"": 777, ""w"": 10.0}]"
poivre,épice,nmod,NOUN,0.6949240565299988,"[{""id"": 9366794, ""node1"": 139597, ""node2"": 146056, ""type"": 0, ""w"": 88.0}, {""id"": 151678, ""node1"": 139597, ""node2"": 146056, ""type"": 5, ""w"": 60.0}, {""id"": 14806185, ""node1"": 139597, ""node2"": 146056, ""type"": 6, ""w"": 261.0}, {""id"": 9288199, ""node1"": 139597, ""node2"": 146056, ""type"": 35, ""w"": 84.0}, {""id"": 993686851, ""node1"": 139597, ""node2"": 146056, ""type"": 666, ""w"": 2.0}, {""id"": 6516352, ""node1"": 139597, ""node2"": 146056, ""type"": 777, ""w"": 9.0}]"
facile,mixeur,obj,NOUN,0.5341933369636536,[]
mixeur,casserole,nmod,NOUN,0.61752849817276,[]
casserole,set,nmod,NOUN,0.4378535151481628,[]
casserole,plat,obj,ADJ,0.6902399659156799,"[{""id"": 96920385, ""node1"": 57253, ""node2"": 36327, ""type"": 0, ""w"": 29.0}, {""id"": 98347819, ""node1"": 57253, ""node2"": 36327, ""type"": 6, ""w"": 30.0}, {""id"": 961890648, ""node1"": 57253, ""node2"": 36327, ""type"": 10, ""w"": 24.0}, {""id"": 96920374, ""node1"": 57253, ""node2"": 36327, ""type"": 35, ""w"": 15.0}, {""id"": 980524185, ""node1"": 57253, ""node2"": 36327, ""type"": 666, ""w"": 3.0}]"
ingrédient,tout,amod,ADJ,0.580045223236084,[]
ajouter,ingrédient,obj,NOUN,0.5645265579223633,"[{""id"": 9084112, ""node1"": 25099, ""node2"": 123418, ""type"": 0, ""w"": 56.0}, {""id"": 428901945, ""node1"": 25099, ""node2"": 123418, ""type"": 14, ""w"": 100.0}, {""id"": 9084083, ""node1"": 25099, ""node2"": 123418, ""type"": 35, ""w"": 48.0}]"
ingrédient,mixeur,nmod,NOUN,0.6120278239250183,[]
chauffer,sauce,obj,NOUN,0.7389987111091614,[]
feu,doux,amod,ADJ,0.5496628284454346,[]
accompagner,plat,obj,NOUN,0.6060267686843872,[]
plat,chaud,amod,ADJ,0.6285735368728638,"[{""id"": 915118669, ""node1"": 36327, ""node2"": 19150, ""type"": 0, ""w"": 23.0}, {""id"": 371938, ""node1"": 36327, ""node2"": 19150, ""type"": 17, ""w"": 110.0}]"
blanc,poulet,nmod,NOUN,0.6177458167076111,"[{""id"": 9356626, ""node1"": 15196, ""node2"": 146261, ""type"": 0, ""w"": 50.0}, {""id"": 97329786, ""node1"": 15196, ""node2"": 146261, ""type"": 10, ""w"": 29.0}, {""id"": 1933499, ""node1"": 15196, ""node2"": 146261, ""type"": 35, ""w"": 45.0}, {""id"": 14659361, ""node1"": 15196, ""node2"": 146261, ""type"": 42, ""w"": 29.0}, {""id"": 1663131, ""node1"": 15196, ""node2"": 146261, ""type"": 666, ""w"": 1.0}]"
blanc,cuire,acl,VERB,0.7315089702606201,[]
crevette,accompagner,acl,VERB,0.5442548394203186,[]
