head,lemma,dep,pos,sim,relations
pâte,petit,amod,ADJ,0.6880196332931519,[]
variété,pâte,nmod,NOUN,0.6454388499259949,[]
format,petit,amod,ADJ,0.4461970031261444,[]
pâte,format,nmod,NOUN,0.6092357039451599,[]
variété,forme,nmod,NOUN,0.4638232290744781,"[{""id"": 1351830, ""node1"": 17138, ""node2"": 142000, ""type"": 0, ""w"": 30.0}, {""id"": 677499, ""node1"": 17138, ""node2"": 142000, ""type"": 5, ""w"": 96.0}, {""id"": 726361987, ""node1"": 17138, ""node2"": 142000, ""type"": 17, ""w"": -5.0}]"
forme,arrondi,acl,ADJ,0.4087840914726257,[]
forme,diamètre,nmod,NOUN,0.4529489874839782,[]
pâte,ce,nsubj,PRON,0.4657647907733917,[]
fabriquer,qui,nsubj:pass,PRON,0.4080804884433746,[]
pâte,fabriquer,acl:relcl,VERB,0.63396155834198,[]
faire,lui,nsubj:pass,PRON,0.4231677055358886,[]
faire,farine,obj,NOUN,0.6897327303886414,[]
farine,blé,nmod,NOUN,0.577633798122406,"[{""id"": 114505, ""node1"": 127629, ""node2"": 32071, ""type"": 0, ""w"": 517.0}, {""id"": 53553413, ""node1"": 127629, ""node2"": 32071, ""type"": 5, ""w"": 71.0}, {""id"": 9855371, ""node1"": 127629, ""node2"": 32071, ""type"": 8, ""w"": 62.0}, {""id"": 102179, ""node1"": 127629, ""node2"": 32071, ""type"": 9, ""w"": 60.0}, {""id"": 120516, ""node1"": 127629, ""node2"": 32071, ""type"": 15, ""w"": -55.0}, {""id"": 390928, ""node1"": 127629, ""node2"": 32071, ""type"": 21, ""w"": 53.0}, {""id"": 11335596, ""node1"": 127629, ""node2"": 32071, ""type"": 28, ""w"": 38.0}, {""id"": 24260246, ""node1"": 127629, ""node2"": 32071, ""type"": 35, ""w"": 125.0}, {""id"": 14674202, ""node1"": 127629, ""node2"": 32071, ""type"": 42, ""w"": 31.0}, {""id"": 1798400, ""node1"": 127629, ""node2"": 32071, ""type"": 666, ""w"": 3.0}]"
contenir,œuf,obj,NOUN,0.5272836089134216,[]
faire,qui,nsubj,PRON,0.4499227106571197,"[{""id"": 729891679, ""node1"": 87528, ""node2"": 114890, ""type"": 9, ""w"": -5.0}]"
terme,faire,acl:relcl,VERB,0.495787501335144,[]
faire,référence,obj,NOUN,0.5014191269874573,[]
sorte,pâte,nmod,NOUN,0.6653091311454773,[]
type,seul,amod,ADJ,0.4419586956501007,[]
type,pâte,nmod,NOUN,0.654745876789093,[]
recette,cuisine,nmod,NOUN,0.6953886151313782,"[{""id"": 361077, ""node1"": 120188, ""node2"": 16033, ""type"": 0, ""w"": 416.0}, {""id"": 452909, ""node1"": 120188, ""node2"": 16033, ""type"": 3, ""w"": 258.0}, {""id"": 98281069, ""node1"": 120188, ""node2"": 16033, ""type"": 10, ""w"": 22.0}, {""id"": 539971129, ""node1"": 120188, ""node2"": 16033, ""type"": 15, ""w"": -24.0}, {""id"": 1576779, ""node1"": 120188, ""node2"": 16033, ""type"": 35, ""w"": 130.0}, {""id"": 752130352, ""node1"": 120188, ""node2"": 16033, ""type"": 666, ""w"": 4.0}]"
cuisine,italien,amod,ADJ,0.5664859414100647,"[{""id"": 15230771, ""node1"": 16033, ""node2"": 103658, ""type"": 0, ""w"": 252.0}, {""id"": 15094978, ""node1"": 16033, ""node2"": 103658, ""type"": 27, ""w"": 30.0}, {""id"": 15741751, ""node1"": 16033, ""node2"": 103658, ""type"": 666, ""w"": 1.0}, {""id"": 3982096, ""node1"": 16033, ""node2"": 103658, ""type"": 777, ""w"": 6.0}]"
dessert,aliment,nmod,NOUN,0.6540324687957764,"[{""id"": 9622332, ""node1"": 38557, ""node2"": 114637, ""type"": 0, ""w"": 37.0}, {""id"": 153382, ""node1"": 38557, ""node2"": 114637, ""type"": 6, ""w"": 313.0}]"
