head,lemma,dep,pos,sim,relations,relation_name,w
soupe,crevette,nmod,NOUN,0.6681584119796753,[],,
gingembre,ingrédient,nmod,NOUN,0.6763731837272644,[],,
gingembre,gingembre,appos,NOUN,0.5676917433738708,"[{""id"": 305449, ""node1"": 77020, ""node2"": 77020, ""type"": 19, ""w"": 58.0}]",r_lemma,58.0
gingembre,sel,nmod,NOUN,0.690368115901947,[],,
gingembre,crevette,appos,NOUN,0.6303811073303223,[],,
gingembre,eau,nmod,NOUN,0.612858772277832,[],,
eau,sauce,nmod,NOUN,0.6823158860206604,"[{""id"": 98623326, ""node1"": 65012, ""node2"": 141110, ""type"": 0, ""w"": 17.0}, {""id"": 97415122, ""node1"": 65012, ""node2"": 141110, ""type"": 10, ""w"": 28.0}]",r_holo,28.0
vert,citron,nsubj,NOUN,0.5348256230354309,"[{""id"": 508477114, ""node1"": 26976, ""node2"": 15386, ""type"": 0, ""w"": 26.0}, {""id"": 14792901, ""node1"": 26976, ""node2"": 15386, ""type"": 23, ""w"": 52.0}, {""id"": 370807296, ""node1"": 26976, ""node2"": 15386, ""type"": 777, ""w"": 10.0}]",r_carac-1,52.0
gingembre,vert,appos,PROPN,0.5343576669692993,[],,
cube,bouillon,nmod,NOUN,0.5364071130752563,"[{""id"": 98292423, ""node1"": 6041, ""node2"": 146582, ""type"": 0, ""w"": 30.0}]",r_associated,30.0
bouillon,lait,appos,NOUN,0.6349389553070068,"[{""id"": 558647530, ""node1"": 146582, ""node2"": 86296, ""type"": 0, ""w"": 27.0}]",r_associated,27.0
gingembre,louche,appos,NOUN,0.6341361403465271,[],,
gingembre,mixeur,nmod,NOUN,0.6272212862968445,[],,
mixeur,plonger,acl,VERB,0.5584041476249695,[],,
crevette,chauffer,acl,VERB,0.6771386861801147,[],,
mixeur,cuillère,nmod,NOUN,0.5916650295257568,[],,
cuillère,bois,nmod,NOUN,0.5910300612449646,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]",r_associated,41.0
