head,lemma,dep,pos,sim,relations,relation_name,w
titre,caramel,nmod,NOUN,0.5569339394569397,[],,
caramel,écossais,amod,ADJ,0.5082579851150513,[],,
confiserie,anglais,nsubj,NOUN,0.437138557434082,[],,
caramel,confiserie,nmod,NOUN,0.601239025592804,"[{""id"": 792367, ""node1"": 67525, ""node2"": 72043, ""type"": 0, ""w"": 221.0}, {""id"": 8820055, ""node1"": 67525, ""node2"": 72043, ""type"": 3, ""w"": 27.0}, {""id"": 205614164, ""node1"": 67525, ""node2"": 72043, ""type"": 6, ""w"": 31.0}, {""id"": 96700828, ""node1"": 67525, ""node2"": 72043, ""type"": 15, ""w"": 28.0}, {""id"": 498642438, ""node1"": 67525, ""node2"": 72043, ""type"": 35, ""w"": 33.0}]",r_associated,221.0
confiserie,origine,nmod,NOUN,0.4627770185470581,[],,
confiserie,mélange,nmod,NOUN,0.6207146048545837,[],,
mélange,sucre,nmod,NOUN,0.6710066795349121,[],,
sucre,roux,amod,ADJ,0.5822415947914124,"[{""id"": 121310, ""node1"": 139481, ""node2"": 75869, ""type"": 0, ""w"": 178.0}, {""id"": 2484851, ""node1"": 139481, ""node2"": 75869, ""type"": 8, ""w"": 64.0}, {""id"": 182237, ""node1"": 139481, ""node2"": 75869, ""type"": 17, ""w"": 174.0}, {""id"": 3163417, ""node1"": 139481, ""node2"": 75869, ""type"": 106, ""w"": 21.0}]",r_carac,174.0
mélange,proche,amod,ADJ,0.483007937669754,[],,
ingrédient,autre,amod,ADJ,0.5639666318893433,[],,
pouvoir,ingrédient,nsubj,NOUN,0.547187864780426,[],,
sirop,sucre,nmod,NOUN,0.6353851556777954,"[{""id"": 217497, ""node1"": 91109, ""node2"": 139481, ""type"": 0, ""w"": 407.0}, {""id"": 415329, ""node1"": 91109, ""node2"": 139481, ""type"": 9, ""w"": 70.0}, {""id"": 1035329517, ""node1"": 91109, ""node2"": 139481, ""type"": 50, ""w"": 31.0}, {""id"": 984864968, ""node1"": 91109, ""node2"": 139481, ""type"": 666, ""w"": 3.0}]",r_associated,407.0
sucre,maïs,nmod,ADV,0.6312849521636963,[],,
sirop,crème,nmod,NOUN,0.6513700485229492,[],,
composition,base,nmod,NOUN,0.4954732358455658,"[{""id"": 549637682, ""node1"": 26584, ""node2"": 72257, ""type"": 777, ""w"": 10.0}]",r_wiki,10.0
pouvoir,recette,obj,NOUN,0.6082739233970642,[],,
recette,publier,acl,VERB,0.540657103061676,"[{""id"": 578668290, ""node1"": 120188, ""node2"": 89502, ""type"": 26, ""w"": 30.0}]",r_patient-1,30.0
coin,ménagère,nmod,NOUN,0.4856561720371246,[],,
recette,vrai,amod,ADJ,0.5845058560371399,[],,
Corner,recette,obj,NOUN,0.4672914743423462,[],,
recette,fabriquer,acl,VERB,0.6327837705612183,[],,
fabriquer,caramel,obj,NOUN,0.6399223208427429,[],,
mélanger,suivant,amod,ADJ,0.4833085536956787,[],,
mélanger,livre,obj,NOUN,0.5697046518325806,[],,
livre,beurre,nmod,NOUN,0.6548305153846741,"[{""id"": 720818081, ""node1"": 142787, ""node2"": 140377, ""type"": 174, ""w"": 25.0}]",r_quantificateur-1,25.0
livre,sucre,nmod,NOUN,0.6619076728820801,[],,
quart,livre,nmod,NOUN,0.4797936081886291,[],,
bouillir,ensemble,obj,NOUN,0.6212494373321533,[],,
base,caramel,nsubj,NOUN,0.6419156789779663,[],,
base,aromatique,amod,ADJ,0.5717270374298096,[],,
résultat,mélange,nmod,NOUN,0.4927855134010315,[],,
mélange,beurre,nmod,NOUN,0.6940231323242188,"[{""id"": 373015122, ""node1"": 14800, ""node2"": 140377, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
remplacer,arôme,nsubj,NOUN,0.5350735783576965,[],,
remplacer,goût,obj,NOUN,0.5606328845024109,[],,
goût,caramel,amod,ADJ,0.6312566995620728,[],,
