head,lemma,dep,pos,sim,relations,relation_name,w
titre,gâche,nmod,NOUN,0.4138588309288025,[],,
spécialité,gâche,nsubj,NOUN,0.4490875899791717,[],,
titre,spécialité,nmod,NOUN,0.4164847433567047,[],,
spécialité,culinaire,amod,ADJ,0.5888378620147705,"[{""id"": 477435, ""node1"": 49537, ""node2"": 347, ""type"": 0, ""w"": 32.0}]",r_associated,32.0
forme,ovale,amod,ADJ,0.4384523928165436,"[{""id"": 101754, ""node1"": 142000, ""node2"": 118680, ""type"": 0, ""w"": 102.0}, {""id"": 113439, ""node1"": 142000, ""node2"": 118680, ""type"": 8, ""w"": 63.0}]",r_associated,102.0
mie,dont,nmod,PRON,0.5183764696121216,[],,
serrer,mie,nsubj,NOUN,0.4895342290401459,[],,
crème,frais,amod,ADJ,0.5870347619056702,[],,
renforcer,goût,obj,NOUN,0.5478262901306152,[],,
couleur,doré,amod,ADJ,0.5011557936668396,"[{""id"": 797004655, ""node1"": 40056, ""node2"": 47964, ""type"": 0, ""w"": 22.0}, {""id"": 242864260, ""node1"": 40056, ""node2"": 47964, ""type"": 8, ""w"": 26.0}]",r_hypo,26.0
différence,brioche,nmod,NOUN,0.597161054611206,[],,
mie,serrer,amod,ADJ,0.4895342290401459,[],,
gâteau,autre,amod,ADJ,0.6130278706550598,[],,
différencier,gâteau,obj,NOUN,0.5976017117500305,[],,
présence,important,amod,ADJ,0.4178654551506042,[],,
présence,crème,nmod,NOUN,0.6003320813179016,[],,
manière,individuel,amod,ADJ,0.4274431467056274,[],,
peser,gramme,obj,NOUN,0.4050478935241699,"[{""id"": 473577808, ""node1"": 34122, ""node2"": 140383, ""type"": 0, ""w"": 16.0}]",r_associated,16.0
spécialité,vieux,amod,ADJ,0.4362997710704803,[],,
spécialité,originaire,amod,ADJ,0.4251545965671539,"[{""id"": 966508911, ""node1"": 49537, ""node2"": 38359, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
gâteau,Normandie,nmod,PROPN,0.5677996277809143,[],,
remonter,histoire,nsubj,NOUN,0.4161781668663025,"[{""id"": 1008671253, ""node1"": 18699, ""node2"": 146367, ""type"": 666, ""w"": 2.0}]",r_aki,2.0
production,domestique,amod,ADJ,0.4727672636508941,"[{""id"": 426540553, ""node1"": 13444, ""node2"": 141168, ""type"": 17, ""w"": 26.0}]",r_carac,26.0
fabriquer,famille,nsubj,NOUN,0.4386442601680755,[],,
fabriquer,gâteau,obj,NOUN,0.61696457862854,[],,
fête,gâteau,appos,NOUN,0.5476139783859253,"[{""id"": 8558257, ""node1"": 144647, ""node2"": 2149, ""type"": 0, ""w"": 30.0}, {""id"": 11339800, ""node1"": 144647, ""node2"": 2149, ""type"": 28, ""w"": 39.0}, {""id"": 12433160, ""node1"": 144647, ""node2"": 2149, ""type"": 41, ""w"": 51.0}, {""id"": 1008503042, ""node1"": 144647, ""node2"": 2149, ""type"": 666, ""w"": 3.0}]",r_has_conseq,51.0
gâteau,fête,nmod,NOUN,0.5476139783859253,"[{""id"": 205664, ""node1"": 2149, ""node2"": 144647, ""type"": 0, ""w"": 84.0}, {""id"": 647947, ""node1"": 2149, ""node2"": 144647, ""type"": 15, ""w"": 53.0}, {""id"": 14662412, ""node1"": 2149, ""node2"": 144647, ""type"": 42, ""w"": 35.0}]",r_associated,84.0
fête,pascal,amod,ADJ,0.4083580672740936,[],,
gâteau,noce,nmod,NOUN,0.5322110056877136,[],,
tradition,remonter,acl,VERB,0.4560355544090271,[],,
danse,brioche,nmod,NOUN,0.5748740434646606,[],,
devenir,boulangerie,nsubj,NOUN,0.4662851095199585,[],,
métier,véritable,amod,ADJ,0.4223664999008178,[],,
métier,siècle,nmod,NOUN,0.4169821441173553,[],,
améliorer,recette,nsubj:pass,NOUN,0.6010892987251282,[],,
recette,paysan,amod,ADJ,0.5945122838020325,[],,
recette,gâche,nmod,NOUN,0.577354907989502,[],,
moyen,nouveau,amod,ADJ,0.4726280570030212,"[{""id"": 599364030, ""node1"": 34933, ""node2"": 122439, ""type"": 17, ""w"": 5.0}]",r_carac,5.0
récupérer,gâche,nsubj:pass,NOUN,0.4133321940898895,[],,
fabriquer,récupérer,advcl,VERB,0.4057834148406982,[],,
spécifier,production,nsubj,NOUN,0.4146738648414612,[],,
généraliser,consommation,obj,NOUN,0.4453647136688232,[],,
consommation,limite,acl:relcl,VERB,0.4045697748661041,[],,
spécifier,ingrédient,obj,NOUN,0.5424669981002808,[],,
projet,autre,amod,ADJ,0.4316383004188537,[],,
