head,lemma,dep,pos,sim,relations,relation_name,w
plat,titre,nsubj,NOUN,0.5815905928611755,[],,
plat,traditionnel,amod,ADJ,0.6021727323532104,"[{""id"": 93507621, ""node1"": 36327, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]",r_carac,35.0
plat,originaire,amod,ADJ,0.6056763529777527,[],,
est,pays,nmod,NOUN,0.4135731160640716,"[{""id"": 12028767, ""node1"": 144236, ""node2"": 22243, ""type"": 0, ""w"": 54.0}, {""id"": 147830, ""node1"": 144236, ""node2"": 22243, ""type"": 15, ""w"": 88.0}]",r_lieu,88.0
base,pâte,nmod,NOUN,0.6559011340141296,[],,
base,traditionnel,amod,ADJ,0.5360116958618164,[],,
plat,dire,acl,VERB,0.6076797842979431,[],,
dire,langue,obj,NOUN,0.4800311028957367,"[{""id"": 137057, ""node1"": 111342, ""node2"": 52119, ""type"": 16, ""w"": 160.0}]",r_instr,160.0
langue,oiseau,nmod,NOUN,0.4515346884727478,"[{""id"": 10050480, ""node1"": 52119, ""node2"": 140176, ""type"": 10, ""w"": 29.0}]",r_holo,29.0
étape,premier,amod,ADJ,0.4195345044136047,[],,
préparer,sauce,obj,NOUN,0.7072528600692749,"[{""id"": 395781320, ""node1"": 36246, ""node2"": 141110, ""type"": 0, ""w"": 35.0}, {""id"": 373014451, ""node1"": 36246, ""node2"": 141110, ""type"": 14, ""w"": 100.0}]",r_patient,100.0
sauce,blanc,amod,ADJ,0.6898111701011658,"[{""id"": 651261981, ""node1"": 141110, ""node2"": 15196, ""type"": 0, ""w"": 22.0}, {""id"": 3161939, ""node1"": 141110, ""node2"": 15196, ""type"": 106, ""w"": 4.0}]",r_associated,22.0
sauce,rouge,amod,ADJ,0.6679736971855164,"[{""id"": 651254512, ""node1"": 141110, ""node2"": 86356, ""type"": 0, ""w"": 23.0}, {""id"": 3172984, ""node1"": 141110, ""node2"": 86356, ""type"": 106, ""w"": 6.0}]",r_associated,23.0
ajout,tomate,nmod,NOUN,0.5641289949417114,[],,
sauce,préparation,nsubj,NOUN,0.7114981412887573,"[{""id"": 468464, ""node1"": 141110, ""node2"": 33634, ""type"": 0, ""w"": 45.0}, {""id"": 219402, ""node1"": 141110, ""node2"": 33634, ""type"": 6, ""w"": 131.0}]",r_isa,131.0
rouge,piquant,amod,ADJ,0.546644389629364,[],,
sauce,faire,acl,VERB,0.7085849046707153,[],,
étape,deuxième,amod,ADJ,0.4121705293655395,"[{""id"": 372857834, ""node1"": 38929, ""node2"": 119260, ""type"": 17, ""w"": 31.0}]",r_carac,31.0
préparation,étape,nsubj,NOUN,0.4546932578086853,[],,
préparation,devoir,acl:relcl,VERB,0.4595783948898315,[],,
vapeur,couscous,nmod,NOUN,0.6644135117530823,[],,
étape,dernier,amod,ADJ,0.4133621454238891,[],,
terre,cuit,amod,ADJ,0.7158535718917847,[],,
viande,pouvoir,acl:relcl,VERB,0.6935719847679138,"[{""id"": 418523460, ""node1"": 140100, ""node2"": 7804, ""type"": 0, ""w"": 2.0}]",r_associated,2.0
pois,milieu,nmod,NOUN,0.523045539855957,[],,
décorer,autour,obj,ADV,0.4744316041469574,[],,
accompagner,plat,nsubj,NOUN,0.613329291343689,[],,
œuf,dur,amod,ADJ,0.5370863080024719,"[{""id"": 560384151, ""node1"": 174124, ""node2"": 72731, ""type"": 0, ""w"": 67.0}]",r_associated,67.0
œuf,symboliser,acl,VERB,0.5101200342178345,[],,
