node1,node2,relations
italien,ingrédient,[]
italien,sel,"[{""id"": 941870385, ""node1"": 103658, ""node2"": 13260, ""type"": 0, ""w"": 20.0}]"
sel,violet,[]
violet,citron,[]
citron,huile,[]
citron,poivre,[]
poivre,baie,"[{""id"": 104819940, ""node1"": 139597, ""node2"": 108952, ""type"": 0, ""w"": 2.0}, {""id"": 104819939, ""node1"": 139597, ""node2"": 108952, ""type"": 666, ""w"": 1.0}]"
baie,basilic,[]
baie,saladier,[]
saladier,couteau,[]
couteau,économe,"[{""id"": 9916570, ""node1"": 32610, ""node2"": 14706, ""type"": 0, ""w"": 23.0}, {""id"": 2386429, ""node1"": 32610, ""node2"": 14706, ""type"": 8, ""w"": 76.0}]"
économe,étape,[]
italien,couper,[]
enlever,foin,[]
ajouter,huile,[]
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
sel,gros,"[{""id"": 188164, ""node1"": 13260, ""node2"": 88096, ""type"": 0, ""w"": 60.0}, {""id"": 645838, ""node1"": 13260, ""node2"": 88096, ""type"": 17, ""w"": 60.0}]"
olive,sel,[]
tour,moulin,[]
moulin,baie,[]
tour,goût,[]
morceau,anchois,[]
bon,appétit,"[{""id"": 2304181, ""node1"": 144229, ""node2"": 3467, ""type"": 23, ""w"": 5.0}]"
