node1,node2,relations
apéro,assortiment,[]
apéro,ingrédient,[]
apéro,jambon,"[{""id"": 3593676, ""node1"": 110915, ""node2"": 57980, ""type"": 777, ""w"": 10.0}]"
apéro,crème,[]
crème,gruyère,[]
bûche,chèvre,[]
set,poêle,[]
set,couteau,[]
couteau,four,[]
four,planche,[]
découper,étape,[]
tranche,fin,[]
découper,tranche,"[{""id"": 266520, ""node1"": 45686, ""node2"": 143123, ""type"": 0, ""w"": 58.0}, {""id"": 979992435, ""node1"": 45686, ""node2"": 143123, ""type"": 666, ""w"": 2.0}]"
tranche,pain,"[{""id"": 240074, ""node1"": 143123, ""node2"": 61283, ""type"": 0, ""w"": 221.0}, {""id"": 97833247, ""node1"": 143123, ""node2"": 61283, ""type"": 3, ""w"": 10.0}, {""id"": 9992595, ""node1"": 143123, ""node2"": 61283, ""type"": 10, ""w"": 4.0}, {""id"": 97327248, ""node1"": 143123, ""node2"": 61283, ""type"": 35, ""w"": 30.0}, {""id"": 775213283, ""node1"": 143123, ""node2"": 61283, ""type"": 174, ""w"": 25.0}]"
ajouter,crème,[]
déposer,tranche,[]
tranche,jambon,"[{""id"": 243905, ""node1"": 143123, ""node2"": 57980, ""type"": 0, ""w"": 71.0}, {""id"": 720817992, ""node1"": 143123, ""node2"": 57980, ""type"": 174, ""w"": 25.0}]"
déposer,crème,[]
déposer,rondelle,[]
rondelle,chèvre,[]
four,min,[]
min,grill,[]
appétit,bon,[]
faire,appétit,[]
