node1,node2,relations
Blanc,poulet,[]
ingrédient,filet,[]
filet,poulet,"[{""id"": 796711931, ""node1"": 42188, ""node2"": 146261, ""type"": 0, ""w"": 25.0}, {""id"": 775213396, ""node1"": 42188, ""node2"": 146261, ""type"": 174, ""w"": 25.0}, {""id"": 113026988, ""node1"": 42188, ""node2"": 146261, ""type"": 777, ""w"": 10.0}]"
ingrédient,graine,[]
graine,sésame,"[{""id"": 797533486, ""node1"": 14469, ""node2"": 18404, ""type"": 0, ""w"": 29.0}, {""id"": 246270686, ""node1"": 14469, ""node2"": 18404, ""type"": 8, ""w"": 32.0}]"
ingrédient,pinceau,[]
pinceau,couteau,"[{""id"": 558826967, ""node1"": 79400, ""node2"": 32610, ""type"": 0, ""w"": 34.0}]"
set,poêle,[]
cuillère,wok,[]
pinceau,cuillère,[]
cuillère,bois,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,top,[]
plaque,meilleur,[]
top,plaque,[]
plaque,four,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,planche,[]
pinceau,découper,[]
découper,étape,[]
récipient,sauce,"[{""id"": 345611970, ""node1"": 89628, ""node2"": 141110, ""type"": 28, ""w"": 26.0}]"
découper,filet,[]
filet,cube,[]
demi-heure,bon,[]
cuire,poulet,"[{""id"": 364585547, ""node1"": 5115, ""node2"": 146261, ""type"": 0, ""w"": 30.0}, {""id"": 216454663, ""node1"": 5115, ""node2"": 146261, ""type"": 13, ""w"": 40.0}, {""id"": 97862716, ""node1"": 5115, ""node2"": 146261, ""type"": 14, ""w"": 100.0}]"
poêle,chaud,"[{""id"": 278998504, ""node1"": 119686, ""node2"": 19150, ""type"": 0, ""w"": 26.0}, {""id"": 3078839, ""node1"": 119686, ""node2"": 19150, ""type"": 17, ""w"": 27.0}]"
commencer,sauce,[]
saupoudrer,commencer,[]
moment,servir,[]
moment,saupoudrer,[]
saupoudrer,graine,[]
sésame,grillé,"[{""id"": 477551496, ""node1"": 18404, ""node2"": 141899, ""type"": 17, ""w"": 26.0}]"
saupoudrer,disponible,[]
disponible,épicerie,[]
épicerie,asiatique,[]
