node1,node2,relations
titre,bonbon,[]
bonbon,feuilleté,[]
bonbon,chocolat,"[{""id"": 81248, ""node1"": 120500, ""node2"": 34157, ""type"": 0, ""w"": 303.0}, {""id"": 564812, ""node1"": 120500, ""node2"": 34157, ""type"": 5, ""w"": 111.0}, {""id"": 9622875, ""node1"": 120500, ""node2"": 34157, ""type"": 8, ""w"": 34.0}, {""id"": 1793091, ""node1"": 120500, ""node2"": 34157, ""type"": 21, ""w"": 80.0}, {""id"": 376056259, ""node1"": 120500, ""node2"": 34157, ""type"": 50, ""w"": 37.0}, {""id"": 989815445, ""node1"": 120500, ""node2"": 34157, ""type"": 666, ""w"": 3.0}]"
bonbon,ingrédient,[]
bonbon,couteau,[]
bonbon,poêle,[]
bonbon,crêpe,[]
crêpe,étape,[]
bonbon,fondre,"[{""id"": 1959303, ""node1"": 120500, ""node2"": 16480, ""type"": 24, ""w"": 37.0}]"
bonbon,marier,[]
marier,doux,[]
ajouter,biscuit,[]
crêpe,dentelle,"[{""id"": 18217813, ""node1"": 17186, ""node2"": 113968, ""type"": 0, ""w"": 61.0}, {""id"": 750284598, ""node1"": 17186, ""node2"": 113968, ""type"": 17, ""w"": -5.0}]"
pâte,feuille,[]
feuille,silicone,[]
feu,doux,[]
marier,chocolat,[]
couverture,noir,[]
