node1,node2,relations
titre,bûche,[]
bûche,façon,[]
bûche,Pierre,[]
bûche,ingrédient,[]
bûche,sucre,"[{""id"": 97120942, ""node1"": 45545, ""node2"": 139481, ""type"": 0, ""w"": 52.0}, {""id"": 108067709, ""node1"": 45545, ""node2"": 139481, ""type"": 50, ""w"": 16.0}]"
sucre,semoule,"[{""id"": 277256, ""node1"": 139481, ""node2"": 64778, ""type"": 17, ""w"": -94.0}, {""id"": 639101518, ""node1"": 139481, ""node2"": 64778, ""type"": 141, ""w"": 25.0}]"
sucre,jaune,[]
jaune,oeuf,"[{""id"": 104631, ""node1"": 86711, ""node2"": 116175, ""type"": 0, ""w"": 598.0}, {""id"": 31299418, ""node1"": 86711, ""node2"": 116175, ""type"": 3, ""w"": 29.0}, {""id"": 2350883, ""node1"": 86711, ""node2"": 116175, ""type"": 10, ""w"": 109.0}, {""id"": 131637, ""node1"": 86711, ""node2"": 116175, ""type"": 15, ""w"": 118.0}, {""id"": 120267, ""node1"": 86711, ""node2"": 116175, ""type"": 23, ""w"": 300.0}, {""id"": 2254559, ""node1"": 86711, ""node2"": 116175, ""type"": 54, ""w"": 58.0}]"
oeuf,blanc,"[{""id"": 115387, ""node1"": 116175, ""node2"": 15196, ""type"": 0, ""w"": 212.0}, {""id"": 76133204, ""node1"": 116175, ""node2"": 15196, ""type"": 9, ""w"": 29.0}, {""id"": 436996, ""node1"": 116175, ""node2"": 15196, ""type"": 17, ""w"": 74.0}, {""id"": 31328642, ""node1"": 116175, ""node2"": 15196, ""type"": 27, ""w"": 26.0}, {""id"": 3160507, ""node1"": 116175, ""node2"": 15196, ""type"": 106, ""w"": 15.0}, {""id"": 1878199, ""node1"": 116175, ""node2"": 15196, ""type"": 666, ""w"": 6.0}]"
blanc,oeuf,"[{""id"": 215721, ""node1"": 15196, ""node2"": 116175, ""type"": 0, ""w"": 84.0}, {""id"": 31299415, ""node1"": 15196, ""node2"": 116175, ""type"": 3, ""w"": 32.0}, {""id"": 76136326, ""node1"": 15196, ""node2"": 116175, ""type"": 10, ""w"": 26.0}, {""id"": 373603, ""node1"": 15196, ""node2"": 116175, ""type"": 23, ""w"": 110.0}, {""id"": 91492401, ""node1"": 15196, ""node2"": 116175, ""type"": 35, ""w"": 54.0}]"
