node1,node2,relations
légume,ingrédient,[]
légume,poivre,"[{""id"": 341241835, ""node1"": 120603, ""node2"": 139597, ""type"": 777, ""w"": 10.0}]"
crème,courgette,[]
crème,carotte,[]
carotte,beurre,[]
poivre,bouillon,[]
bouillon,huile,"[{""id"": 558647559, ""node1"": 146582, ""node2"": 141971, ""type"": 0, ""w"": 27.0}]"
louche,bol,[]
bol,casserole,[]
casserole,couteau,[]
couteau,économe,"[{""id"": 9916570, ""node1"": 32610, ""node2"": 14706, ""type"": 0, ""w"": 23.0}, {""id"": 2386429, ""node1"": 32610, ""node2"": 14706, ""type"": 8, ""w"": 76.0}]"
économe,balance,[]
balance,cuisine,[]
mettre,bouillon,[]
mettre,cube,[]
litre,eau,"[{""id"": 2458362, ""node1"": 57416, ""node2"": 65012, ""type"": 0, ""w"": 84.0}, {""id"": 15759326, ""node1"": 57416, ""node2"": 65012, ""type"": 28, ""w"": 10.0}, {""id"": 720818422, ""node1"": 57416, ""node2"": 65012, ""type"": 174, ""w"": 25.0}, {""id"": 980526881, ""node1"": 57416, ""node2"": 65012, ""type"": 666, ""w"": 3.0}]"
porter,prélever,[]
prélever,louche,[]
louche,bouillon,"[{""id"": 720819546, ""node1"": 124144, ""node2"": 146582, ""type"": 174, ""w"": 25.0}]"
porter,bol,[]
éplucher,légume,"[{""id"": 365327, ""node1"": 59879, ""node2"": 120603, ""type"": 0, ""w"": 134.0}, {""id"": 1639137, ""node1"": 59879, ""node2"": 120603, ""type"": 14, ""w"": 100.0}]"
ajouter,champignon,[]
ajouter,poivrer,[]
reste,bouillon,[]
louche,autre,[]
Ajoutez,louche,[]
louche,légume,[]
ajouter,crème,[]
