node1,node2,relations
beurre,moutarde,[]
oignon,pain,[]
pain,épice,[]
lard,fumé,"[{""id"": 365516, ""node1"": 59430, ""node2"": 23335, ""type"": 0, ""w"": 55.0}, {""id"": 372425196, ""node1"": 59430, ""node2"": 23335, ""type"": 17, ""w"": 41.0}, {""id"": 980614507, ""node1"": 59430, ""node2"": 23335, ""type"": 666, ""w"": 2.0}]"
boeuf,bière,[]
boeuf,brune,[]
bouquet,cassonade,[]
cassonade,sel,[]
balance,cuisine,[]
balance,plat,"[{""id"": 798729099, ""node1"": 145190, ""node2"": 36327, ""type"": 0, ""w"": 28.0}]"
balance,étape,[]
balance,couper,[]
couper,viande,"[{""id"": 241180, ""node1"": 128828, ""node2"": 140100, ""type"": 0, ""w"": 74.0}, {""id"": 15084106, ""node1"": 128828, ""node2"": 140100, ""type"": 14, ""w"": 100.0}]"
morceau,gros,[]
découper,oignon,[]
détailler,lard,[]
déposer,beurre,[]
lard,mode,[]
dorer,remuer,[]
réserver,viande,[]
viande,retirer,[]
conserver,jus,"[{""id"": 519932527, ""node1"": 42089, ""node2"": 53310, ""type"": 14, ""w"": 56.0}]"
ajouter,cassonade,[]
lancer,cuisson,[]
cuisson,réduire,"[{""id"": 213740124, ""node1"": 60056, ""node2"": 120230, ""type"": 63, ""w"": 29.0}]"
réduire,jus,[]
jus,mode,[]
cuisson,pression,[]
épice,moutarde,"[{""id"": 736558021, ""node1"": 146056, ""node2"": 28335, ""type"": 0, ""w"": 48.0}, {""id"": 3906439, ""node1"": 146056, ""node2"": 28335, ""type"": 777, ""w"": 10.0}]"
replacer,oignon,[]
saler,recouvrir,[]
recouvrir,bière,[]
saupoudrer,bouquet,[]
bouquet,garni,[]
ajouter,pain,[]
pain,au-dessus,[]
reste,préparation,[]
cuisson,mode,[]
mode,cuisson,[]
refroidir,plat,"[{""id"": 165671, ""node1"": 126973, ""node2"": 36327, ""type"": 13, ""w"": 65.0}, {""id"": 192530, ""node1"": 126973, ""node2"": 36327, ""type"": 14, ""w"": 100.0}]"
cuisson,même,[]
relancer,cuisson,[]
devoir,sauce,[]
devoir,miel,[]
miel,liquide,"[{""id"": 62362311, ""node1"": 136055, ""node2"": 140315, ""type"": 0, ""w"": 97.0}, {""id"": 2045771, ""node1"": 136055, ""node2"": 140315, ""type"": 17, ""w"": 35.0}, {""id"": 1939698, ""node1"": 136055, ""node2"": 140315, ""type"": 666, ""w"": 6.0}]"
poursuivre,cuisson,[]
tranche,minute,[]
tranche,puissance,[]
servir,accompagner,[]
