node1,node2,relations
coquille,ingrédient,[]
coquille,sel,[]
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,beurre,"[{""id"": 584573840, ""node1"": 139597, ""node2"": 140377, ""type"": 0, ""w"": 22.0}]"
coquille,crème,[]
coquille,coquille,"[{""id"": 291338, ""node1"": 143246, ""node2"": 143246, ""type"": 19, ""w"": 57.0}]"
coquille,échalote,[]
échalote,pâte,[]
échalote,frais,[]
coquille,mixeur,[]
mixeur,saladier,[]
saladier,pinceau,[]
pinceau,balance,[]
balance,cuisine,[]
mixeur,étape,[]
coquille,réserver,[]
coquille,tête,[]
tête,champignon,"[{""id"": 697684169, ""node1"": 144846, ""node2"": 25484, ""type"": 10, ""w"": 8.0}]"
tête,décoration,[]
incorporer,crème,[]
crème,saler,[]
crème,poivrer,[]
mélange,huile,[]
mélange,minute,[]
dorer,saler,[]
dorer,poivrer,[]
assiette,sauce,"[{""id"": 31849246, ""node1"": 62735, ""node2"": 141110, ""type"": 28, ""w"": 51.0}]"
assiette,poser,[]
poser,pâte,[]
pâte,champignon,[]
disposer,coquille,[]
coquille,autour,[]
coquille,préparation,"[{""id"": 920476925, ""node1"": 143246, ""node2"": 33634, ""type"": 0, ""w"": 20.0}]"
