node1,node2,relations
tofu,soyeux,[]
tofu,ingrédient,[]
tofu,chocolat,[]
tofu,tofu,"[{""id"": 123119065, ""node1"": 216328, ""node2"": 216328, ""type"": 19, ""w"": 29.0}]"
tofu,noisette,[]
tofu,sucre,[]
sucre,vanillé,"[{""id"": 9901819, ""node1"": 139481, ""node2"": 19738, ""type"": 0, ""w"": 13.0}, {""id"": 360676, ""node1"": 139481, ""node2"": 19738, ""type"": 8, ""w"": -101.0}]"
tofu,casserole,[]
casserole,mixeur,[]
mixeur,saladier,[]
saladier,balance,[]
balance,cuisine,[]
balance,étape,[]
tofu,verser,[]
verser,tofu,[]
ajouter,poudre,[]
poudre,noisette,[]
mettre,chocolat,[]
ajouter,cuillère,[]
cuillère,eau,"[{""id"": 662508617, ""node1"": 51905, ""node2"": 65012, ""type"": 0, ""w"": 24.0}]"
fondre,chocolat,"[{""id"": 28589116, ""node1"": 16480, ""node2"": 34157, ""type"": 0, ""w"": 63.0}, {""id"": 24768886, ""node1"": 16480, ""node2"": 34157, ""type"": 13, ""w"": 30.0}, {""id"": 1011304980, ""node1"": 16480, ""node2"": 34157, ""type"": 14, ""w"": 30.0}, {""id"": 1009801551, ""node1"": 16480, ""node2"": 34157, ""type"": 666, ""w"": 3.0}]"
feu,moyen,[]
fois,chocolat,[]
verser,fondre,[]
utiliser,mixeur,[]
mixeur,plonger,[]
plonger,batteur,[]
utiliser,mélanger,[]
aérer,mélange,[]
fois,mélange,[]
mélange,homogène,"[{""id"": 914526136, ""node1"": 14800, ""node2"": 124759, ""type"": 0, ""w"": 21.0}, {""id"": 33170626, ""node1"": 14800, ""node2"": 124759, ""type"": 17, ""w"": 27.0}]"
