node1,node2,relations
farine,coco,[]
crêpe,gluten,"[{""id"": 115736182, ""node1"": 17186, ""node2"": 19041, ""type"": 9, ""w"": 30.0}]"
crêpe,ingrédient,[]
crêpe,sel,[]
sel,farine,[]
sucre,coco,[]
sucre,huile,[]
lait,coco,"[{""id"": 796793155, ""node1"": 86296, ""node2"": 145904, ""type"": 0, ""w"": 24.0}]"
sucre,lait,[]
lait,oeuf,"[{""id"": 920038083, ""node1"": 86296, ""node2"": 116175, ""type"": 0, ""w"": 21.0}, {""id"": 385498014, ""node1"": 86296, ""node2"": 116175, ""type"": 8, ""w"": -25.0}]"
louche,poêle,[]
crêpe,crêpe,"[{""id"": 1077682175, ""node1"": 17186, ""node2"": 17186, ""type"": 0, ""w"": 30.0}, {""id"": 292067, ""node1"": 17186, ""node2"": 17186, ""type"": 19, ""w"": 60.0}]"
crêpe,balance,"[{""id"": 347084028, ""node1"": 17186, ""node2"": 145190, ""type"": 777, ""w"": 10.0}]"
balance,cuisine,[]
balance,étape,[]
mélanger,farine,"[{""id"": 373004383, ""node1"": 37151, ""node2"": 127629, ""type"": 14, ""w"": 51.0}]"
ajouter,œuf,[]
huile,coco,"[{""id"": 669863245, ""node1"": 141971, ""node2"": 145904, ""type"": 0, ""w"": 24.0}]"
ajouter,lait,"[{""id"": 373014760, ""node1"": 25099, ""node2"": 86296, ""type"": 14, ""w"": 31.0}]"
mélanger,limiter,[]
reposer,pâte,"[{""id"": 9366390, ""node1"": 106663, ""node2"": 34069, ""type"": 0, ""w"": 32.0}, {""id"": 218835, ""node1"": 106663, ""node2"": 34069, ""type"": 13, ""w"": 59.0}, {""id"": 9173399, ""node1"": 106663, ""node2"": 34069, ""type"": 35, ""w"": 31.0}]"
peu,matière,[]
matière,gras,"[{""id"": 909483172, ""node1"": 29208, ""node2"": 56362, ""type"": 0, ""w"": 20.0}]"
chaud,lui,[]
ajouter,chaud,[]
ajouter,louche,[]
louche,pâte,"[{""id"": 415002984, ""node1"": 124144, ""node2"": 34069, ""type"": 0, ""w"": 26.0}]"
cuire,min,[]
