node1,node2,relations
moutarde,vinaigre,"[{""id"": 642040832, ""node1"": 28335, ""node2"": 145443, ""type"": 0, ""w"": 29.0}, {""id"": 113266845, ""node1"": 28335, ""node2"": 145443, ""type"": 777, ""w"": 10.0}]"
sucre,oignon,[]
oignon,curry,"[{""id"": 796941051, ""node1"": 123307, ""node2"": 82813, ""type"": 0, ""w"": 29.0}]"
curry,sel,"[{""id"": 7242974, ""node1"": 82813, ""node2"": 13260, ""type"": 777, ""w"": 10.0}]"
poivre,saucisse,[]
saucisse,Francfort,"[{""id"": 585677116, ""node1"": 77807, ""node2"": 58421, ""type"": 0, ""w"": 28.0}, {""id"": 113155498, ""node1"": 77807, ""node2"": 58421, ""type"": 777, ""w"": 9.0}]"
titre,coulis,[]
coulis,tomate,"[{""id"": 798889036, ""node1"": 10401, ""node2"": 22138, ""type"": 0, ""w"": 31.0}, {""id"": 1072261196, ""node1"": 10401, ""node2"": 22138, ""type"": 666, ""w"": 2.0}]"
tomate,huile,"[{""id"": 421761130, ""node1"": 22138, ""node2"": 141971, ""type"": 0, ""w"": 4.0}]"
bol,saladier,"[{""id"": 796872211, ""node1"": 145405, ""node2"": 45455, ""type"": 0, ""w"": 28.0}, {""id"": 1029292999, ""node1"": 145405, ""node2"": 45455, ""type"": 67, ""w"": 34.0}]"
saladier,top,[]
plaque,meilleur,[]
top,plaque,[]
plaque,four,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
balance,cuisine,[]
balance,étape,[]
titre,bol,[]
bol,mélanger,"[{""id"": 98290223, ""node1"": 145405, ""node2"": 37151, ""type"": 0, ""w"": 35.0}, {""id"": 2575332, ""node1"": 145405, ""node2"": 37151, ""type"": 25, ""w"": 61.0}, {""id"": 72802251, ""node1"": 145405, ""node2"": 37151, ""type"": 30, ""w"": 26.0}]"
mélanger,moutarde,[]
ajoutez,coulis,[]
ajoutez,revenir,[]
revenir,oignon,"[{""id"": 31815154, ""node1"": 59241, ""node2"": 123307, ""type"": 14, ""w"": 56.0}]"
ajouter,préparation,[]
mijoter,minute,[]
griller,saucisse,"[{""id"": 2439347, ""node1"": 46367, ""node2"": 77807, ""type"": 0, ""w"": 58.0}, {""id"": 174256, ""node1"": 46367, ""node2"": 77807, ""type"": 13, ""w"": 80.0}, {""id"": 216454679, ""node1"": 46367, ""node2"": 77807, ""type"": 14, ""w"": 41.0}, {""id"": 980027674, ""node1"": 46367, ""node2"": 77807, ""type"": 666, ""w"": 2.0}]"
peu,huile,[]
tronçon,gros,[]
tronçon,saucisse,[]
tronçon,sauce,[]
curry,poudre,"[{""id"": 3116778, ""node1"": 82813, ""node2"": 139470, ""type"": 0, ""w"": 29.0}]"
