node1,node2,relations
compléter,ingrédient,[]
ingrédient,sirop,[]
sirop,violette,"[{""id"": 799222496, ""node1"": 91109, ""node2"": 118763, ""type"": 0, ""w"": 22.0}]"
ingrédient,alcool,[]
ingrédient,bol,[]
bol,étape,[]
bol,verre,"[{""id"": 1850837, ""node1"": 145405, ""node2"": 144497, ""type"": 0, ""w"": 54.0}, {""id"": 608324281, ""node1"": 145405, ""node2"": 144497, ""type"": 5, ""w"": 17.0}, {""id"": 447584520, ""node1"": 145405, ""node2"": 144497, ""type"": 50, ""w"": 28.0}, {""id"": 999129603, ""node1"": 145405, ""node2"": 144497, ""type"": 666, ""w"": 2.0}]"
verre,cocktail,"[{""id"": 915418067, ""node1"": 144497, ""node2"": 132548, ""type"": 0, ""w"": 21.0}, {""id"": 2480821, ""node1"": 144497, ""node2"": 132548, ""type"": 28, ""w"": 64.0}, {""id"": 646146082, ""node1"": 144497, ""node2"": 132548, ""type"": 666, ""w"": 3.0}, {""id"": 113191642, ""node1"": 144497, ""node2"": 132548, ""type"": 777, ""w"": 10.0}]"
ingrédient,verser,[]
verser,trait,[]
trait,sirop,[]
ingrédient,trait,[]
trait,alcool,[]
