node1,node2,relations
Energy,thé,[]
ingrédient,amande,"[{""id"": 914494783, ""node1"": 123418, ""node2"": 28557, ""type"": 0, ""w"": 20.0}]"
ingrédient,abricot,[]
eau,thé,"[{""id"": 796692978, ""node1"": 65012, ""node2"": 143378, ""type"": 0, ""w"": 26.0}, {""id"": 515361107, ""node1"": 65012, ""node2"": 143378, ""type"": 10, ""w"": 26.0}, {""id"": 377018707, ""node1"": 65012, ""node2"": 143378, ""type"": 20, ""w"": 31.0}, {""id"": 96700094, ""node1"": 65012, ""node2"": 143378, ""type"": 51, ""w"": 23.0}]"
cuillère,soupe,"[{""id"": 139567, ""node1"": 51905, ""node2"": 117152, ""type"": 0, ""w"": 288.0}, {""id"": 960354064, ""node1"": 51905, ""node2"": 117152, ""type"": 82, ""w"": 33.0}, {""id"": 1912589, ""node1"": 51905, ""node2"": 117152, ""type"": 666, ""w"": 6.0}]"
amande,grossièrement,[]
mettre,amande,[]
amande,cuillère,[]
amande,soupe,[]
soupe,eau,"[{""id"": 215674, ""node1"": 117152, ""node2"": 65012, ""type"": 0, ""w"": 112.0}, {""id"": 214799398, ""node1"": 117152, ""node2"": 65012, ""type"": 9, ""w"": 73.0}, {""id"": 216637792, ""node1"": 117152, ""node2"": 65012, ""type"": 50, ""w"": 34.0}, {""id"": 1530290, ""node1"": 117152, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]"
eau,chaud,"[{""id"": 915041142, ""node1"": 65012, ""node2"": 19150, ""type"": 0, ""w"": 20.0}, {""id"": 432164, ""node1"": 65012, ""node2"": 19150, ""type"": 17, ""w"": 131.0}]"
obtenir,pâte,[]
pâte,homogène,"[{""id"": 796702467, ""node1"": 34069, ""node2"": 124759, ""type"": 0, ""w"": 28.0}, {""id"": 372565004, ""node1"": 34069, ""node2"": 124759, ""type"": 17, ""w"": 26.0}]"
devoir,pâte,[]
sec,pâte,"[{""id"": 97866011, ""node1"": 63619, ""node2"": 34069, ""type"": 23, ""w"": 27.0}]"
pouvoir,sec,[]
rajouter,cuillère,[]
former,boule,"[{""id"": 461428458, ""node1"": 66314, ""node2"": 141883, ""type"": 14, ""w"": 41.0}]"
poudre,thé,[]
