node1,node2,relations
titre,ingrédient,[]
ingrédient,chou,[]
chou,haricot,[]
chou,vert,"[{""id"": 604265844, ""node1"": 67203, ""node2"": 26976, ""type"": 0, ""w"": 47.0}, {""id"": 3172001, ""node1"": 67203, ""node2"": 26976, ""type"": 106, ""w"": 17.0}, {""id"": 981361544, ""node1"": 67203, ""node2"": 26976, ""type"": 666, ""w"": 2.0}]"
haricot,pomme,[]
haricot,terre,[]
haricot,poivre,[]
poivre,sel,"[{""id"": 12368540, ""node1"": 139597, ""node2"": 13260, ""type"": 0, ""w"": 52.0}, {""id"": 1074615768, ""node1"": 139597, ""node2"": 13260, ""type"": 6, ""w"": -25.0}, {""id"": 1046576040, ""node1"": 139597, ""node2"": 13260, ""type"": 8, ""w"": 20.0}, {""id"": 288425680, ""node1"": 139597, ""node2"": 13260, ""type"": 35, ""w"": 51.0}, {""id"": 770758757, ""node1"": 139597, ""node2"": 13260, ""type"": 75, ""w"": 27.0}]"
sel,gruyère,[]
jambon,poitrine,[]
poitrine,porc,[]
ingrédient,marmite,[]
marmite,four,[]
four,casserole,[]
couteau,saladier,[]
saladier,moule,[]
tarte,plat,"[{""id"": 9624144, ""node1"": 575, ""node2"": 36327, ""type"": 0, ""w"": 46.0}, {""id"": 225521, ""node1"": 575, ""node2"": 36327, ""type"": 6, ""w"": 299.0}, {""id"": 200502, ""node1"": 575, ""node2"": 36327, ""type"": 15, ""w"": 178.0}, {""id"": 1525630, ""node1"": 575, ""node2"": 36327, ""type"": 666, ""w"": 1.0}]"
titre,marmite,[]
marmite,terre,[]
emporter,variété,[]
variété,complet,[]
variété,légume,[]
légume,saison,[]
carotte,oignon,[]
carotte,chou,[]
haricot,vert,"[{""id"": 369652, ""node1"": 114886, ""node2"": 26976, ""type"": 0, ""w"": 294.0}, {""id"": 1774168, ""node1"": 114886, ""node2"": 26976, ""type"": 17, ""w"": 26.0}, {""id"": 3163694, ""node1"": 114886, ""node2"": 26976, ""type"": 106, ""w"": 18.0}, {""id"": 1764962, ""node1"": 114886, ""node2"": 26976, ""type"": 666, ""w"": 3.0}]"
haricot,blanc,"[{""id"": 2193506, ""node1"": 114886, ""node2"": 15196, ""type"": 0, ""w"": 93.0}, {""id"": 1774170, ""node1"": 114886, ""node2"": 15196, ""type"": 17, ""w"": 26.0}, {""id"": 3163695, ""node1"": 114886, ""node2"": 15196, ""type"": 106, ""w"": 14.0}, {""id"": 1802800, ""node1"": 114886, ""node2"": 15196, ""type"": 666, ""w"": 1.0}]"
pomme,terre,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]"
palette,porc,"[{""id"": 9355618, ""node1"": 103702, ""node2"": 71135, ""type"": 0, ""w"": 57.0}, {""id"": 1695136, ""node1"": 103702, ""node2"": 71135, ""type"": 35, ""w"": 51.0}]"
crosse,jambon,[]
hauteur,légume,[]
four,possible,"[{""id"": 492064654, ""node1"": 9190, ""node2"": 9538, ""type"": 17, ""w"": 26.0}]"
état,viande,[]
cuire,qui,[]
celui,cuire,[]
réserve,récipient,"[{""id"": 14663750, ""node1"": 140195, ""node2"": 89628, ""type"": 42, ""w"": 27.0}]"
récipient,mouillée,[]
mouillée,bouillon,[]
bouillon,soupe,"[{""id"": 152255, ""node1"": 146582, ""node2"": 117152, ""type"": 0, ""w"": 146.0}, {""id"": 579063, ""node1"": 146582, ""node2"": 117152, ""type"": 5, ""w"": 180.0}, {""id"": 9924886, ""node1"": 146582, ""node2"": 117152, ""type"": 6, ""w"": 81.0}, {""id"": 1018851417, ""node1"": 146582, ""node2"": 117152, ""type"": 10, ""w"": 27.0}, {""id"": 1003111708, ""node1"": 146582, ""node2"": 117152, ""type"": 666, ""w"": 3.0}]"
terrine,plate,[]
genre,terrine,[]
alterner,légume,[]
cuire,celui,[]
disposer,cuire,[]
cuire,fondre,[]
lard,couper,[]
confit,oie,"[{""id"": 270088, ""node1"": 95692, ""node2"": 79073, ""type"": 0, ""w"": 114.0}, {""id"": 2408089, ""node1"": 95692, ""node2"": 79073, ""type"": 23, ""w"": 37.0}, {""id"": 699766118, ""node1"": 95692, ""node2"": 79073, ""type"": 666, ""w"": 2.0}]"
confit,diviser,[]
dessus,pain,[]
pain,ménage,[]
grain,poivre,"[{""id"": 775213400, ""node1"": 57895, ""node2"": 139597, ""type"": 174, ""w"": 25.0}]"
grain,moulin,"[{""id"": 369198, ""node1"": 57895, ""node2"": 21988, ""type"": 0, ""w"": 52.0}, {""id"": 11358492, ""node1"": 57895, ""node2"": 21988, ""type"": 15, ""w"": 38.0}, {""id"": 1052266208, ""node1"": 57895, ""node2"": 21988, ""type"": 666, ""w"": 2.0}]"
piquer,place,[]
piquer,gousse,[]
piquer,ail,"[{""id"": 914905717, ""node1"": 117557, ""node2"": 26979, ""type"": 0, ""w"": 20.0}, {""id"": 24985625, ""node1"": 117557, ""node2"": 26979, ""type"": 13, ""w"": 1.0}]"
graisse,confit,[]
arroser,tout,[]
tout,bouillon,[]
tout,hauteur,[]
remettre,bouillir,[]
former,gratin,[]
peu,pain,[]
gratin,second,[]
recommencer,gratin,[]
présenter,mélange,[]
mélange,fondre,"[{""id"": 21093401, ""node1"": 14800, ""node2"": 16480, ""type"": 0, ""w"": 27.0}]"
devoir,cuillère,[]
planter,seul,[]
servir,accompagner,[]
part,reste,"[{""id"": 914885435, ""node1"": 49679, ""node2"": 21110, ""type"": 0, ""w"": 20.0}]"
reste,bouillon,[]
part,palette,[]
chaud,plat,"[{""id"": 561125255, ""node1"": 19150, ""node2"": 36327, ""type"": 0, ""w"": 34.0}, {""id"": 3196509, ""node1"": 19150, ""node2"": 36327, ""type"": 23, ""w"": 30.0}]"
bon,estomac,[]
estomac,digérer,"[{""id"": 164771, ""node1"": 101938, ""node2"": 106682, ""type"": 0, ""w"": 200.0}, {""id"": 2061081, ""node1"": 101938, ""node2"": 106682, ""type"": 24, ""w"": 58.0}, {""id"": 376187469, ""node1"": 101938, ""node2"": 106682, ""type"": 25, ""w"": 31.0}]"
