node1,node2,relations
titre,jus,[]
jus,grenade,"[{""id"": 12860960, ""node1"": 53310, ""node2"": 674, ""type"": 0, ""w"": 6.0}, {""id"": 11021644, ""node1"": 53310, ""node2"": 674, ""type"": 10, ""w"": 17.0}]"
jus,ingrédient,[]
jus,sucre,"[{""id"": 602097658, ""node1"": 53310, ""node2"": 139481, ""type"": 0, ""w"": 17.0}, {""id"": 580307919, ""node1"": 53310, ""node2"": 139481, ""type"": 777, ""w"": 10.0}]"
sucre,grenade,[]
sucre,chinois,[]
sucre,mixeur,[]
mixeur,économe,[]
économe,balance,[]
balance,cuisine,[]
jus,étape,[]
pépin,grenade,"[{""id"": 601978332, ""node1"": 143219, ""node2"": 674, ""type"": 0, ""w"": 35.0}]"
obtenir,jus,[]
passer,tout,[]
tout,chinois,[]
repasser,préparation,[]
préparation,chinois,[]
préparation,enlever,[]
repasser,verser,[]
