node1,node2,relations
piment,Espelette,"[{""id"": 673221705, ""node1"": 128791, ""node2"": 254818, ""type"": 0, ""w"": 24.0}]"
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,muscade,"[{""id"": 920103858, ""node1"": 139597, ""node2"": 115297, ""type"": 0, ""w"": 21.0}]"
poivre,boeuf,[]
boeuf,pulpe,[]
pulpe,tomate,[]
boeuf,lait,"[{""id"": 602098046, ""node1"": 47417, ""node2"": 86296, ""type"": 0, ""w"": 61.0}]"
lait,parmesan,"[{""id"": 899286636, ""node1"": 86296, ""node2"": 140416, ""type"": 0, ""w"": 20.0}, {""id"": 480705388, ""node1"": 86296, ""node2"": 140416, ""type"": 8, ""w"": 28.0}, {""id"": 598488262, ""node1"": 86296, ""node2"": 140416, ""type"": 27, ""w"": 29.0}]"
lait,Plat,[]
lait,gratin,"[{""id"": 98625081, ""node1"": 86296, ""node2"": 12942, ""type"": 0, ""w"": 18.0}, {""id"": 97754769, ""node1"": 86296, ""node2"": 12942, ""type"": 10, ""w"": 31.0}]"
lait,four,[]
four,couvercle,[]
couvercle,fouet,[]
fouet,cuisine,"[{""id"": 2421862, ""node1"": 73888, ""node2"": 16033, ""type"": 0, ""w"": 305.0}, {""id"": 452879, ""node1"": 73888, ""node2"": 16033, ""type"": 3, ""w"": 265.0}, {""id"": 72783259, ""node1"": 73888, ""node2"": 16033, ""type"": 15, ""w"": 38.0}, {""id"": 1019771975, ""node1"": 73888, ""node2"": 16033, ""type"": 17, ""w"": -5.0}]"
fouet,saladier,[]
casserole,bol,[]
balance,cuisine,[]
ajouter,faite,[]
faite,revenir,[]
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
ajouter,viande,[]
viande,haché,[]
ajouter,pulpe,[]
mijoter,minute,[]
couvercle,fermer,"[{""id"": 1746798, ""node1"": 89523, ""node2"": 24346, ""type"": 0, ""w"": 150.0}, {""id"": 276744, ""node1"": 89523, ""node2"": 24346, ""type"": 25, ""w"": 133.0}]"
mélanger,farine,"[{""id"": 373004383, ""node1"": 37151, ""node2"": 127629, ""type"": 14, ""w"": 51.0}]"
ajouter,lait,"[{""id"": 373014760, ""node1"": 25099, ""node2"": 86296, ""type"": 14, ""w"": 31.0}]"
ajouter,muscade,[]
plat,rectangulaire,"[{""id"": 76567693, ""node1"": 36327, ""node2"": 3278, ""type"": 0, ""w"": 35.0}]"
plat,verser,[]
verser,moitié,[]
moitié,sauce,[]
recouvrir,feuille,[]
moitié,deuxième,"[{""id"": 607154440, ""node1"": 89030, ""node2"": 119260, ""type"": 0, ""w"": 31.0}, {""id"": 372503749, ""node1"": 89030, ""node2"": 119260, ""type"": 17, ""w"": 31.0}]"
