node1,node2,relations
eau,fleur,[]
eau,oranger,[]
eau,sucre,[]
sucre,poudre,"[{""id"": 101820, ""node1"": 139481, ""node2"": 139470, ""type"": 0, ""w"": 604.0}, {""id"": 251577, ""node1"": 139481, ""node2"": 139470, ""type"": 6, ""w"": 61.0}, {""id"": 144132, ""node1"": 139481, ""node2"": 139470, ""type"": 8, ""w"": -75.0}, {""id"": 9971698, ""node1"": 139481, ""node2"": 139470, ""type"": 9, ""w"": 10.0}, {""id"": 9979137, ""node1"": 139481, ""node2"": 139470, ""type"": 10, ""w"": 30.0}, {""id"": 1763997, ""node1"": 139481, ""node2"": 139470, ""type"": 666, ""w"": 3.0}]"
poudre,farine,"[{""id"": 2206156, ""node1"": 139470, ""node2"": 127629, ""type"": 0, ""w"": 142.0}, {""id"": 362954, ""node1"": 139470, ""node2"": 127629, ""type"": 8, ""w"": 151.0}, {""id"": 9976810, ""node1"": 139470, ""node2"": 127629, ""type"": 10, ""w"": 4.0}, {""id"": 9065573, ""node1"": 139470, ""node2"": 127629, ""type"": 20, ""w"": 51.0}, {""id"": 1590401, ""node1"": 139470, ""node2"": 127629, ""type"": 35, ""w"": 58.0}, {""id"": 1782941, ""node1"": 139470, ""node2"": 127629, ""type"": 666, ""w"": 11.0}]"
farine,oeuf,"[{""id"": 631637493, ""node1"": 127629, ""node2"": 116175, ""type"": 8, ""w"": 1.0}]"
oeuf,lait,"[{""id"": 588348000, ""node1"": 116175, ""node2"": 86296, ""type"": 0, ""w"": 47.0}, {""id"": 386065476, ""node1"": 116175, ""node2"": 86296, ""type"": 6, ""w"": -25.0}, {""id"": 283880823, ""node1"": 116175, ""node2"": 86296, ""type"": 78, ""w"": 35.0}]"
lait,saladier,[]
saladier,cuillère,"[{""id"": 591359667, ""node1"": 45455, ""node2"": 51905, ""type"": 0, ""w"": 33.0}]"
cuillère,bois,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,four,[]
four,moule,"[{""id"": 914324367, ""node1"": 9190, ""node2"": 143723, ""type"": 0, ""w"": 20.0}, {""id"": 149292258, ""node1"": 9190, ""node2"": 143723, ""type"": 28, ""w"": 71.0}]"
lait,tarte,[]
tarte,moule,"[{""id"": 70795, ""node1"": 575, ""node2"": 143723, ""type"": 0, ""w"": 72.0}, {""id"": 1015316074, ""node1"": 575, ""node2"": 143723, ""type"": 666, ""w"": 2.0}]"
poudre,balance,[]
balance,cuisine,[]
balance,étape,[]
balance,saladier,[]
balance,mettre,[]
mettre,gramme,[]
gramme,farine,"[{""id"": 775213298, ""node1"": 140383, ""node2"": 127629, ""type"": 174, ""w"": 25.0}]"
gramme,maïs,[]
gramme,sucre,"[{""id"": 720818120, ""node1"": 140383, ""node2"": 139481, ""type"": 174, ""w"": 25.0}]"
saladier,deuxième,"[{""id"": 373014662, ""node1"": 45455, ""node2"": 119260, ""type"": 17, ""w"": 26.0}]"
mélanger,gramme,[]
gramme,oeuf,[]
gramme,blé,[]
bouillir,litre,[]
litre,lait,"[{""id"": 720818097, ""node1"": 57416, ""node2"": 86296, ""type"": 174, ""w"": 25.0}, {""id"": 1662570, ""node1"": 57416, ""node2"": 86296, ""type"": 666, ""w"": 2.0}]"
saladier,premier,"[{""id"": 373014661, ""node1"": 45455, ""node2"": 130626, ""type"": 17, ""w"": 26.0}]"
saladier,saladier,"[{""id"": 331574, ""node1"": 45455, ""node2"": 45455, ""type"": 19, ""w"": 58.0}]"
ajouter,arôme,[]
moule,manquer,[]
tarte,haut,[]
