node1,node2,relations
titre,ingrédient,[]
ingrédient,noix,[]
noix,coco,"[{""id"": 1924690, ""node1"": 30910, ""node2"": 145904, ""type"": 0, ""w"": 55.0}]"
levure,vinaigre,[]
vinaigre,cidre,"[{""id"": 98947289, ""node1"": 145443, ""node2"": 75142, ""type"": 0, ""w"": 55.0}, {""id"": 3355909, ""node1"": 145443, ""node2"": 75142, ""type"": 777, ""w"": 10.0}]"
cidre,chocolat,[]
cidre,sucre,"[{""id"": 560926120, ""node1"": 75142, ""node2"": 139481, ""type"": 0, ""w"": 43.0}, {""id"": 6572192, ""node1"": 75142, ""node2"": 139481, ""type"": 777, ""w"": 10.0}]"
sucre,canne,"[{""id"": 107598, ""node1"": 139481, ""node2"": 144267, ""type"": 0, ""w"": 241.0}, {""id"": 160436, ""node1"": 139481, ""node2"": 144267, ""type"": 15, ""w"": 78.0}, {""id"": 1763995, ""node1"": 139481, ""node2"": 144267, ""type"": 666, ""w"": 1.0}]"
sucre,lait,[]
lait,végétal,"[{""id"": 97133882, ""node1"": 86296, ""node2"": 136507, ""type"": 0, ""w"": 16.0}, {""id"": 395858565, ""node1"": 86296, ""node2"": 136507, ""type"": 666, ""w"": 1.0}]"
four,saladier,[]
saladier,étape,[]
four,180,[]
ingrédient,tout,[]
mettre,ingrédient,[]
ingrédient,sec,[]
ingrédient,liquide,[]
ingrédient,mélange,[]
ajouter,noisette,[]
noix,exemple,[]
