node1,node2,relations
casserole,saladier,[]
casserole,placer,[]
titre,haricot,[]
haricot,soja,[]
eau,froid,"[{""id"": 432163, ""node1"": 65012, ""node2"": 49803, ""type"": 17, ""w"": 74.0}]"
translucide,eau,"[{""id"": 371159723, ""node1"": 19790, ""node2"": 65012, ""type"": 23, ""w"": 72.0}, {""id"": 1015019567, ""node1"": 19790, ""node2"": 65012, ""type"": 666, ""w"": 2.0}]"
translucide,nouveau,[]
égoutter,haricot,[]
saladier,mélanger,"[{""id"": 17857328, ""node1"": 45455, ""node2"": 37151, ""type"": 0, ""w"": 2.0}, {""id"": 72596974, ""node1"": 45455, ""node2"": 37151, ""type"": 24, ""w"": -25.0}, {""id"": 380394138, ""node1"": 45455, ""node2"": 37151, ""type"": 30, ""w"": 26.0}]"
mélanger,haricot,[]
mélanger,ajouter,[]
ajouter,moutarde,[]
placer,préparation,"[{""id"": 561339449, ""node1"": 5454, ""node2"": 33634, ""type"": 0, ""w"": 42.0}]"
préparation,frais,[]
