node1,node2,relations
oeuf,nid,"[{""id"": 1529456, ""node1"": 116175, ""node2"": 64116, ""type"": 0, ""w"": 81.0}, {""id"": 115022, ""node1"": 116175, ""node2"": 64116, ""type"": 15, ""w"": 172.0}]"
nid,pain,[]
oeuf,ingrédient,"[{""id"": 96638697, ""node1"": 116175, ""node2"": 123418, ""type"": 0, ""w"": 64.0}, {""id"": 24842552, ""node1"": 116175, ""node2"": 123418, ""type"": 6, ""w"": 46.0}]"
oeuf,sel,"[{""id"": 584561369, ""node1"": 116175, ""node2"": 13260, ""type"": 0, ""w"": 29.0}]"
pain,petit,"[{""id"": 12987089, ""node1"": 61283, ""node2"": 55222, ""type"": 17, ""w"": 61.0}]"
oeuf,pain,"[{""id"": 96638699, ""node1"": 116175, ""node2"": 61283, ""type"": 0, ""w"": 42.0}]"
pain,individuel,[]
pain,oeuf,"[{""id"": 798889056, ""node1"": 61283, ""node2"": 116175, ""type"": 0, ""w"": 21.0}]"
oeuf,crème,"[{""id"": 798892970, ""node1"": 116175, ""node2"": 44001, ""type"": 0, ""w"": 27.0}]"
crème,liquide,"[{""id"": 96714687, ""node1"": 44001, ""node2"": 140315, ""type"": 0, ""w"": 35.0}, {""id"": 96714688, ""node1"": 44001, ""node2"": 140315, ""type"": 6, ""w"": 33.0}, {""id"": 31815506, ""node1"": 44001, ""node2"": 140315, ""type"": 17, ""w"": 52.0}, {""id"": 306776466, ""node1"": 44001, ""node2"": 140315, ""type"": 666, ""w"": 3.0}]"
pain,jambon,[]
jambon,fumé,"[{""id"": 415002836, ""node1"": 57980, ""node2"": 23335, ""type"": 0, ""w"": 27.0}, {""id"": 380717, ""node1"": 57980, ""node2"": 23335, ""type"": 17, ""w"": 59.0}, {""id"": 3187789, ""node1"": 57980, ""node2"": 23335, ""type"": 106, ""w"": 17.0}, {""id"": 1785220, ""node1"": 57980, ""node2"": 23335, ""type"": 666, ""w"": 2.0}]"
pain,four,"[{""id"": 364147, ""node1"": 61283, ""node2"": 9190, ""type"": 0, ""w"": 90.0}, {""id"": 394322, ""node1"": 61283, ""node2"": 9190, ""type"": 10, ""w"": -49.0}, {""id"": 129613, ""node1"": 61283, ""node2"": 9190, ""type"": 15, ""w"": 118.0}, {""id"": 98386252, ""node1"": 61283, ""node2"": 9190, ""type"": 27, ""w"": 22.0}, {""id"": 14673978, ""node1"": 61283, ""node2"": 9190, ""type"": 42, ""w"": 42.0}, {""id"": 775214885, ""node1"": 61283, ""node2"": 9190, ""type"": 54, ""w"": 25.0}, {""id"": 275129721, ""node1"": 61283, ""node2"": 9190, ""type"": 129, ""w"": 65.0}, {""id"": 1800885, ""node1"": 61283, ""node2"": 9190, ""type"": 666, ""w"": 1.0}]"
four,couteau,[]
four,papier,[]
papier,étape,[]
papier,allumer,[]
allumer,four,"[{""id"": 375341199, ""node1"": 82772, ""node2"": 9190, ""type"": 0, ""w"": 27.0}, {""id"": 96637759, ""node1"": 82772, ""node2"": 9190, ""type"": 14, ""w"": 100.0}, {""id"": 271782, ""node1"": 82772, ""node2"": 9190, ""type"": 31, ""w"": 52.0}]"
four,200,[]
pain,thermostat,[]
dessus,manière,[]
verser,cuillère,"[{""id"": 922009833, ""node1"": 104506, ""node2"": 51905, ""type"": 0, ""w"": 20.0}, {""id"": 154215, ""node1"": 104506, ""node2"": 51905, ""type"": 16, ""w"": 60.0}]"
cuillère,crème,"[{""id"": 662506915, ""node1"": 51905, ""node2"": 44001, ""type"": 0, ""w"": 26.0}]"
crème,fond,[]
cuillère,chacun,[]
couper,jambon,"[{""id"": 31770885, ""node1"": 128828, ""node2"": 57980, ""type"": 14, ""w"": 30.0}]"
casser,oeuf,"[{""id"": 796687958, ""node1"": 63509, ""node2"": 116175, ""type"": 0, ""w"": 28.0}, {""id"": 213740960, ""node1"": 63509, ""node2"": 116175, ""type"": 14, ""w"": 100.0}]"
garnir,pain,[]
répartir,ciboulette,[]
ajouter,poivrer,[]
ajouter,muscade,[]
cuillère,dessus,[]
cuillère,oeuf,"[{""id"": 662511174, ""node1"": 51905, ""node2"": 116175, ""type"": 0, ""w"": 22.0}]"
disposer,feuille,[]
feuille,papier,"[{""id"": 99562, ""node1"": 37993, ""node2"": 103389, ""type"": 0, ""w"": 667.0}, {""id"": 157352, ""node1"": 37993, ""node2"": 103389, ""type"": 5, ""w"": 169.0}, {""id"": 186644, ""node1"": 37993, ""node2"": 103389, ""type"": 8, ""w"": 134.0}, {""id"": 377011482, ""node1"": 37993, ""node2"": 103389, ""type"": 20, ""w"": 35.0}, {""id"": 246389, ""node1"": 37993, ""node2"": 103389, ""type"": 21, ""w"": 85.0}, {""id"": 665112728, ""node1"": 37993, ""node2"": 103389, ""type"": 174, ""w"": 30.0}, {""id"": 1770446, ""node1"": 37993, ""node2"": 103389, ""type"": 666, ""w"": 7.0}]"
papier,cuisson,[]
papier,fond,[]
fond,plat,"[{""id"": 961890508, ""node1"": 119272, ""node2"": 36327, ""type"": 10, ""w"": 25.0}]"
cuire,min,[]
cuisson,plus,[]
cuisson,ferme,[]
oeuf,cocotte,"[{""id"": 914529482, ""node1"": 116175, ""node2"": 120952, ""type"": 0, ""w"": 20.0}]"
