node1,node2,relations
ingrédient,sel,"[{""id"": 24923431, ""node1"": 123418, ""node2"": 13260, ""type"": 0, ""w"": 17.0}, {""id"": 24850731, ""node1"": 123418, ""node2"": 13260, ""type"": 8, ""w"": 27.0}]"
sel,rond,[]
sel,thon,[]
thon,mayonnaise,"[{""id"": 411114, ""node1"": 86754, ""node2"": 111055, ""type"": 0, ""w"": 60.0}]"
plaque,meilleur,[]
top,plaque,[]
plaque,four,"[{""id"": 9977205, ""node1"": 145064, ""node2"": 9190, ""type"": 10, ""w"": 4.0}, {""id"": 7612093, ""node1"": 145064, ""node2"": 9190, ""type"": 777, ""w"": 10.0}]"
four,bol,[]
bol,saladier,"[{""id"": 796872211, ""node1"": 145405, ""node2"": 45455, ""type"": 0, ""w"": 28.0}, {""id"": 1029292999, ""node1"": 145405, ""node2"": 45455, ""type"": 67, ""w"": 34.0}]"
bol,blender,[]
bol,chauffer,"[{""id"": 8794393, ""node1"": 145405, ""node2"": 90994, ""type"": 25, ""w"": 5.0}]"
chauffer,réfrigérateur,[]
réfrigérateur,étape,[]
réfrigérateur,commencer,[]
frotter,écraser,[]
mettre,jeter,"[{""id"": 53740672, ""node1"": 132366, ""node2"": 48625, ""type"": 0, ""w"": 29.0}, {""id"": 53610587, ""node1"": 132366, ""node2"": 48625, ""type"": 5, ""w"": 109.0}]"
jeter,eau,"[{""id"": 593682271, ""node1"": 48625, ""node2"": 65012, ""type"": 0, ""w"": 38.0}]"
eau,devenir,[]
égoutter,riz,[]
casserole,eau,"[{""id"": 96542705, ""node1"": 57253, ""node2"": 65012, ""type"": 0, ""w"": 19.0}, {""id"": 22760525, ""node1"": 57253, ""node2"": 65012, ""type"": 28, ""w"": 34.0}, {""id"": 96542704, ""node1"": 57253, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]"
eau,froid,"[{""id"": 432163, ""node1"": 65012, ""node2"": 49803, ""type"": 17, ""w"": 74.0}]"
remuer,eau,[]
eau,bout,[]
réduire,remuer,[]
remuer,riz,[]
riz,feu,[]
cuire,min,[]
gonfler,riz,"[{""id"": 1042036327, ""node1"": 105710, ""node2"": 24372, ""type"": 13, ""w"": 20.0}]"
reposer,gonfler,[]
reste,riz,[]
refroidir,reste,[]
couper,feuille,"[{""id"": 8905022, ""node1"": 128828, ""node2"": 37993, ""type"": 14, ""w"": 6.0}]"
mélanger,thon,[]
mouiller,main,"[{""id"": 697018605, ""node1"": 2344, ""node2"": 81934, ""type"": 9, ""w"": 25.0}]"
couvrir,paume,[]
paume,sel,[]
creux,petit,[]
faire,creux,[]
mélange,thon,[]
boule,petit,[]
mouiller,recouvrir,[]
main,autre,[]
refermer,tout,[]
forme,bord,[]
bord,épais,"[{""id"": 372654964, ""node1"": 63985, ""node2"": 55342, ""type"": 17, ""w"": 26.0}]"
tout,bande,[]
bande,algue,[]
ingrédient,tout,[]
utiliser,ingrédient,[]
récipient,hermétique,"[{""id"": 32048215, ""node1"": 89628, ""node2"": 11509, ""type"": 17, ""w"": 21.0}]"
