node1,node2,relations
titre,pomme,[]
délice,ingrédient,[]
délice,pomme,[]
pomme,amande,[]
amande,pistache,"[{""id"": 797000372, ""node1"": 28557, ""node2"": 49145, ""type"": 0, ""w"": 21.0}, {""id"": 3857328, ""node1"": 28557, ""node2"": 49145, ""type"": 777, ""w"": 10.0}]"
amande,noisette,"[{""id"": 159138, ""node1"": 28557, ""node2"": 67819, ""type"": 0, ""w"": 52.0}, {""id"": 1032957144, ""node1"": 28557, ""node2"": 67819, ""type"": 78, ""w"": 32.0}]"
bonbon,caramel,"[{""id"": 98932, ""node1"": 120500, ""node2"": 67525, ""type"": 0, ""w"": 328.0}, {""id"": 564809, ""node1"": 120500, ""node2"": 67525, ""type"": 5, ""w"": 124.0}, {""id"": 2048690, ""node1"": 120500, ""node2"": 67525, ""type"": 8, ""w"": 190.0}, {""id"": 5712664, ""node1"": 120500, ""node2"": 67525, ""type"": 21, ""w"": -30.0}, {""id"": 2434055, ""node1"": 120500, ""node2"": 67525, ""type"": 50, ""w"": 21.0}, {""id"": 1793792, ""node1"": 120500, ""node2"": 67525, ""type"": 666, ""w"": 1.0}]"
titre,couteau,[]
couteau,rouleau,[]
titre,pâtisserie,[]
pâtisserie,set,[]
pâtisserie,poêle,[]
pâtisserie,pinceau,[]
pinceau,balance,[]
balance,cuisine,[]
balance,plat,"[{""id"": 798729099, ""node1"": 145190, ""node2"": 36327, ""type"": 0, ""w"": 28.0}]"
pomme,centre,[]
faire,son,[]
faire,chapeau,[]
faire,refermer,[]
dorer,min,[]
ajouter,tout,[]
coeur,pomme,"[{""id"": 60093330, ""node1"": 96211, ""node2"": 37201, ""type"": 10, ""w"": 26.0}]"
poser,bonbon,[]
poser,chaque,[]
noisette,beurre,"[{""id"": 120202, ""node1"": 67819, ""node2"": 140377, ""type"": 0, ""w"": 70.0}, {""id"": 775213357, ""node1"": 67819, ""node2"": 140377, ""type"": 174, ""w"": 25.0}]"
poser,chapeau,[]
cuire,min,[]
cuire,c,[]
cuire,thermostat,[]
