node1,node2,relations
titre,manger,[]
persil,ingrédient,"[{""id"": 24930256, ""node1"": 135982, ""node2"": 123418, ""type"": 6, ""w"": 1.0}]"
persil,sel,[]
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,beurre,"[{""id"": 584573840, ""node1"": 139597, ""node2"": 140377, ""type"": 0, ""w"": 22.0}]"
beurre,persil,[]
oignon,haricot,[]
haricot,manger,"[{""id"": 560368753, ""node1"": 114886, ""node2"": 130164, ""type"": 0, ""w"": 43.0}, {""id"": 15063637, ""node1"": 114886, ""node2"": 130164, ""type"": 26, ""w"": 31.0}]"
pomme,terre,"[{""id"": 34768529, ""node1"": 37201, ""node2"": 25705, ""type"": 0, ""w"": 39.0}]"
louche,mixeur,[]
mixeur,balance,[]
balance,cuisine,[]
balance,étape,[]
fondre,oignon,[]
ajouter,haricot,[]
pomme,couper,"[{""id"": 31839899, ""node1"": 37201, ""node2"": 128828, ""type"": 26, ""w"": 64.0}]"
litre,eau,"[{""id"": 2458362, ""node1"": 57416, ""node2"": 65012, ""type"": 0, ""w"": 84.0}, {""id"": 15759326, ""node1"": 57416, ""node2"": 65012, ""type"": 28, ""w"": 10.0}, {""id"": 720818422, ""node1"": 57416, ""node2"": 65012, ""type"": 174, ""w"": 25.0}, {""id"": 980526881, ""node1"": 57416, ""node2"": 65012, ""type"": 666, ""w"": 3.0}]"
passer,soupe,[]
soupe,moulin,[]
moulin,légume,[]
réchauffer,soupe,"[{""id"": 526162898, ""node1"": 49021, ""node2"": 117152, ""type"": 0, ""w"": 30.0}, {""id"": 485883761, ""node1"": 49021, ""node2"": 117152, ""type"": 13, ""w"": 100.0}, {""id"": 556114252, ""node1"": 49021, ""node2"": 117152, ""type"": 14, ""w"": 100.0}, {""id"": 485883837, ""node1"": 49021, ""node2"": 117152, ""type"": 16, ""w"": 29.0}, {""id"": 1046684356, ""node1"": 49021, ""node2"": 117152, ""type"": 31, ""w"": 20.0}, {""id"": 980183923, ""node1"": 49021, ""node2"": 117152, ""type"": 666, ""w"": 2.0}]"
soupe,feu,[]
feu,doux,[]
