node1,node2,relations
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,poulet,[]
casserole,chinois,[]
casserole,cuillère,"[{""id"": 922009782, ""node1"": 57253, ""node2"": 51905, ""type"": 0, ""w"": 20.0}, {""id"": 596712176, ""node1"": 57253, ""node2"": 51905, ""type"": 16, ""w"": -25.0}]"
cuillère,bois,"[{""id"": 423608378, ""node1"": 51905, ""node2"": 96256, ""type"": 0, ""w"": 41.0}, {""id"": 1977342, ""node1"": 51905, ""node2"": 96256, ""type"": 50, ""w"": 27.0}, {""id"": 3906289, ""node1"": 51905, ""node2"": 96256, ""type"": 777, ""w"": 9.0}]"
cuillère,pinceau,[]
pinceau,saladier,[]
saladier,louche,[]
pinceau,étape,[]
casserole,casser,[]
casser,panne,"[{""id"": 98296332, ""node1"": 63509, ""node2"": 141490, ""type"": 23, ""w"": 28.0}]"
reste,casserole,[]
récipient,ajouter,[]
placer,chacun,[]
chacun,feu,[]
feu,doux,[]
prélever,chair,[]
chair,poulet,[]
placer,carcasse,[]
couper,carcasse,[]
cuire,remuer,[]
remuer,temps,[]
mesure,cuisson,[]
détacher,chair,[]
prélever,morceau,"[{""id"": 97459351, ""node1"": 27502, ""node2"": 65364, ""type"": 0, ""w"": 15.0}]"
morceau,chair,[]
morceau,carcasse,[]
morceau,cocotte,[]
passer,jus,[]
jus,casserole,[]
jus,chinois,[]
mélange,cocotte,[]
arrêter,cuisson,"[{""id"": 372620649, ""node1"": 28778, ""node2"": 60056, ""type"": 14, ""w"": 31.0}]"
enlever,poivrer,[]
louche,petit,[]
prélever,gras,[]
casserole,petit,[]
commencer,gras,[]
pot,garder,[]
garder,pot,[]
pot,acheter,[]
pot,petit,"[{""id"": 247112, ""node1"": 142367, ""node2"": 55222, ""type"": 17, ""w"": 57.0}]"
pot,verre,"[{""id"": 214332, ""node1"": 142367, ""node2"": 144497, ""type"": 0, ""w"": 113.0}, {""id"": 553491, ""node1"": 142367, ""node2"": 144497, ""type"": 5, ""w"": 143.0}, {""id"": 379181, ""node1"": 142367, ""node2"": 144497, ""type"": 8, ""w"": 84.0}, {""id"": 376056095, ""node1"": 142367, ""node2"": 144497, ""type"": 50, ""w"": 26.0}, {""id"": 998193396, ""node1"": 142367, ""node2"": 144497, ""type"": 666, ""w"": 3.0}]"
verre,style,[]
pot,parfait,[]
feu,moyen,[]
fondre,gras,[]
gras,casserole,"[{""id"": 368008061, ""node1"": 56362, ""node2"": 57253, ""type"": 777, ""w"": 10.0}]"
fermer,pot,"[{""id"": 558644745, ""node1"": 24346, ""node2"": 142367, ""type"": 0, ""w"": 27.0}, {""id"": 376066443, ""node1"": 24346, ""node2"": 142367, ""type"": 31, ""w"": 34.0}]"
devoir,peau,"[{""id"": 981692606, ""node1"": 132443, ""node2"": 109785, ""type"": 9, ""w"": 25.0}]"
peau,poulet,"[{""id"": 796711876, ""node1"": 109785, ""node2"": 146261, ""type"": 0, ""w"": 30.0}, {""id"": 10010854, ""node1"": 109785, ""node2"": 146261, ""type"": 10, ""w"": 4.0}]"
faire,partie,[]
morceau,aller,[]
garder,foie,[]
histoire,goût,[]
chose,autre,"[{""id"": 906732439, ""node1"": 109527, ""node2"": 7574, ""type"": 0, ""w"": 20.0}]"
herbe,autre,[]
chose,herbe,[]
