node1,node2,relations
riz,gourmand,[]
riz,courgette,[]
riz,sel,"[{""id"": 920059806, ""node1"": 24372, ""node2"": 13260, ""type"": 0, ""w"": 20.0}]"
sel,poivre,"[{""id"": 125169, ""node1"": 13260, ""node2"": 139597, ""type"": 0, ""w"": 495.0}, {""id"": 1029365119, ""node1"": 13260, ""node2"": 139597, ""type"": 67, ""w"": 28.0}, {""id"": 74985058, ""node1"": 13260, ""node2"": 139597, ""type"": 75, ""w"": 160.0}, {""id"": 1032956770, ""node1"": 13260, ""node2"": 139597, ""type"": 78, ""w"": 39.0}, {""id"": 652227840, ""node1"": 13260, ""node2"": 139597, ""type"": 666, ""w"": 2.0}]"
poivre,persil,[]
poivre,courgette,[]
poivre,riz,[]
riz,crème,[]
crème,frais,[]
crème,épais,[]
crème,basilic,[]
cuire,riz,"[{""id"": 426022657, ""node1"": 5115, ""node2"": 24372, ""type"": 0, ""w"": 36.0}, {""id"": 31820394, ""node1"": 5115, ""node2"": 24372, ""type"": 14, ""w"": 100.0}]"
casserole,grand,[]
casserole,eau,"[{""id"": 96542705, ""node1"": 57253, ""node2"": 65012, ""type"": 0, ""w"": 19.0}, {""id"": 22760525, ""node1"": 57253, ""node2"": 65012, ""type"": 28, ""w"": 34.0}, {""id"": 96542704, ""node1"": 57253, ""node2"": 65012, ""type"": 666, ""w"": 1.0}]"
eau,saler,"[{""id"": 31773665, ""node1"": 65012, ""node2"": 15671, ""type"": 26, ""w"": 30.0}]"
saler,minute,[]
temps,cuisson,[]
couper,bout,[]
bout,courgette,[]
trou,gros,[]
fondre,crème,"[{""id"": 28709235, ""node1"": 16480, ""node2"": 44001, ""type"": 13, ""w"": 30.0}]"
poêle,grand,[]
fondre,ajouter,[]
ajouter,riz,[]
riz,égoutter,[]
réchauffer,minute,[]
minute,feu,[]
minute,vif,[]
devoir,remuer,[]
remuer,temps,[]
devoir,courgette,[]
servir,saupoudrer,[]
saupoudrer,herbe,[]
herbe,haché,[]
herbe,choix,[]
