node1,node2,relations
Monsieur,cuisine,[]
riz,ingrédient,"[{""id"": 15370357, ""node1"": 24372, ""node2"": 123418, ""type"": 0, ""w"": 31.0}, {""id"": 506077, ""node1"": 24372, ""node2"": 123418, ""type"": 3, ""w"": 54.0}]"
arôme,olive,[]
arôme,légume,[]
légume,sel,[]
verser,Monsieur,[]
Monsieur,blender,[]
blender,chauffer,[]
chauffer,étape,[]
verser,huile,"[{""id"": 227659, ""node1"": 104506, ""node2"": 141971, ""type"": 14, ""w"": 57.0}, {""id"": 645787360, ""node1"": 104506, ""node2"": 141971, ""type"": 666, ""w"": 2.0}]"
cuve,Monsieur,[]
riz,min,[]
ajouter,riz,[]
poursuivre,coloration,[]
verser,tout,[]
panier,vapeur,[]
poivrer,cuisson,[]
