node1,node2,relations
rouler,feuilleté,[]
rouler,saucisse,[]
saucisse,ingrédient,"[{""id"": 15370355, ""node1"": 77807, ""node2"": 123418, ""type"": 0, ""w"": 30.0}, {""id"": 506079, ""node1"": 77807, ""node2"": 123418, ""type"": 3, ""w"": 32.0}, {""id"": 601493769, ""node1"": 77807, ""node2"": 123418, ""type"": 6, ""w"": 120.0}]"
saucisse,poivre,"[{""id"": 642807562, ""node1"": 77807, ""node2"": 139597, ""type"": 0, ""w"": 1.0}]"
poivre,crème,[]
saucisse,moutarde,"[{""id"": 892797837, ""node1"": 77807, ""node2"": 28335, ""type"": 75, ""w"": 29.0}]"
saucisse,feuilleter,[]
jaune,oeuf,"[{""id"": 104631, ""node1"": 86711, ""node2"": 116175, ""type"": 0, ""w"": 598.0}, {""id"": 31299418, ""node1"": 86711, ""node2"": 116175, ""type"": 3, ""w"": 29.0}, {""id"": 2350883, ""node1"": 86711, ""node2"": 116175, ""type"": 10, ""w"": 109.0}, {""id"": 131637, ""node1"": 86711, ""node2"": 116175, ""type"": 15, ""w"": 118.0}, {""id"": 120267, ""node1"": 86711, ""node2"": 116175, ""type"": 23, ""w"": 300.0}, {""id"": 2254559, ""node1"": 86711, ""node2"": 116175, ""type"": 54, ""w"": 58.0}]"
oeuf,lait,"[{""id"": 588348000, ""node1"": 116175, ""node2"": 86296, ""type"": 0, ""w"": 47.0}, {""id"": 386065476, ""node1"": 116175, ""node2"": 86296, ""type"": 6, ""w"": -25.0}, {""id"": 283880823, ""node1"": 116175, ""node2"": 86296, ""type"": 78, ""w"": 35.0}]"
rouler,four,[]
four,étape,[]
pâte,feuilleté,"[{""id"": 879773673, ""node1"": 34069, ""node2"": 43380, ""type"": 0, ""w"": 20.0}]"
couper,rectangle,[]
rectangle,longueur,"[{""id"": 988413451, ""node1"": 109233, ""node2"": 16865, ""type"": 666, ""w"": 3.0}, {""id"": 4138853, ""node1"": 109233, ""node2"": 16865, ""type"": 777, ""w"": 9.0}]"
longueur,saucisse,[]
morceau,moutarde,[]
crème,frais,[]
poser,saucisse,[]
saucisse,dessus,[]
tronçon,chaque,[]
feuilleté,jaune,[]
feuilleté,lait,[]
cuire,minute,[]
minute,four,[]
four,180,[]
four,degré,"[{""id"": 107015150, ""node1"": 9190, ""node2"": 121359, ""type"": 0, ""w"": 38.0}]"
four,c,[]
