node1,node2,relations
Sauce,apéritif,[]
couvercle,plat,"[{""id"": 961890557, ""node1"": 89523, ""node2"": 36327, ""type"": 10, ""w"": 24.0}, {""id"": 372856875, ""node1"": 89523, ""node2"": 36327, ""type"": 17, ""w"": 26.0}]"
plat,allongé,[]
épaisseur,fond,[]
fond,plat,"[{""id"": 961890508, ""node1"": 119272, ""node2"": 36327, ""type"": 10, ""w"": 25.0}]"
sauce,salsa,"[{""id"": 798728720, ""node1"": 141110, ""node2"": 39025, ""type"": 0, ""w"": 23.0}, {""id"": 246262941, ""node1"": 141110, ""node2"": 39025, ""type"": 8, ""w"": 32.0}, {""id"": 996909063, ""node1"": 141110, ""node2"": 39025, ""type"": 666, ""w"": 2.0}, {""id"": 7359822, ""node1"": 141110, ""node2"": 39025, ""type"": 777, ""w"": 10.0}]"
ajouter,salade,[]
couche,léger,[]
couche,sauce,[]
recouvrir,finir,[]
aller,salade,[]
apéritif,soirée,"[{""id"": 2152632, ""node1"": 135068, ""node2"": 115483, ""type"": 42, ""w"": 70.0}]"
soirée,mexicain,[]
servir,aller,[]
replonger,faire,[]
sandwich,petit,"[{""id"": 21876053, ""node1"": 1447, ""node2"": 55222, ""type"": 17, ""w"": 41.0}]"
faire,sandwich,[]
commencer,plat,[]
mettre,carotte,[]
