node1,node2,relations
cognac,ingrédient,[]
cognac,cognac,"[{""id"": 289557, ""node1"": 6628, ""node2"": 6628, ""type"": 19, ""w"": 52.0}]"
cognac,beurre,[]
cognac,huile,[]
cognac,poivre,[]
cognac,couvercle,[]
balance,cuisine,[]
couvercle,étape,[]
face,viande,[]
viande,huile,[]
recouvrir,poivre,[]
laisser,heure,[]
ajouter,viande,[]
obtenir,cuisson,[]
enlever,viande,[]
viande,poêle,[]
ajouter,crème,[]
crème,frais,[]
chauffer,crème,[]
crème,réduction,[]
réduction,sauce,"[{""id"": 921783717, ""node1"": 51570, ""node2"": 141110, ""type"": 0, ""w"": 20.0}, {""id"": 109919783, ""node1"": 51570, ""node2"": 141110, ""type"": 777, ""w"": 10.0}]"
sauce,poivre,"[{""id"": 1718310, ""node1"": 141110, ""node2"": 139597, ""type"": 0, ""w"": 56.0}, {""id"": 9974938, ""node1"": 141110, ""node2"": 139597, ""type"": 9, ""w"": 32.0}, {""id"": 96715039, ""node1"": 141110, ""node2"": 139597, ""type"": 50, ""w"": 16.0}]"
remettre,viande,[]
remettre,ajouter,"[{""id"": 796701306, ""node1"": 62982, ""node2"": 25099, ""type"": 0, ""w"": 21.0}, {""id"": 213486690, ""node1"": 62982, ""node2"": 25099, ""type"": 57, ""w"": 29.0}]"
ajouter,cognac,[]
