node1,node2,relations
saucisson,disposer,[]
donner,référence,[]
vin,blanc,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]"
vin,rouge,"[{""id"": 61835, ""node1"": 35798, ""node2"": 86356, ""type"": 0, ""w"": 517.0}, {""id"": 556239, ""node1"": 35798, ""node2"": 86356, ""type"": 5, ""w"": 122.0}, {""id"": 9857786, ""node1"": 35798, ""node2"": 86356, ""type"": 8, ""w"": 139.0}, {""id"": 14806149, ""node1"": 35798, ""node2"": 86356, ""type"": 17, ""w"": 71.0}, {""id"": 31149018, ""node1"": 35798, ""node2"": 86356, ""type"": 27, ""w"": 22.0}, {""id"": 3154292, ""node1"": 35798, ""node2"": 86356, ""type"": 106, ""w"": 12.0}, {""id"": 1526706, ""node1"": 35798, ""node2"": 86356, ""type"": 666, ""w"": 8.0}]"
disposer,saucisson,[]
saucisson,traditionnel,"[{""id"": 666219172, ""node1"": 34296, ""node2"": 41139, ""type"": 0, ""w"": 31.0}, {""id"": 321130569, ""node1"": 34296, ""node2"": 41139, ""type"": 17, ""w"": 51.0}]"
saucisson,fumé,"[{""id"": 666186980, ""node1"": 34296, ""node2"": 23335, ""type"": 0, ""w"": 43.0}]"
endroit,autre,[]
endroit,région,"[{""id"": 258717, ""node1"": 134218, ""node2"": 132350, ""type"": 0, ""w"": 108.0}, {""id"": 628978, ""node1"": 134218, ""node2"": 132350, ""type"": 5, ""w"": 208.0}, {""id"": 9621670, ""node1"": 134218, ""node2"": 132350, ""type"": 8, ""w"": 21.0}, {""id"": 1040788190, ""node1"": 134218, ""node2"": 132350, ""type"": 17, ""w"": -5.0}]"
viande,porc,"[{""id"": 163100, ""node1"": 140100, ""node2"": 71135, ""type"": 0, ""w"": 719.0}, {""id"": 9926333, ""node1"": 140100, ""node2"": 71135, ""type"": 6, ""w"": -20.0}, {""id"": 159577, ""node1"": 140100, ""node2"": 71135, ""type"": 8, ""w"": 174.0}, {""id"": 390246, ""node1"": 140100, ""node2"": 71135, ""type"": 10, ""w"": 70.0}, {""id"": 15173549, ""node1"": 140100, ""node2"": 71135, ""type"": 27, ""w"": 23.0}, {""id"": 376040808, ""node1"": 140100, ""node2"": 71135, ""type"": 51, ""w"": 35.0}, {""id"": 99763096, ""node1"": 140100, ""node2"": 71135, ""type"": 666, ""w"": 6.0}]"
impliquer,confection,[]
ingrédient,différent,[]
confection,saucisson,[]
utilisation,autre,"[{""id"": 551198384, ""node1"": 48333, ""node2"": 7574, ""type"": 17, ""w"": 32.0}]"
pouvoir,sel,[]
vin,région,"[{""id"": 665799464, ""node1"": 35798, ""node2"": 132350, ""type"": 0, ""w"": 34.0}]"
présente,forme,[]
forme,rond,"[{""id"": 130227, ""node1"": 142000, ""node2"": 82147, ""type"": 0, ""w"": 131.0}, {""id"": 104215, ""node1"": 142000, ""node2"": 82147, ""type"": 8, ""w"": 113.0}]"
présence,intérieur,[]
partie,extérieur,[]
couleur,extérieur,"[{""id"": 54628387, ""node1"": 40056, ""node2"": 106608, ""type"": 0, ""w"": 26.0}, {""id"": 54620754, ""node1"": 40056, ""node2"": 106608, ""type"": 5, ""w"": 153.0}]"
couleur,marron,"[{""id"": 114952, ""node1"": 40056, ""node2"": 132479, ""type"": 0, ""w"": 410.0}, {""id"": 375296, ""node1"": 40056, ""node2"": 132479, ""type"": 8, ""w"": 123.0}, {""id"": 425800456, ""node1"": 40056, ""node2"": 132479, ""type"": 17, ""w"": 26.0}, {""id"": 15196598, ""node1"": 40056, ""node2"": 132479, ""type"": 27, ""w"": -28.0}, {""id"": 3165597, ""node1"": 40056, ""node2"": 132479, ""type"": 106, ""w"": 3.0}, {""id"": 653265136, ""node1"": 40056, ""node2"": 132479, ""type"": 666, ""w"": 6.0}]"
couleur,tonalité,"[{""id"": 12280773, ""node1"": 40056, ""node2"": 87709, ""type"": 0, ""w"": 56.0}, {""id"": 638957, ""node1"": 40056, ""node2"": 87709, ""type"": 5, ""w"": 210.0}, {""id"": 252051142, ""node1"": 40056, ""node2"": 87709, ""type"": 8, ""w"": 31.0}, {""id"": 539954807, ""node1"": 40056, ""node2"": 87709, ""type"": 17, ""w"": -25.0}, {""id"": 53246472, ""node1"": 40056, ""node2"": 87709, ""type"": 35, ""w"": 51.0}, {""id"": 3373334, ""node1"": 40056, ""node2"": 87709, ""type"": 777, ""w"": 6.0}]"
tonalité,varier,[]
marron,sombre,"[{""id"": 927819, ""node1"": 132479, ""node2"": 122704, ""type"": 0, ""w"": 30.0}]"
varier,couleur,[]
couleur,intérieur,[]
tonalité,marron,[]
variable,diamètre,[]
cuisson,lent,[]
feu,doux,[]
