node1,node2,relations
appeler,plante,[]
plante,forêt,"[{""id"": 9970535, ""node1"": 145941, ""node2"": 146632, ""type"": 0, ""w"": 66.0}, {""id"": 104662, ""node1"": 145941, ""node2"": 146632, ""type"": 10, ""w"": 123.0}, {""id"": 3162693, ""node1"": 145941, ""node2"": 146632, ""type"": 15, ""w"": 63.0}, {""id"": 539955226, ""node1"": 145941, ""node2"": 146632, ""type"": 22, ""w"": -25.0}]"
forêt,tropical,"[{""id"": 93561348, ""node1"": 146632, ""node2"": 7585, ""type"": 17, ""w"": 34.0}]"
forêt,genre,[]
plante,décrire,[]
connaître,plante,[]
cuisine,camerounais,[]
substance,différent,[]
avoir,substance,[]
substance,extraire,[]
substance,plante,"[{""id"": 1031272181, ""node1"": 11358, ""node2"": 145941, ""type"": 6, ""w"": -25.0}, {""id"": 1018617214, ""node1"": 11358, ""node2"": 145941, ""type"": 8, ""w"": -47.0}]"
commercialiser,graine,[]
devoir,plante,[]
présente,plante,[]
rouge,bois,[]
couleur,fleur,"[{""id"": 416142, ""node1"": 40056, ""node2"": 28985, ""type"": 0, ""w"": 54.0}, {""id"": 720501210, ""node1"": 40056, ""node2"": 28985, ""type"": 173, ""w"": 25.0}]"
couleur,crème,"[{""id"": 10873763, ""node1"": 40056, ""node2"": 44001, ""type"": 0, ""w"": 63.0}, {""id"": 9856485, ""node1"": 40056, ""node2"": 44001, ""type"": 8, ""w"": 63.0}, {""id"": 15196618, ""node1"": 40056, ""node2"": 44001, ""type"": 27, ""w"": -21.0}]"
jaune,fruit,"[{""id"": 920236603, ""node1"": 86711, ""node2"": 87286, ""type"": 0, ""w"": 20.0}, {""id"": 14785732, ""node1"": 86711, ""node2"": 87286, ""type"": 23, ""w"": 52.0}]"
jaune,être,"[{""id"": 910637813, ""node1"": 86711, ""node2"": 13369, ""type"": 6, ""w"": 5.0}]"
large,feuille,[]
lisse,écorce,[]
brun,noir,"[{""id"": 396968, ""node1"": 14189, ""node2"": 64238, ""type"": 0, ""w"": 101.0}, {""id"": 7166589, ""node1"": 14189, ""node2"": 64238, ""type"": 5, ""w"": 98.0}, {""id"": 2059574, ""node1"": 14189, ""node2"": 64238, ""type"": 20, ""w"": 29.0}, {""id"": 1782480, ""node1"": 14189, ""node2"": 64238, ""type"": 666, ""w"": 1.0}]"
reste,fait,[]
fait,application,[]
faire,état,[]
utiliser,graine,[]
appellation,utiliser,"[{""id"": 438146425, ""node1"": 77621, ""node2"": 62611, ""type"": 26, ""w"": 31.0}]"
citron,vert,"[{""id"": 1559582, ""node1"": 15386, ""node2"": 26976, ""type"": 0, ""w"": 61.0}, {""id"": 1773945, ""node1"": 15386, ""node2"": 26976, ""type"": 17, ""w"": 26.0}, {""id"": 3160941, ""node1"": 15386, ""node2"": 26976, ""type"": 106, ""w"": 10.0}]"
consommer,lui,[]
consommer,fréquent,[]
faire,population,[]
faire,usage,[]
usage,feuille,[]
feuille,plante,"[{""id"": 119369, ""node1"": 37993, ""node2"": 145941, ""type"": 0, ""w"": 153.0}, {""id"": 9980404, ""node1"": 37993, ""node2"": 145941, ""type"": 10, ""w"": 25.0}, {""id"": 377012846, ""node1"": 37993, ""node2"": 145941, ""type"": 20, ""w"": 29.0}, {""id"": 23463831, ""node1"": 37993, ""node2"": 145941, ""type"": 35, ""w"": 51.0}, {""id"": 12431469, ""node1"": 37993, ""node2"": 145941, ""type"": 42, ""w"": 51.0}, {""id"": 979312162, ""node1"": 37993, ""node2"": 145941, ""type"": 666, ""w"": 3.0}]"
entourer,graine,[]
écorce,réduire,[]
écorce,servir,[]
servir,lui,[]
usage,traditionnel,"[{""id"": 372647036, ""node1"": 140957, ""node2"": 41139, ""type"": 17, ""w"": 31.0}]"
graine,sec,[]
raison,graine,[]
graine,sécher,[]
composition,graine,[]
tirer,graine,[]
révéler,point,[]
résultat,bon,"[{""id"": 361742144, ""node1"": 41002, ""node2"": 144229, ""type"": 0, ""w"": 15.0}, {""id"": 361742145, ""node1"": 41002, ""node2"": 144229, ""type"": 17, ""w"": 16.0}]"
apporter,résultat,"[{""id"": 319660392, ""node1"": 49739, ""node2"": 41002, ""type"": 0, ""w"": 28.0}]"
usage,ancestral,[]
traitement,nouveau,[]
point,traitement,[]
traitement,antibiotique,"[{""id"": 796701521, ""node1"": 74419, ""node2"": 122326, ""type"": 0, ""w"": 23.0}, {""id"": 373153398, ""node1"": 74419, ""node2"": 122326, ""type"": 17, ""w"": 41.0}, {""id"": 3924298, ""node1"": 74419, ""node2"": 122326, ""type"": 777, ""w"": 10.0}]"
tester,valeur,[]
valeur,extrait,[]
extrait,feuille,[]
avoir,plante,[]
utiliser,plante,[]
plante,autre,[]
plante,région,[]
projet,autre,[]
