node1,node2,relations
plat,titre,[]
occurrence,plat,[]
plat,élaborer,[]
grêle,porc,[]
animal,autre,[]
animal,consommer,"[{""id"": 97412779, ""node1"": 17559, ""node2"": 97571, ""type"": 24, ""w"": 41.0}, {""id"": 97412778, ""node1"": 17559, ""node2"": 97571, ""type"": 26, ""w"": 38.0}]"
animal,considérer,[]
exister,préparation,[]
préparation,similaire,[]
plat,exister,[]
plat,Oxford,[]
orthographe,autre,[]
formation,mot,"[{""id"": 1305444, ""node1"": 11353, ""node2"": 32132, ""type"": 0, ""w"": 30.0}]"
ouvrage,cuisine,[]
donne,recette,[]
donne,saucisse,[]
saucisse,lard,"[{""id"": 642807531, ""node1"": 77807, ""node2"": 59430, ""type"": 0, ""w"": 1.0}]"
cours,tuer,[]
livre,autre,[]
livre,cuisine,"[{""id"": 796690394, ""node1"": 142787, ""node2"": 16033, ""type"": 0, ""w"": 27.0}, {""id"": 661863037, ""node1"": 142787, ""node2"": 16033, ""type"": 142, ""w"": 30.0}]"
livre,art,[]
consommer,plat,"[{""id"": 97862751, ""node1"": 97571, ""node2"": 36327, ""type"": 14, ""w"": 30.0}]"
plat,consommer,"[{""id"": 96713033, ""node1"": 36327, ""node2"": 97571, ""type"": 26, ""w"": 38.0}]"
plat,important,[]
tradition,culinaire,[]
oignon,couper,"[{""id"": 900892185, ""node1"": 123307, ""node2"": 128828, ""type"": 0, ""w"": 20.0}, {""id"": 31770901, ""node1"": 123307, ""node2"": 128828, ""type"": 26, ""w"": 100.0}, {""id"": 1767208, ""node1"": 123307, ""node2"": 128828, ""type"": 666, ""w"": 2.0}]"
atténuer,odeur,"[{""id"": 537920701, ""node1"": 86452, ""node2"": 73427, ""type"": 14, ""w"": 31.0}]"
odeur,dégager,"[{""id"": 21116869, ""node1"": 73427, ""node2"": 5026, ""type"": 0, ""w"": 31.0}]"
trouver,beaucoup,[]
laver,trouver,[]
vinaigre,cidre,"[{""id"": 98947289, ""node1"": 145443, ""node2"": 75142, ""type"": 0, ""w"": 55.0}, {""id"": 3355909, ""node1"": 145443, ""node2"": 75142, ""type"": 777, ""w"": 10.0}]"
sauce,piquant,"[{""id"": 29311363, ""node1"": 141110, ""node2"": 6801, ""type"": 0, ""w"": 21.0}, {""id"": 10529238, ""node1"": 141110, ""node2"": 6801, ""type"": 9, ""w"": 31.0}]"
désigner,plat,[]
plat,préparer,"[{""id"": 892208256, ""node1"": 36327, ""node2"": 36246, ""type"": 0, ""w"": 21.0}, {""id"": 207663, ""node1"": 36327, ""node2"": 36246, ""type"": 25, ""w"": 110.0}, {""id"": 93507415, ""node1"": 36327, ""node2"": 36246, ""type"": 26, ""w"": 100.0}, {""id"": 369486484, ""node1"": 36327, ""node2"": 36246, ""type"": 30, ""w"": 26.0}, {""id"": 348326099, ""node1"": 36327, ""node2"": 36246, ""type"": 38, ""w"": 32.0}]"
plat,semblable,[]
plat,traditionnel,"[{""id"": 93507621, ""node1"": 36327, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]"
plat,environ,[]
abat,grillé,[]
