node1,node2,relations
fabriquer,bonbon,[]
fabriquer,faire,"[{""id"": 2140420, ""node1"": 34042, ""node2"": 87528, ""type"": 0, ""w"": 155.0}, {""id"": 255335, ""node1"": 34042, ""node2"": 87528, ""type"": 5, ""w"": 664.0}, {""id"": 656900314, ""node1"": 34042, ""node2"": 87528, ""type"": 6, ""w"": -31.0}]"
ajouter,ingrédient,"[{""id"": 9084112, ""node1"": 25099, ""node2"": 123418, ""type"": 0, ""w"": 56.0}, {""id"": 428901945, ""node1"": 25099, ""node2"": 123418, ""type"": 14, ""w"": 100.0}, {""id"": 9084083, ""node1"": 25099, ""node2"": 123418, ""type"": 35, ""w"": 48.0}]"
remuer,mélange,"[{""id"": 590673847, ""node1"": 125556, ""node2"": 14800, ""type"": 0, ""w"": 36.0}]"
bâton,métallique,[]
casser,chose,[]
chose,morceau,[]
proposer,bonbon,[]
briser,forme,[]
forme,original,[]
paire,plat,[]
faire,bruit,[]
signifier,bonbon,[]
