node1,node2,relations
confiserie,constituer,[]
couche,fin,[]
couche,sucre,[]
récipient,petit,[]
récipient,appeler,[]
taille,petit,"[{""id"": 1591314, ""node1"": 142267, ""node2"": 55222, ""type"": 0, ""w"": 342.0}, {""id"": 9624563, ""node1"": 142267, ""node2"": 55222, ""type"": 8, ""w"": -21.0}, {""id"": 646139313, ""node1"": 142267, ""node2"": 55222, ""type"": 666, ""w"": 4.0}]"
fête,lieu,"[{""id"": 9640450, ""node1"": 144647, ""node2"": 135190, ""type"": 0, ""w"": 40.0}, {""id"": 629414, ""node1"": 144647, ""node2"": 135190, ""type"": 6, ""w"": 59.0}]"
lancer,origine,[]
désigner,mets,[]
mets,servir,[]
fin,repas,[]
guise,dessert,[]
tomber,qui,[]
tomber,amande,[]
amande,miel,[]
sève,arbre,"[{""id"": 1903456, ""node1"": 115931, ""node2"": 52255, ""type"": 0, ""w"": 180.0}, {""id"": 112633, ""node1"": 115931, ""node2"": 52255, ""type"": 10, ""w"": 373.0}, {""id"": 11358561, ""node1"": 115931, ""node2"": 52255, ""type"": 15, ""w"": 38.0}, {""id"": 376063228, ""node1"": 115931, ""node2"": 52255, ""type"": 31, ""w"": -30.0}, {""id"": 3123293, ""node1"": 115931, ""node2"": 52255, ""type"": 54, ""w"": 54.0}, {""id"": 1661231, ""node1"": 115931, ""node2"": 52255, ""type"": 666, ""w"": 12.0}]"
créer,faire,"[{""id"": 821540, ""node1"": 94183, ""node2"": 87528, ""type"": 0, ""w"": 30.0}, {""id"": 1722825, ""node1"": 94183, ""node2"": 87528, ""type"": 5, ""w"": 733.5}, {""id"": 656900300, ""node1"": 94183, ""node2"": 87528, ""type"": 6, ""w"": -36.0}]"
faire,commerce,[]
commerce,sucre,[]
cherche,moyen,[]
moyen,faciliter,[]
transport,amande,[]
miel,durcir,[]
miel,cuisson,[]
avoir,faire,"[{""id"": 79194860, ""node1"": 31641, ""node2"": 87528, ""type"": 0, ""w"": 21.0}, {""id"": 54695327, ""node1"": 31641, ""node2"": 87528, ""type"": 5, ""w"": -102.0}]"
centre,important,"[{""id"": 488127041, ""node1"": 31970, ""node2"": 9518, ""type"": 17, ""w"": 31.0}]"
faire,centre,[]
centre,fabrication,[]
favoriser,sucre,[]
sucre,rapporter,[]
place,miel,[]
confection,raison,[]
apparence,lisse,"[{""id"": 476713401, ""node1"": 80897, ""node2"": 140074, ""type"": 17, ""w"": 58.0}]"
épice,bouche,"[{""id"": 736821998, ""node1"": 146056, ""node2"": 16110, ""type"": 0, ""w"": 22.0}]"
épice,rechercher,[]
épice,prétendre,[]
épice,bon,[]
bon,rafraîchir,[]
rafraîchir,haleine,[]
présence,table,[]
table,français,[]
table,événement,[]
recette,origine,[]
sucre,graine,[]
sucre,anis,[]
anis,vert,"[{""id"": 796694820, ""node1"": 123896, ""node2"": 26976, ""type"": 0, ""w"": 29.0}]"
faire,partie,[]
faire,épice,[]
épice,chambre,[]
faire,disposer,"[{""id"": 863535575, ""node1"": 87528, ""node2"": 116780, ""type"": 5, ""w"": 46.0}]"
introduire,famille,[]
cours,grand,[]
relever,anecdote,[]
inventer,cuire,[]
cuire,sirop,[]
sirop,sucre,"[{""id"": 217497, ""node1"": 91109, ""node2"": 139481, ""type"": 0, ""w"": 407.0}, {""id"": 415329, ""node1"": 91109, ""node2"": 139481, ""type"": 9, ""w"": 70.0}, {""id"": 1035329517, ""node1"": 91109, ""node2"": 139481, ""type"": 50, ""w"": 31.0}, {""id"": 984864968, ""node1"": 91109, ""node2"": 139481, ""type"": 666, ""w"": 3.0}]"
sirop,amande,[]
journée,tout,[]
tourner,journée,[]
fournisseur,point,[]
privilège,commerce,[]
