node1,node2,relations
concerner,pâtisserie,[]
pâtisserie,confectionner,[]
pâtisserie,pâte,"[{""id"": 560370533, ""node1"": 25966, ""node2"": 34069, ""type"": 0, ""w"": 62.0}, {""id"": 412998, ""node1"": 25966, ""node2"": 34069, ""type"": 22, ""w"": 60.0}, {""id"": 1046937164, ""node1"": 25966, ""node2"": 34069, ""type"": 27, ""w"": 20.0}, {""id"": 1034731810, ""node1"": 25966, ""node2"": 34069, ""type"": 666, ""w"": 2.0}, {""id"": 3393622, ""node1"": 25966, ""node2"": 34069, ""type"": 777, ""w"": 8.0}]"
pâte,léger,"[{""id"": 619709299, ""node1"": 34069, ""node2"": 143256, ""type"": 9, ""w"": -5.0}]"
pâte,cuite,"[{""id"": 206058, ""node1"": 34069, ""node2"": 140202, ""type"": 17, ""w"": 75.0}]"
pâtisserie,fer,[]
pâtisserie,constituer,[]
plaque,métallique,[]
plaque,articuler,[]
donner,forme,[]
forme,caractéristique,"[{""id"": 373114389, ""node1"": 142000, ""node2"": 87150, ""type"": 17, ""w"": 106.0}]"
carreau,petit,[]
carreau,creux,[]
mettre,typique,[]
type,différent,[]
nord,type,[]
type,pâte,[]
type,utiliser,[]
diversité,forme,"[{""id"": 830099, ""node1"": 30262, ""node2"": 142000, ""type"": 0, ""w"": 31.0}]"
forme,motif,"[{""id"": 915156170, ""node1"": 142000, ""node2"": 124455, ""type"": 0, ""w"": 21.0}]"
mettre,dictionnaire,[]
dictionnaire,cuisine,[]
cuisine,français,"[{""id"": 940911531, ""node1"": 16033, ""node2"": 144991, ""type"": 17, ""w"": 62.0}]"
désigner,sorte,"[{""id"": 729422759, ""node1"": 95874, ""node2"": 37467, ""type"": 9, ""w"": -5.0}]"
sorte,pâtisserie,[]
pâtisserie,cuire,"[{""id"": 942271884, ""node1"": 25966, ""node2"": 5115, ""type"": 0, ""w"": 21.0}, {""id"": 1880179, ""node1"": 25966, ""node2"": 5115, ""type"": 30, ""w"": 60.0}]"
plaque,diviser,[]
plaque,cellule,[]
maison,bon,"[{""id"": 451393, ""node1"": 45179, ""node2"": 144229, ""type"": 0, ""w"": 27.0}]"
compte,maison,[]
indique,fer,[]
utiliser,orthographe,[]
dictionnaire,langue,"[{""id"": 64724, ""node1"": 85068, ""node2"": 52119, ""type"": 0, ""w"": 73.0}, {""id"": 984470576, ""node1"": 85068, ""node2"": 52119, ""type"": 666, ""w"": 3.0}]"
ajouter,accent,[]
porter,pâtisserie,[]
pâtisserie,semblable,[]
cuire,pâtisserie,"[{""id"": 723395381, ""node1"": 5115, ""node2"": 25966, ""type"": 0, ""w"": 28.0}, {""id"": 376065769, ""node1"": 5115, ""node2"": 25966, ""type"": 31, ""w"": 27.0}, {""id"": 722712579, ""node1"": 5115, ""node2"": 25966, ""type"": 666, ""w"": 2.0}]"
pâtisserie,léger,[]
fait,cuire,[]
plaque,fer,[]
oublier,mince,[]
oublier,reste,[]
reste,plate,[]
faire,convergence,[]
difficile,faire,[]
courant,vendre,[]
maison,constituer,[]
constituer,mets,"[{""id"": 526105330, ""node1"": 105612, ""node2"": 114839, ""type"": 14, ""w"": 31.0}]"
mets,habituel,[]
mets,alimentation,"[{""id"": 9875559, ""node1"": 114839, ""node2"": 113902, ""type"": 0, ""w"": -67.0}, {""id"": 417887088, ""node1"": 114839, ""node2"": 113902, ""type"": 3, ""w"": -41.0}, {""id"": 53767505, ""node1"": 114839, ""node2"": 113902, ""type"": 5, ""w"": -94.0}, {""id"": 8995528, ""node1"": 114839, ""node2"": 113902, ""type"": 6, ""w"": -140.0}]"
alimentation,paysan,"[{""id"": 909978665, ""node1"": 113902, ""node2"": 19554, ""type"": 0, ""w"": 10.0}]"
donne,recette,[]
pâte,liquide,"[{""id"": 96931423, ""node1"": 34069, ""node2"": 140315, ""type"": 17, ""w"": 26.0}]"
pâte,former,"[{""id"": 96931373, ""node1"": 34069, ""node2"": 66314, ""type"": 26, ""w"": 30.0}]"
eau,farine,"[{""id"": 480295457, ""node1"": 65012, ""node2"": 127629, ""type"": 777, ""w"": 10.0}]"
fer,creux,[]
mâchoire,frotter,[]
peu,huile,[]
huile,noix,"[{""id"": 374335, ""node1"": 141971, ""node2"": 30910, ""type"": 0, ""w"": 81.0}, {""id"": 2319254, ""node1"": 141971, ""node2"": 30910, ""type"": 42, ""w"": 70.0}]"
mettre,cuire,[]
cuire,pâte,"[{""id"": 97862163, ""node1"": 5115, ""node2"": 34069, ""type"": 14, ""w"": 35.0}]"
épais,sorte,[]
celle,faire,[]
faire,composer,"[{""id"": 863084, ""node1"": 87528, ""node2"": 54882, ""type"": 0, ""w"": 91.0}, {""id"": 53759326, ""node1"": 87528, ""node2"": 54882, ""type"": 5, ""w"": 732.37}, {""id"": 656900293, ""node1"": 87528, ""node2"": 54882, ""type"": 8, ""w"": -34.0}]"
composer,jaune,[]
jaune,œuf,"[{""id"": 558764775, ""node1"": 86711, ""node2"": 174124, ""type"": 0, ""w"": 36.0}]"
jaune,sucre,[]
fleur,fin,[]
fleur,farine,"[{""id"": 358427868, ""node1"": 28985, ""node2"": 127629, ""type"": 0, ""w"": 41.0}, {""id"": 357017267, ""node1"": 28985, ""node2"": 127629, ""type"": 35, ""w"": 41.0}]"
vin,blanc,"[{""id"": 61837, ""node1"": 35798, ""node2"": 15196, ""type"": 0, ""w"": 534.0}, {""id"": 54666180, ""node1"": 35798, ""node2"": 15196, ""type"": 5, ""w"": 76.0}, {""id"": 3170069, ""node1"": 35798, ""node2"": 15196, ""type"": 8, ""w"": 66.0}, {""id"": 8997815, ""node1"": 35798, ""node2"": 15196, ""type"": 17, ""w"": 39.0}, {""id"": 31148619, ""node1"": 35798, ""node2"": 15196, ""type"": 27, ""w"": 23.0}, {""id"": 3160066, ""node1"": 35798, ""node2"": 15196, ""type"": 106, ""w"": 6.0}, {""id"": 1526707, ""node1"": 35798, ""node2"": 15196, ""type"": 666, ""w"": 4.0}]"
donner,son,[]
donner,celui,[]
aliment,base,[]
base,population,[]
aliment,faire,[]
farine,sarrasin,"[{""id"": 423997388, ""node1"": 127629, ""node2"": 29459, ""type"": 0, ""w"": 2.0}, {""id"": 243434862, ""node1"": 127629, ""node2"": 29459, ""type"": 8, ""w"": 28.0}]"
hiver,tout,[]
aliment,farine,"[{""id"": 29162227, ""node1"": 114637, ""node2"": 127629, ""type"": 0, ""w"": 17.0}, {""id"": 29139911, ""node1"": 114637, ""node2"": 127629, ""type"": 8, ""w"": 27.0}]"
farine,blanc,"[{""id"": 116083, ""node1"": 127629, ""node2"": 15196, ""type"": 0, ""w"": 91.0}, {""id"": 24901422, ""node1"": 127629, ""node2"": 15196, ""type"": 17, ""w"": 3.0}, {""id"": 3161193, ""node1"": 127629, ""node2"": 15196, ""type"": 106, ""w"": 21.0}]"
note,seul,[]
avoir,que,"[{""id"": 728838359, ""node1"": 31641, ""node2"": 136224, ""type"": 6, ""w"": -5.0}, {""id"": 728841048, ""node1"": 31641, ""node2"": 136224, ""type"": 9, ""w"": -5.0}]"
jeter,haut,[]
fête,grand,[]
fête,chrétien,[]
mets,fête,[]
dessert,monde,[]
variante,vendre,[]
crème,Chantilly,"[{""id"": 464788, ""node1"": 44001, ""node2"": 140851, ""type"": 0, ""w"": 71.0}]"
fête,belge,[]
catégorie,dessert,[]
mettre,récompense,[]
mettre,meilleur,[]
concours,mettre,[]
fonctionnement,machine,"[{""id"": 401184055, ""node1"": 84931, ""node2"": 5425, ""type"": 23, ""w"": 132.0}]"
machine,attribuer,[]
utiliser,base,[]
base,plupart,[]
plupart,recette,[]
utiliser,mélange,[]
mélange,farine,[]
farine,blé,"[{""id"": 114505, ""node1"": 127629, ""node2"": 32071, ""type"": 0, ""w"": 517.0}, {""id"": 53553413, ""node1"": 127629, ""node2"": 32071, ""type"": 5, ""w"": 71.0}, {""id"": 9855371, ""node1"": 127629, ""node2"": 32071, ""type"": 8, ""w"": 62.0}, {""id"": 102179, ""node1"": 127629, ""node2"": 32071, ""type"": 9, ""w"": 60.0}, {""id"": 120516, ""node1"": 127629, ""node2"": 32071, ""type"": 15, ""w"": -55.0}, {""id"": 390928, ""node1"": 127629, ""node2"": 32071, ""type"": 21, ""w"": 53.0}, {""id"": 11335596, ""node1"": 127629, ""node2"": 32071, ""type"": 28, ""w"": 38.0}, {""id"": 24260246, ""node1"": 127629, ""node2"": 32071, ""type"": 35, ""w"": 125.0}, {""id"": 14674202, ""node1"": 127629, ""node2"": 32071, ""type"": 42, ""w"": 31.0}, {""id"": 1798400, ""node1"": 127629, ""node2"": 32071, ""type"": 666, ""w"": 3.0}]"
mélange,sel,[]
ajouter,liquide,[]
liquide,eau,"[{""id"": 107703, ""node1"": 140315, ""node2"": 65012, ""type"": 0, ""w"": 572.0}, {""id"": 31128950, ""node1"": 140315, ""node2"": 65012, ""type"": 3, ""w"": 35.0}, {""id"": 434923635, ""node1"": 140315, ""node2"": 65012, ""type"": 5, ""w"": 48.0}, {""id"": 145191, ""node1"": 140315, ""node2"": 65012, ""type"": 6, ""w"": -70.0}, {""id"": 187876, ""node1"": 140315, ""node2"": 65012, ""type"": 8, ""w"": 153.0}, {""id"": 172860, ""node1"": 140315, ""node2"": 65012, ""type"": 9, ""w"": 55.0}, {""id"": 2467080, ""node1"": 140315, ""node2"": 65012, ""type"": 21, ""w"": 51.0}, {""id"": 117858, ""node1"": 140315, ""node2"": 65012, ""type"": 23, ""w"": 70.0}, {""id"": 1582498, ""node1"": 140315, ""node2"": 65012, ""type"": 35, ""w"": 230.0}, {""id"": 2070077, ""node1"": 140315, ""node2"": 65012, ""type"": 50, ""w"": 40.0}, {""id"": 1832521, ""node1"": 140315, ""node2"": 65012, ""type"": 666, ""w"": 4.0}]"
lait,battre,"[{""id"": 906108379, ""node1"": 86296, ""node2"": 119162, ""type"": 0, ""w"": 20.0}, {""id"": 478484756, ""node1"": 86296, ""node2"": 119162, ""type"": 26, ""w"": 100.0}]"
liquide,beurre,"[{""id"": 96736367, ""node1"": 140315, ""node2"": 140377, ""type"": 23, ""w"": 11.0}]"
beurre,fondre,"[{""id"": 652231036, ""node1"": 140377, ""node2"": 16480, ""type"": 0, ""w"": 21.0}, {""id"": 24771033, ""node1"": 140377, ""node2"": 16480, ""type"": 24, ""w"": 137.0}, {""id"": 1886772, ""node1"": 140377, ""node2"": 16480, ""type"": 26, ""w"": 33.0}]"
ingrédient,autre,[]
farine,autre,[]
pouvoir,blé,[]
farine,pouvoir,[]
aspect,compact,[]
manger,bourguignon,[]
exister,manger,[]
base,pomme,[]
base,terre,[]
général,rectangulaire,[]
populaire,variante,[]
faire,nous,[]
populaire,faire,[]
faire,dieu,[]
projet,autre,[]
