node1,node2,relations
produit,région,[]
processus,lait,[]
fromage,frais,"[{""id"": 198759, ""node1"": 141687, ""node2"": 53495, ""type"": 17, ""w"": 110.0}]"
pourcent,eau,[]
lait,vache,"[{""id"": 100641, ""node1"": 86296, ""node2"": 138501, ""type"": 0, ""w"": 431.0}, {""id"": 137749, ""node1"": 86296, ""node2"": 138501, ""type"": 8, ""w"": -60.0}, {""id"": 9976460, ""node1"": 86296, ""node2"": 138501, ""type"": 10, ""w"": 4.0}, {""id"": 11357809, ""node1"": 86296, ""node2"": 138501, ""type"": 15, ""w"": 39.0}, {""id"": 383584, ""node1"": 86296, ""node2"": 138501, ""type"": 22, ""w"": -80.0}, {""id"": 15114456, ""node1"": 86296, ""node2"": 138501, ""type"": 27, ""w"": 28.0}, {""id"": 76654958, ""node1"": 86296, ""node2"": 138501, ""type"": 54, ""w"": 76.0}, {""id"": 1040288386, ""node1"": 86296, ""node2"": 138501, ""type"": 129, ""w"": 29.0}, {""id"": 1522646, ""node1"": 86296, ""node2"": 138501, ""type"": 666, ""w"": 13.0}]"
mélange,chauffage,[]
chauffage,découpage,[]
mélange,composition,"[{""id"": 21093354, ""node1"": 14800, ""node2"": 26584, ""type"": 0, ""w"": 36.0}, {""id"": 53759212, ""node1"": 14800, ""node2"": 26584, ""type"": 5, ""w"": 95.0}]"
composition,chimique,[]
région,différent,[]
composition,matière,[]
matière,gras,"[{""id"": 909483172, ""node1"": 29208, ""node2"": 56362, ""type"": 0, ""w"": 20.0}]"
teneur,élevé,[]
teneur,protéine,[]
teneur,eau,"[{""id"": 83648189, ""node1"": 103276, ""node2"": 65012, ""type"": 0, ""w"": 29.0}]"
eau,bas,[]
fromage,extra,[]
présenter,morceau,[]
présenter,aspect,[]
forme,dont,[]
irrégulier,forme,[]
forme,particule,[]
variable,taille,[]
variable,aller,[]
fromage,indien,"[{""id"": 582110451, ""node1"": 141687, ""node2"": 144170, ""type"": 17, ""w"": 30.0}]"
fromage,traditionnel,"[{""id"": 2306590, ""node1"": 141687, ""node2"": 41139, ""type"": 17, ""w"": 35.0}]"
fromage,produire,[]
chauffage,lait,[]
consommer,fromage,"[{""id"": 29346842, ""node1"": 97571, ""node2"": 141687, ""type"": 14, ""w"": 30.0}]"
faire,objet,[]
marché,région,"[{""id"": 1320210, ""node1"": 146274, ""node2"": 132350, ""type"": 0, ""w"": 30.0}, {""id"": 939499149, ""node1"": 146274, ""node2"": 132350, ""type"": 15, ""w"": 30.0}]"
fromage,durcir,[]
fromage,obtenir,[]
chauffage,modérer,[]
obtenir,boisson,[]
boisson,acide,[]
traitement,thermique,[]
traitement,modérer,[]
bocal,verre,"[{""id"": 437763, ""node1"": 109384, ""node2"": 144497, ""type"": 0, ""w"": 87.0}, {""id"": 106939492, ""node1"": 109384, ""node2"": 144497, ""type"": 50, ""w"": 22.0}, {""id"": 988431929, ""node1"": 109384, ""node2"": 144497, ""type"": 666, ""w"": 3.0}]"
sac,tulle,[]
bocal,préparer,[]
conserver,femme,"[{""id"": 1054585, ""node1"": 42089, ""node2"": 61490, ""type"": 13, ""w"": 51.0}]"
peau,chèvre,"[{""id"": 29262687, ""node1"": 109785, ""node2"": 93872, ""type"": 0, ""w"": 3.0}, {""id"": 10256234, ""node1"": 109785, ""node2"": 93872, ""type"": 10, ""w"": 11.0}, {""id"": 3876149, ""node1"": 109785, ""node2"": 93872, ""type"": 777, ""w"": 10.0}]"
chèvre,appeler,[]
