node1,node2,relations
collection,recette,[]
conseil,ménager,[]
posséder,maison,"[{""id"": 9088683, ""node1"": 18834, ""node2"": 45179, ""type"": 0, ""w"": 53.0}, {""id"": 227584, ""node1"": 18834, ""node2"": 45179, ""type"": 14, ""w"": 230.0}]"
maison,édition,"[{""id"": 796839360, ""node1"": 45179, ""node2"": 13681, ""type"": 0, ""w"": 21.0}]"
suivre,livre,[]
livre,rencontre,[]
livre,succès,"[{""id"": 2342789, ""node1"": 142787, ""node2"": 51161, ""type"": 41, ""w"": 45.0}]"
vendre,livre,"[{""id"": 365347698, ""node1"": 54438, ""node2"": 142787, ""type"": 0, ""w"": 27.0}, {""id"": 97862135, ""node1"": 54438, ""node2"": 142787, ""type"": 14, ""w"": 100.0}]"
foyer,classe,[]
classe,moyen,"[{""id"": 914964789, ""node1"": 142623, ""node2"": 34933, ""type"": 0, ""w"": 20.0}]"
cours,vie,[]
préparation,aliment,[]
conseil,brasserie,[]
instruction,domestique,[]
contenir,livre,[]
contenir,recette,[]
premier,histoire,"[{""id"": 943187562, ""node1"": 130626, ""node2"": 146367, ""type"": 777, ""w"": 10.0}]"
recette,premier,[]
recette,écrire,[]
éviter,gaspillage,"[{""id"": 425843236, ""node1"": 102610, ""node2"": 68219, ""type"": 14, ""w"": 34.0}, {""id"": 645759648, ""node1"": 102610, ""node2"": 68219, ""type"": 666, ""w"": 3.0}]"
céder,livre,[]
livre,deuxième,"[{""id"": 372655387, ""node1"": 142787, ""node2"": 119260, ""type"": 17, ""w"": 66.0}]"
écrire,livre,"[{""id"": 67958, ""node1"": 91801, ""node2"": 142787, ""type"": 0, ""w"": 296.0}, {""id"": 276188, ""node1"": 91801, ""node2"": 142787, ""type"": 14, ""w"": 100.0}, {""id"": 376198027, ""node1"": 91801, ""node2"": 142787, ""type"": 16, ""w"": 26.0}, {""id"": 243235, ""node1"": 91801, ""node2"": 142787, ""type"": 31, ""w"": 110.0}, {""id"": 984940859, ""node1"": 91801, ""node2"": 142787, ""type"": 666, ""w"": 3.0}]"
contenir,ouvrage,[]
contenir,conseil,[]
donner,que,[]
donner,mère,"[{""id"": 471595878, ""node1"": 12941, ""node2"": 122956, ""type"": 0, ""w"": 26.0}, {""id"": 471595877, ""node1"": 12941, ""node2"": 122956, ""type"": 13, ""w"": 100.0}]"
sujet,tel,[]
type,livre,[]
devoir,femme,[]
type,devoir,[]
contenir,mourir,[]
enfant,seul,[]
chose,vie,[]
vie,priver,[]
faire,carrière,[]
faire,débat,"[{""id"": 1051672246, ""node1"": 87528, ""node2"": 27096, ""type"": 0, ""w"": 20.0}]"
écrivain,gastronomique,[]
nombre,fille,[]
vivre,lui,"[{""id"": 96921588, ""node1"": 2442, ""node2"": 12155, ""type"": 13, ""w"": -10.0}]"
recueillir,recette,[]
famille,maison,"[{""id"": 3223932, ""node1"": 98300, ""node2"": 45179, ""type"": 0, ""w"": 56.0}, {""id"": 12202681, ""node1"": 98300, ""node2"": 45179, ""type"": 5, ""w"": 201.0}, {""id"": 213696, ""node1"": 98300, ""node2"": 45179, ""type"": 15, ""w"": 136.0}, {""id"": 98386604, ""node1"": 98300, ""node2"": 45179, ""type"": 27, ""w"": 34.0}, {""id"": 960491071, ""node1"": 98300, ""node2"": 45179, ""type"": 121, ""w"": 53.0}, {""id"": 958008747, ""node1"": 98300, ""node2"": 45179, ""type"": 155, ""w"": 20.0}]"
livre,livre,"[{""id"": 313686, ""node1"": 142787, ""node2"": 142787, ""type"": 19, ""w"": 52.0}]"
livre,dernier,"[{""id"": 462894096, ""node1"": 142787, ""node2"": 93401, ""type"": 17, ""w"": 66.0}]"
livre,cuisine,"[{""id"": 796690394, ""node1"": 142787, ""node2"": 16033, ""type"": 0, ""w"": 27.0}, {""id"": 661863037, ""node1"": 142787, ""node2"": 16033, ""type"": 142, ""w"": 30.0}]"
vendre,qui,[]
