node1,node2,relations
ébauche,court,[]
ébauche,oublier,[]
concerner,cuisine,[]
cuisine,japonais,[]
variété,gobelet,[]
gobelet,japonais,[]
variété,bois,[]
bois,forme,[]
forme,cubique,"[{""id"": 521810474, ""node1"": 142000, ""node2"": 100223, ""type"": 17, ""w"": 31.0}]"
utiliser,boîte,[]
boîte,carré,"[{""id"": 195746, ""node1"": 7575, ""node2"": 22120, ""type"": 0, ""w"": 65.0}]"
boîte,bois,"[{""id"": 224806, ""node1"": 7575, ""node2"": 96256, ""type"": 0, ""w"": 53.0}, {""id"": 31301301, ""node1"": 7575, ""node2"": 96256, ""type"": 3, ""w"": 32.0}, {""id"": 167830, ""node1"": 7575, ""node2"": 96256, ""type"": 9, ""w"": 60.0}, {""id"": 97318682, ""node1"": 7575, ""node2"": 96256, ""type"": 50, ""w"": 16.0}]"
mesurer,riz,[]
