node1,node2,relations
brasserie,vieux,[]
brasserie,canadien,[]
brasserie,opération,[]
inclure,brasserie,[]
brasserie,septième,[]
ouvrir,brasserie,[]
connaître,installation,[]
connaître,transformation,[]
intact,cave,[]
servir,qui,[]
cave,servir,[]
servir,autrefois,[]
remarque,potentiel,[]
marché,bière,[]
prix,vin,[]
brasserie,petit,[]
acquérir,brasserie,[]
brasserie,bois,[]
abord,fleuve,[]
perfectionnement,bière,[]
procurer,semence,[]
semence,qualité,[]
offrir,que,[]
semence,offrir,[]
besoin,malt,[]
besoin,brasserie,[]
coûter,bière,[]
coûter,bouteille,[]
cour,bois,[]
accorder,prêt,[]
prêt,commerçant,[]
prendre,entreprise,[]
prendre,forme,"[{""id"": 488344148, ""node1"": 86306, ""node2"": 142000, ""type"": 14, ""w"": 51.0}]"
commerce,durable,[]
commerce,compagnie,"[{""id"": 1287973, ""node1"": 49615, ""node2"": 59678, ""type"": 0, ""w"": 381.0}, {""id"": 15174546, ""node1"": 49615, ""node2"": 59678, ""type"": 27, ""w"": 35.0}, {""id"": 495336810, ""node1"": 49615, ""node2"": 59678, ""type"": 35, ""w"": 119.0}]"
entreprise,autre,[]
histoire,long,"[{""id"": 3093632, ""node1"": 146367, ""node2"": 84432, ""type"": 17, ""w"": 44.0}]"
posséder,flotte,[]
flotte,bateau,"[{""id"": 426400, ""node1"": 49332, ""node2"": 107150, ""type"": 0, ""w"": 92.0}, {""id"": 1645268, ""node1"": 49332, ""node2"": 107150, ""type"": 9, ""w"": 59.0}, {""id"": 479289569, ""node1"": 49332, ""node2"": 107150, ""type"": 68, ""w"": 35.0}, {""id"": 646048177, ""node1"": 49332, ""node2"": 107150, ""type"": 666, ""w"": 7.0}]"
flotte,vapeur,[]
flotte,servir,[]
marchandise,propre,[]
transport,marchandise,"[{""id"": 84376, ""node1"": 13712, ""node2"": 43575, ""type"": 0, ""w"": 61.0}]"
fil,temps,"[{""id"": 91506285, ""node1"": 128782, ""node2"": 13861, ""type"": 0, ""w"": 51.0}, {""id"": 97338767, ""node1"": 128782, ""node2"": 13861, ""type"": 3, ""w"": -15.0}, {""id"": 91492782, ""node1"": 128782, ""node2"": 13861, ""type"": 35, ""w"": 51.0}]"
domaine,autre,[]
raffinerie,sucre,[]
chemin,premier,"[{""id"": 563844649, ""node1"": 55077, ""node2"": 130626, ""type"": 17, ""w"": 26.0}]"
chemin,fer,"[{""id"": 796684892, ""node1"": 55077, ""node2"": 124092, ""type"": 0, ""w"": 22.0}]"
lancement,bière,[]
élargir,brasserie,[]
permettre,ceci,[]
brasserie,nouveau,[]
association,long,[]
réseau,brasserie,[]
étendre,présence,[]
présence,océan,[]
présence,autre,[]
consolider,part,[]
part,marché,[]
part,Québec,[]
part,fusionner,[]
brasserie,grand,[]
devenir,brasserie,[]
cinquième,monde,[]
activité,quotidien,[]
confirmer,brasserie,[]
produit,spécialité,"[{""id"": 595362680, ""node1"": 32667, ""node2"": 49537, ""type"": 23, ""w"": 36.0}]"
produit,bière,[]
bière,bière,"[{""id"": 283995, ""node1"": 106797, ""node2"": 106797, ""type"": 19, ""w"": 53.0}]"
bière,avoir,[]
