node1,node2,relations
oreille,porc,"[{""id"": 4597011, ""node1"": 56280, ""node2"": 71135, ""type"": 777, ""w"": 10.0}]"
oreille,cochon,"[{""id"": 10533711, ""node1"": 56280, ""node2"": 92847, ""type"": 0, ""w"": 10.0}, {""id"": 2216953, ""node1"": 56280, ""node2"": 92847, ""type"": 10, ""w"": 63.0}]"
région,monde,"[{""id"": 183691, ""node1"": 132350, ""node2"": 142563, ""type"": 15, ""w"": 98.0}, {""id"": 377014455, ""node1"": 132350, ""node2"": 142563, ""type"": 20, ""w"": 30.0}, {""id"": 3480090, ""node1"": 132350, ""node2"": 142563, ""type"": 777, ""w"": 10.0}]"
plat,oreille,[]
abattre,plat,[]
plat,rustique,[]
consommer,froid,"[{""id"": 29345843, ""node1"": 97571, ""node2"": 49803, ""type"": 14, ""w"": 30.0}]"
restaurant,grand,"[{""id"": 397114, ""node1"": 79954, ""node2"": 23178, ""type"": 17, ""w"": 61.0}]"
menu,restaurant,"[{""id"": 175567, ""node1"": 38188, ""node2"": 79954, ""type"": 0, ""w"": 306.0}, {""id"": 430056179, ""node1"": 38188, ""node2"": 79954, ""type"": 3, ""w"": 15.0}, {""id"": 11359115, ""node1"": 38188, ""node2"": 79954, ""type"": 15, ""w"": 46.0}, {""id"": 28316961, ""node1"": 38188, ""node2"": 79954, ""type"": 35, ""w"": 59.0}, {""id"": 14673636, ""node1"": 38188, ""node2"": 79954, ""type"": 42, ""w"": 27.0}, {""id"": 380316803, ""node1"": 38188, ""node2"": 79954, ""type"": 54, ""w"": 42.0}, {""id"": 775089327, ""node1"": 38188, ""node2"": 79954, ""type"": 122, ""w"": 25.0}, {""id"": 979320032, ""node1"": 38188, ""node2"": 79954, ""type"": 666, ""w"": 3.0}]"
restaurant,grillé,[]
accompagnement,salade,"[{""id"": 10576066, ""node1"": 22605, ""node2"": 118908, ""type"": 0, ""w"": 53.0}, {""id"": 9624590, ""node1"": 22605, ""node2"": 118908, ""type"": 8, ""w"": 21.0}]"
ingrédient,fromage,"[{""id"": 24923443, ""node1"": 123418, ""node2"": 141687, ""type"": 0, ""w"": 15.0}, {""id"": 24850718, ""node1"": 123418, ""node2"": 141687, ""type"": 8, ""w"": 43.0}]"
consommer,oreille,[]
bouillie,lui,[]
consommer,bouillie,"[{""id"": 94100533, ""node1"": 97571, ""node2"": 113977, ""type"": 14, ""w"": 35.0}]"
sauce,soja,"[{""id"": 558755719, ""node1"": 141110, ""node2"": 78291, ""type"": 0, ""w"": 41.0}, {""id"": 246329893, ""node1"": 141110, ""node2"": 78291, ""type"": 8, ""w"": 31.0}, {""id"": 651031297, ""node1"": 141110, ""node2"": 78291, ""type"": 666, ""w"": 4.0}]"
cuisine,chinois,"[{""id"": 15304363, ""node1"": 16033, ""node2"": 59402, ""type"": 0, ""w"": 21.0}, {""id"": 15174380, ""node1"": 16033, ""node2"": 59402, ""type"": 27, ""w"": 27.0}, {""id"": 11347671, ""node1"": 16033, ""node2"": 59402, ""type"": 28, ""w"": 38.0}]"
servir,oreille,[]
pouvoir,servir,[]
épaisseur,croquant,[]
bouillie,vapeur,[]
sauce,piquant,"[{""id"": 29311363, ""node1"": 141110, ""node2"": 6801, ""type"": 0, ""w"": 21.0}, {""id"": 10529238, ""node1"": 141110, ""node2"": 6801, ""type"": 9, ""w"": 31.0}]"
fois,cuire,[]
présenter,extérieur,[]
consommer,lui,[]
mettre,accent,[]
party,tout,[]
party,porc,[]
mets,raffiné,[]
porc,grillé,"[{""id"": 93777837, ""node1"": 71135, ""node2"": 141899, ""type"": 17, ""w"": 27.0}]"
cuisine,espagnol,[]
servir,lui,[]
manière,différent,[]
oreille,servir,[]
servir,amuse,[]
servir,accompagner,[]
accompagner,bière,[]
plat,principal,[]
légume,frais,"[{""id"": 797205548, ""node1"": 120603, ""node2"": 53495, ""type"": 0, ""w"": 26.0}, {""id"": 362117, ""node1"": 120603, ""node2"": 53495, ""type"": 17, ""w"": 70.0}]"
cuisine,Okinawa,[]
porte,bouillie,[]
comprendre,plat,[]
plat,connaître,[]
cuisine,thaïlandais,[]
plat,nombreux,[]
composition,plat,[]
oreille,grillé,[]
salade,thaï,[]
oreille,bouillie,[]
