node1,node2,relations
titre,pain,[]
pain,arménien,[]
type,pain,[]
type,cuire,[]
paroi,intérieur,[]
paroi,four,"[{""id"": 29327769, ""node1"": 39056, ""node2"": 9190, ""type"": 0, ""w"": 22.0}, {""id"": 9980930, ""node1"": 39056, ""node2"": 9190, ""type"": 10, ""w"": 32.0}]"
four,argile,[]
four,appeler,[]
confectionner,pain,[]
pain,proche,[]
confectionner,comporte,[]
pratiquer,cuisson,[]
cuisson,aliment,"[{""id"": 423545108, ""node1"": 60056, ""node2"": 114637, ""type"": 0, ""w"": 16.0}, {""id"": 1042170467, ""node1"": 60056, ""node2"": 114637, ""type"": 82, ""w"": 29.0}, {""id"": 3576987, ""node1"": 60056, ""node2"": 114637, ""type"": 777, ""w"": 10.0}]"
cuisson,four,"[{""id"": 1748883, ""node1"": 60056, ""node2"": 9190, ""type"": 0, ""w"": 162.0}, {""id"": 9626480, ""node1"": 60056, ""node2"": 9190, ""type"": 8, ""w"": 22.0}, {""id"": 14656890, ""node1"": 60056, ""node2"": 9190, ""type"": 41, ""w"": 29.0}, {""id"": 14673603, ""node1"": 60056, ""node2"": 9190, ""type"": 42, ""w"": 32.0}, {""id"": 940332475, ""node1"": 60056, ""node2"": 9190, ""type"": 70, ""w"": 70.0}, {""id"": 989535200, ""node1"": 60056, ""node2"": 9190, ""type"": 80, ""w"": 42.0}, {""id"": 652232265, ""node1"": 60056, ""node2"": 9190, ""type"": 666, ""w"": 4.0}]"
fouiller,reste,[]
reste,four,[]
reste,indication,[]
indication,aliment,[]
aliment,cuire,"[{""id"": 364549302, ""node1"": 114637, ""node2"": 5115, ""type"": 0, ""w"": 29.0}, {""id"": 141689775, ""node1"": 114637, ""node2"": 5115, ""type"": 24, ""w"": 100.0}, {""id"": 174974603, ""node1"": 114637, ""node2"": 5115, ""type"": 26, ""w"": 100.0}]"
endroit,autre,[]
foyer,indien,[]
foyer,moyen,[]
trouver,cuisine,"[{""id"": 473463922, ""node1"": 48704, ""node2"": 16033, ""type"": 0, ""w"": 35.0}, {""id"": 430044128, ""node1"": 48704, ""node2"": 16033, ""type"": 31, ""w"": 15.0}]"
cuisine,authentique,[]
considérer,four,[]
partager,four,[]
rendre,femme,[]
partager,histoire,[]
partager,attendre,[]
mesure,développer,[]
devenir,four,[]
nourriture,boulangerie,[]
boulangerie,local,[]
développer,technique,"[{""id"": 558749990, ""node1"": 84874, ""node2"": 13701, ""type"": 0, ""w"": 41.0}, {""id"": 301810575, ""node1"": 84874, ""node2"": 13701, ""type"": 14, ""w"": 81.0}]"
processus,cuisson,[]
utiliser,four,"[{""id"": 107052434, ""node1"": 62611, ""node2"": 9190, ""type"": 14, ""w"": 31.0}]"
alternative,courant,"[{""id"": 1769664, ""node1"": 68452, ""node2"": 98082, ""type"": 666, ""w"": 1.0}]"
inclure,four,[]
charbon,bois,"[{""id"": 3151879, ""node1"": 111649, ""node2"": 96256, ""type"": 0, ""w"": 59.0}, {""id"": 97141002, ""node1"": 111649, ""node2"": 96256, ""type"": 3, ""w"": 28.0}, {""id"": 11277967, ""node1"": 111649, ""node2"": 96256, ""type"": 35, ""w"": 69.0}]"
imprégner,aliment,[]
saveur,arôme,"[{""id"": 748592235, ""node1"": 71872, ""node2"": 25859, ""type"": 0, ""w"": 27.0}, {""id"": 721472075, ""node1"": 71872, ""node2"": 25859, ""type"": 666, ""w"": 3.0}]"
caractéristique,couleur,"[{""id"": 372675265, ""node1"": 87150, ""node2"": 40056, ""type"": 23, ""w"": 4.0}]"
texture,global,[]
producteur,pain,[]
déterminer,texture,[]
qualité,pain,[]
pourcentage,protéine,[]
pourcentage,blé,[]
nombre,acide,[]
acide,essentiel,[]
type,farine,"[{""id"": 54702298, ""node1"": 15235, ""node2"": 127629, ""type"": 0, ""w"": 21.0}, {""id"": 54653044, ""node1"": 15235, ""node2"": 127629, ""type"": 5, ""w"": -49.0}]"
composition,chimique,[]
composition,farine,[]
ingrédient,autre,[]
ingrédient,pain,"[{""id"": 15303725, ""node1"": 123418, ""node2"": 61283, ""type"": 0, ""w"": 26.0}, {""id"": 15173649, ""node1"": 123418, ""node2"": 61283, ""type"": 27, ""w"": -30.0}]"
méthodologie,surface,[]
développer,pain,[]
contenir,quantité,[]
quantité,minimal,"[{""id"": 899415427, ""node1"": 78869, ""node2"": 88229, ""type"": 0, ""w"": 20.0}]"
stabilité,sensoriel,[]
chimique,optimal,[]
stabilité,pain,[]
niveau,eau,"[{""id"": 561335390, ""node1"": 64681, ""node2"": 65012, ""type"": 0, ""w"": 36.0}, {""id"": 101992979, ""node1"": 64681, ""node2"": 65012, ""type"": 777, ""w"": 10.0}]"
varier,concentration,[]
concentration,protéine,[]
processus,varier,[]
pourcent,sel,[]
processus,ajouter,[]
cuire,pain,"[{""id"": 364971191, ""node1"": 5115, ""node2"": 61283, ""type"": 0, ""w"": 27.0}, {""id"": 413365254, ""node1"": 5115, ""node2"": 61283, ""type"": 13, ""w"": 100.0}, {""id"": 15086186, ""node1"": 5115, ""node2"": 61283, ""type"": 14, ""w"": 100.0}, {""id"": 376195180, ""node1"": 5115, ""node2"": 61283, ""type"": 16, ""w"": 32.0}]"
température,aller,[]
