node1,node2,relations
faire,titre,[]
faire,partie,[]
technique,particulier,[]
technique,cuisine,[]
cuisine,catalan,[]
pâte,former,"[{""id"": 96931373, ""node1"": 34069, ""node2"": 66314, ""type"": 26, ""w"": 30.0}]"
produit,mortier,[]
ajouter,qui,[]
soupe,sauce,[]
genre,plat,[]
fin,cuisson,[]
améliorer,goût,[]
lier,sauce,"[{""id"": 580637729, ""node1"": 15392, ""node2"": 141110, ""type"": 0, ""w"": 32.0}, {""id"": 373014654, ""node1"": 15392, ""node2"": 141110, ""type"": 14, ""w"": 31.0}]"
plat,cuisinier,"[{""id"": 796693660, ""node1"": 36327, ""node2"": 118790, ""type"": 0, ""w"": 30.0}, {""id"": 76567735, ""node1"": 36327, ""node2"": 118790, ""type"": 54, ""w"": 29.0}]"
ail,ingrédient,"[{""id"": 24929957, ""node1"": 26979, ""node2"": 123418, ""type"": 6, ""w"": 1.0}]"
ingrédient,typique,[]
ail,croire,[]
pain,grillé,"[{""id"": 1782545, ""node1"": 61283, ""node2"": 141899, ""type"": 17, ""w"": 80.0}]"
pain,tremper,"[{""id"": 796709520, ""node1"": 61283, ""node2"": 119858, ""type"": 0, ""w"": 26.0}, {""id"": 13712024, ""node1"": 61283, ""node2"": 119858, ""type"": 25, ""w"": 61.0}, {""id"": 15067890, ""node1"": 61283, ""node2"": 119858, ""type"": 26, ""w"": 100.0}]"
pain,voire,[]
voire,biscuit,[]
biscuit,sec,"[{""id"": 2015330, ""node1"": 62524, ""node2"": 63619, ""type"": 0, ""w"": 65.0}, {""id"": 1642610, ""node1"": 62524, ""node2"": 63619, ""type"": 17, ""w"": 120.0}, {""id"": 1785442, ""node1"": 62524, ""node2"": 63619, ""type"": 666, ""w"": 4.0}]"
carré,chocolat,"[{""id"": 246140, ""node1"": 22120, ""node2"": 34157, ""type"": 0, ""w"": 57.0}, {""id"": 720817962, ""node1"": 22120, ""node2"": 34157, ""type"": 174, ""w"": 25.0}]"
carré,noir,"[{""id"": 3179163, ""node1"": 22120, ""node2"": 64238, ""type"": 106, ""w"": 1.0}]"
abat,poulet,[]
animal,autre,[]
trouver,épice,[]
safran,épice,"[{""id"": 2053631, ""node1"": 84746, ""node2"": 146056, ""type"": 0, ""w"": 128.0}, {""id"": 594388, ""node1"": 84746, ""node2"": 146056, ""type"": 5, ""w"": 27.0}, {""id"": 154474, ""node1"": 84746, ""node2"": 146056, ""type"": 6, ""w"": 170.0}, {""id"": 121791, ""node1"": 84746, ""node2"": 146056, ""type"": 10, ""w"": 60.0}, {""id"": 193890090, ""node1"": 84746, ""node2"": 146056, ""type"": 35, ""w"": 60.0}, {""id"": 984461414, ""node1"": 84746, ""node2"": 146056, ""type"": 666, ""w"": 3.0}]"
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
avoir,livre,[]
livre,cuisine,"[{""id"": 796690394, ""node1"": 142787, ""node2"": 16033, ""type"": 0, ""w"": 27.0}, {""id"": 661863037, ""node1"": 142787, ""node2"": 16033, ""type"": 142, ""w"": 30.0}]"
livre,consacrer,[]
plat,typique,"[{""id"": 93507384, ""node1"": 36327, ""node2"": 133589, ""type"": 17, ""w"": 36.0}]"
plat,cuisine,"[{""id"": 2142698, ""node1"": 36327, ""node2"": 16033, ""type"": 0, ""w"": 359.0}, {""id"": 505517, ""node1"": 36327, ""node2"": 16033, ""type"": 3, ""w"": 285.0}, {""id"": 128986, ""node1"": 36327, ""node2"": 16033, ""type"": 10, ""w"": 170.0}, {""id"": 145490, ""node1"": 36327, ""node2"": 16033, ""type"": 15, ""w"": 245.0}, {""id"": 376196655, ""node1"": 36327, ""node2"": 16033, ""type"": 16, ""w"": -26.0}, {""id"": 765133729, ""node1"": 36327, ""node2"": 16033, ""type"": 80, ""w"": 26.0}, {""id"": 652234278, ""node1"": 36327, ""node2"": 16033, ""type"": 666, ""w"": 6.0}]"
cuisine,argentin,[]
