node1,node2,relations
concerner,gastronomie,[]
fromage,petit,"[{""id"": 442410407, ""node1"": 141687, ""node2"": 55222, ""type"": 17, ""w"": 28.0}]"
fromage,espagnol,"[{""id"": 3317045, ""node1"": 141687, ""node2"": 65586, ""type"": 777, ""w"": 8.0}]"
faire,référence,[]
mets,différent,[]
aliment,Amérique,[]
mets,latin,[]
fromage,frais,"[{""id"": 198759, ""node1"": 141687, ""node2"": 53495, ""type"": 17, ""w"": 110.0}]"
lait,croire,[]
lait,auquel,[]
fabriquer,ajouter,[]
fromage,Colombie,[]
fromage,crémeux,"[{""id"": 2170869, ""node1"": 141687, ""node2"": 72773, ""type"": 17, ""w"": 90.0}, {""id"": 1070020057, ""node1"": 141687, ""node2"": 72773, ""type"": 666, ""w"": 2.0}]"
fromage,emballer,"[{""id"": 905981456, ""node1"": 141687, ""node2"": 55544, ""type"": 0, ""w"": 20.0}, {""id"": 477482204, ""node1"": 141687, ""node2"": 55544, ""type"": 26, ""w"": 100.0}]"
région,laitier,[]
lieu,autre,"[{""id"": 920543411, ""node1"": 135190, ""node2"": 7574, ""type"": 0, ""w"": 20.0}, {""id"": 554307140, ""node1"": 135190, ""node2"": 7574, ""type"": 17, ""w"": 28.0}]"
autre,marque,[]
varier,recette,[]
flan,dessert,"[{""id"": 9621572, ""node1"": 9122, ""node2"": 38557, ""type"": 0, ""w"": 38.0}, {""id"": 117951, ""node1"": 9122, ""node2"": 38557, ""type"": 6, ""w"": 111.0}, {""id"": 1772744, ""node1"": 9122, ""node2"": 38557, ""type"": 666, ""w"": 5.0}, {""id"": 4342598, ""node1"": 9122, ""node2"": 38557, ""type"": 777, ""w"": 10.0}]"
Mexique,fromage,[]
fromage,ficelle,[]
épaisse,maïs,[]
mélange,fromage,"[{""id"": 1033521334, ""node1"": 14800, ""node2"": 141687, ""type"": 17, ""w"": -5.0}]"
fromage,mou,"[{""id"": 121012, ""node1"": 141687, ""node2"": 26607, ""type"": 17, ""w"": 70.0}]"
oignon,sauce,"[{""id"": 98623329, ""node1"": 123307, ""node2"": 141110, ""type"": 0, ""w"": 22.0}, {""id"": 97415128, ""node1"": 123307, ""node2"": 141110, ""type"": 10, ""w"": 28.0}]"
fromage,liquide,"[{""id"": 31818537, ""node1"": 141687, ""node2"": 140315, ""type"": 17, ""w"": 52.0}]"
susceptible,emballer,[]
dessert,faire,[]
dessert,lait,"[{""id"": 9978869, ""node1"": 38557, ""node2"": 86296, ""type"": 0, ""w"": 4.0}, {""id"": 169320, ""node1"": 38557, ""node2"": 86296, ""type"": 9, ""w"": 80.0}, {""id"": 2481441, ""node1"": 38557, ""node2"": 86296, ""type"": 50, ""w"": 31.0}]"
lait,condensé,[]
dessert,similaire,[]
dessert,crème,"[{""id"": 150288, ""node1"": 38557, ""node2"": 44001, ""type"": 0, ""w"": 115.0}, {""id"": 420417, ""node1"": 38557, ""node2"": 44001, ""type"": 8, ""w"": 121.0}, {""id"": 11316628, ""node1"": 38557, ""node2"": 44001, ""type"": 28, ""w"": 40.0}, {""id"": 2481440, ""node1"": 38557, ""node2"": 44001, ""type"": 50, ""w"": 27.0}, {""id"": 979336439, ""node1"": 38557, ""node2"": 44001, ""type"": 666, ""w"": 5.0}]"
crème,caramel,[]
