node1,node2,relations
salade,serbe,[]
concerner,cuisine,[]
salade,salade,"[{""id"": 331573, ""node1"": 118908, ""node2"": 118908, ""type"": 19, ""w"": 57.0}]"
salade,légume,"[{""id"": 1374603, ""node1"": 118908, ""node2"": 120603, ""type"": 0, ""w"": 211.0}, {""id"": 475973, ""node1"": 118908, ""node2"": 120603, ""type"": 3, ""w"": 30.0}, {""id"": 195463, ""node1"": 118908, ""node2"": 120603, ""type"": 6, ""w"": 236.0}, {""id"": 8860188, ""node1"": 118908, ""node2"": 120603, ""type"": 9, ""w"": -5.0}, {""id"": 1528857, ""node1"": 118908, ""node2"": 120603, ""type"": 20, ""w"": 55.0}, {""id"": 1524989, ""node1"": 118908, ""node2"": 120603, ""type"": 666, ""w"": 6.0}]"
salade,servir,"[{""id"": 96691978, ""node1"": 118908, ""node2"": 7888, ""type"": 26, ""w"": 30.0}]"
rôti,viande,"[{""id"": 362882, ""node1"": 19636, ""node2"": 140100, ""type"": 0, ""w"": 183.0}, {""id"": 98307783, ""node1"": 19636, ""node2"": 140100, ""type"": 3, ""w"": 23.0}, {""id"": 1767082, ""node1"": 19636, ""node2"": 140100, ""type"": 6, ""w"": 52.0}, {""id"": 376998993, ""node1"": 19636, ""node2"": 140100, ""type"": 21, ""w"": 30.0}, {""id"": 14786041, ""node1"": 19636, ""node2"": 140100, ""type"": 23, ""w"": 26.0}, {""id"": 74150237, ""node1"": 19636, ""node2"": 140100, ""type"": 35, ""w"": 45.0}, {""id"": 1017994591, ""node1"": 19636, ""node2"": 140100, ""type"": 50, ""w"": 27.0}, {""id"": 1767048, ""node1"": 19636, ""node2"": 140100, ""type"": 666, ""w"": 7.0}]"
tomate,frais,"[{""id"": 421761182, ""node1"": 22138, ""node2"": 53495, ""type"": 0, ""w"": 7.0}]"
tomate,râpé,[]
huile,olive,"[{""id"": 143577, ""node1"": 141971, ""node2"": 238, ""type"": 0, ""w"": 441.0}, {""id"": 580646, ""node1"": 141971, ""node2"": 238, ""type"": 5, ""w"": 35.0}, {""id"": 214590, ""node1"": 141971, ""node2"": 238, ""type"": 8, ""w"": 101.0}, {""id"": 9972834, ""node1"": 141971, ""node2"": 238, ""type"": 9, ""w"": 10.0}, {""id"": 96691611, ""node1"": 141971, ""node2"": 238, ""type"": 35, ""w"": 34.0}, {""id"": 1808072, ""node1"": 141971, ""node2"": 238, ""type"": 42, ""w"": 92.0}, {""id"": 653727906, ""node1"": 141971, ""node2"": 238, ""type"": 666, ""w"": 5.0}]"
olive,sel,[]
piment,appeler,[]
salade,autre,[]
salade,Balkans,[]
est,Méditerranée,[]
Balkans,salade,[]
salade,grec,[]
